,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
56799,Shot Chart Detail,21500060,188,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,7,14,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20151104,IND,BOS,56799
56800,Shot Chart Detail,21500060,210,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,5,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,16,1,0,20151104,IND,BOS,56800
56801,Shot Chart Detail,21500060,437,203922,Glenn Robinson III,1610612754,Indiana Pacers,4,11,8,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20151104,IND,BOS,56801
56802,Shot Chart Detail,21500060,442,203922,Glenn Robinson III,1610612754,Indiana Pacers,4,10,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-150,105,1,1,20151104,IND,BOS,56802
56803,Shot Chart Detail,21500080,181,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,6,41,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-20,70,1,1,20151106,IND,MIA,56803
56804,Shot Chart Detail,21500080,186,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,6,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,114,116,1,1,20151106,IND,MIA,56804
56805,Shot Chart Detail,21500080,357,203922,Glenn Robinson III,1610612754,Indiana Pacers,4,10,56,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-47,61,1,0,20151106,IND,MIA,56805
56806,Shot Chart Detail,21500080,387,203922,Glenn Robinson III,1610612754,Indiana Pacers,4,7,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-29,247,1,0,20151106,IND,MIA,56806
56807,Shot Chart Detail,21500080,413,203922,Glenn Robinson III,1610612754,Indiana Pacers,4,5,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,21,1,1,20151106,IND,MIA,56807
56808,Shot Chart Detail,21500094,111,203922,Glenn Robinson III,1610612754,Indiana Pacers,1,1,40,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-35,51,1,0,20151108,CLE,IND,56808
56809,Shot Chart Detail,21500094,144,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,11,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20151108,CLE,IND,56809
56810,Shot Chart Detail,21500094,148,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,10,39,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,11,1,0,20151108,CLE,IND,56810
56811,Shot Chart Detail,21500094,414,203922,Glenn Robinson III,1610612754,Indiana Pacers,4,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-125,213,1,0,20151108,CLE,IND,56811
56812,Shot Chart Detail,21500116,160,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,9,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,141,115,1,0,20151111,BOS,IND,56812
56813,Shot Chart Detail,21500127,116,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,9,44,Missed Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,81,41,1,0,20151113,IND,MIN,56813
56814,Shot Chart Detail,21500127,189,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,2,53,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,1,20151113,IND,MIN,56814
56815,Shot Chart Detail,21500127,194,203922,Glenn Robinson III,1610612754,Indiana Pacers,2,1,51,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-35,36,1,1,20151113,IND,MIN,56815
