,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
93144,Shot Chart Detail,21500008,8,201609,Goran Dragic,1610612748,Miami Heat,1,10,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20151028,MIA,CHA,93144
93145,Shot Chart Detail,21500008,11,201609,Goran Dragic,1610612748,Miami Heat,1,10,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151028,MIA,CHA,93145
93146,Shot Chart Detail,21500008,34,201609,Goran Dragic,1610612748,Miami Heat,1,7,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,68,120,1,0,20151028,MIA,CHA,93146
93147,Shot Chart Detail,21500008,154,201609,Goran Dragic,1610612748,Miami Heat,2,9,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,120,116,1,0,20151028,MIA,CHA,93147
93148,Shot Chart Detail,21500008,165,201609,Goran Dragic,1610612748,Miami Heat,2,8,48,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,2,1,1,20151028,MIA,CHA,93148
93149,Shot Chart Detail,21500008,193,201609,Goran Dragic,1610612748,Miami Heat,2,5,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11,1,1,20151028,MIA,CHA,93149
93150,Shot Chart Detail,21500008,292,201609,Goran Dragic,1610612748,Miami Heat,3,7,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,120,28,1,0,20151028,MIA,CHA,93150
93151,Shot Chart Detail,21500008,438,201609,Goran Dragic,1610612748,Miami Heat,4,7,57,Missed Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,31,1,0,20151028,MIA,CHA,93151
93152,Shot Chart Detail,21500021,50,201609,Goran Dragic,1610612748,Miami Heat,1,6,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,0,20151030,CLE,MIA,93152
93153,Shot Chart Detail,21500021,71,201609,Goran Dragic,1610612748,Miami Heat,1,5,31,Missed Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,36,1,0,20151030,CLE,MIA,93153
