,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
131734,Shot Chart Detail,21500904,144,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,10,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20160302,MIN,WAS
131735,Shot Chart Detail,21500919,92,202962,Greg Smith,1610612750,Minnesota Timberwolves,1,2,37,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,14,1,1,20160304,MIL,MIN
131736,Shot Chart Detail,21500919,377,202962,Greg Smith,1610612750,Minnesota Timberwolves,3,1,6,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160304,MIL,MIN
131737,Shot Chart Detail,21500926,115,202962,Greg Smith,1610612750,Minnesota Timberwolves,1,1,7,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20160305,MIN,BKN
131738,Shot Chart Detail,21500926,147,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,10,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,16,1,1,20160305,MIN,BKN
131739,Shot Chart Detail,21500926,511,202962,Greg Smith,1610612750,Minnesota Timberwolves,4,0,36,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,-11,1,1,20160305,MIN,BKN
131740,Shot Chart Detail,21500968,188,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,9,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,18,1,1,20160311,OKC,MIN
131741,Shot Chart Detail,21500968,374,202962,Greg Smith,1610612750,Minnesota Timberwolves,3,3,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,0,20160311,OKC,MIN
131742,Shot Chart Detail,21501008,80,202962,Greg Smith,1610612750,Minnesota Timberwolves,1,4,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,13,1,0,20160316,MEM,MIN
131743,Shot Chart Detail,21501008,122,202962,Greg Smith,1610612750,Minnesota Timberwolves,1,1,0,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,4,70,1,1,20160316,MEM,MIN
131744,Shot Chart Detail,21501008,172,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,10,9,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20160316,MEM,MIN
131745,Shot Chart Detail,21501008,179,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,9,21,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160316,MEM,MIN
131746,Shot Chart Detail,21501050,195,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,4,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-19,41,1,0,20160321,MIN,GSW
131747,Shot Chart Detail,21501050,410,202962,Greg Smith,1610612750,Minnesota Timberwolves,4,10,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,13,1,0,20160321,MIN,GSW
131748,Shot Chart Detail,21501050,423,202962,Greg Smith,1610612750,Minnesota Timberwolves,4,9,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,26,1,0,20160321,MIN,GSW
131749,Shot Chart Detail,21501050,441,202962,Greg Smith,1610612750,Minnesota Timberwolves,4,8,1,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,18,1,0,20160321,MIN,GSW
131750,Shot Chart Detail,21501062,96,202962,Greg Smith,1610612750,Minnesota Timberwolves,1,2,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,21,1,1,20160323,MIN,SAC
131751,Shot Chart Detail,21501062,134,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,11,42,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,16,1,1,20160323,MIN,SAC
131752,Shot Chart Detail,21501062,406,202962,Greg Smith,1610612750,Minnesota Timberwolves,3,0,2,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,0,20160323,MIN,SAC
131753,Shot Chart Detail,21501062,444,202962,Greg Smith,1610612750,Minnesota Timberwolves,4,8,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,18,1,1,20160323,MIN,SAC
131754,Shot Chart Detail,21501073,135,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,10,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,3,1,0,20160325,WAS,MIN
131755,Shot Chart Detail,21501073,145,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,9,25,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160325,WAS,MIN
131756,Shot Chart Detail,21501073,147,202962,Greg Smith,1610612750,Minnesota Timberwolves,2,8,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20160325,WAS,MIN
131757,Shot Chart Detail,21501087,92,202962,Greg Smith,1610612750,Minnesota Timberwolves,1,0,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,0,20160326,MIN,UTA
