,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
56722,Shot Chart Detail,21501030,53,203156,Henry Sims,1610612751,Brooklyn Nets,1,5,52,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-132,31,1,0,20160319,DET,BKN,56722
56723,Shot Chart Detail,21501030,69,203156,Henry Sims,1610612751,Brooklyn Nets,1,4,5,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,81,16,1,1,20160319,DET,BKN,56723
56724,Shot Chart Detail,21501030,95,203156,Henry Sims,1610612751,Brooklyn Nets,1,1,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,41,1,1,20160319,DET,BKN,56724
56725,Shot Chart Detail,21501030,114,203156,Henry Sims,1610612751,Brooklyn Nets,2,11,3,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,57,1,1,20160319,DET,BKN,56725
56726,Shot Chart Detail,21501030,201,203156,Henry Sims,1610612751,Brooklyn Nets,2,2,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20160319,DET,BKN,56726
56727,Shot Chart Detail,21501030,311,203156,Henry Sims,1610612751,Brooklyn Nets,3,3,3,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-58,7,1,0,20160319,DET,BKN,56727
56728,Shot Chart Detail,21501030,320,203156,Henry Sims,1610612751,Brooklyn Nets,3,1,44,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,26,1,0,20160319,DET,BKN,56728
56729,Shot Chart Detail,21501030,404,203156,Henry Sims,1610612751,Brooklyn Nets,4,7,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,26,1,0,20160319,DET,BKN,56729
56730,Shot Chart Detail,21501030,433,203156,Henry Sims,1610612751,Brooklyn Nets,4,4,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,119,43,1,1,20160319,DET,BKN,56730
56731,Shot Chart Detail,21501052,107,203156,Henry Sims,1610612751,Brooklyn Nets,2,10,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,-1,1,0,20160322,BKN,CHA,56731
56732,Shot Chart Detail,21501069,120,203156,Henry Sims,1610612751,Brooklyn Nets,2,10,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,1,20160324,BKN,CLE,56732
56733,Shot Chart Detail,21501069,173,203156,Henry Sims,1610612751,Brooklyn Nets,2,6,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,0,20160324,BKN,CLE,56733
56734,Shot Chart Detail,21501069,400,203156,Henry Sims,1610612751,Brooklyn Nets,4,7,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,119,129,1,0,20160324,BKN,CLE,56734
56735,Shot Chart Detail,21501069,410,203156,Henry Sims,1610612751,Brooklyn Nets,4,6,56,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,112,36,1,0,20160324,BKN,CLE,56735
56736,Shot Chart Detail,21501069,422,203156,Henry Sims,1610612751,Brooklyn Nets,4,5,54,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-14,80,1,0,20160324,BKN,CLE,56736
56737,Shot Chart Detail,21501082,110,203156,Henry Sims,1610612751,Brooklyn Nets,1,0,28,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,2,1,1,20160326,BKN,IND,56737
56738,Shot Chart Detail,21501082,356,203156,Henry Sims,1610612751,Brooklyn Nets,3,3,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,1,20160326,BKN,IND,56738
56739,Shot Chart Detail,21501082,396,203156,Henry Sims,1610612751,Brooklyn Nets,3,0,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-1,156,1,0,20160326,BKN,IND,56739
56740,Shot Chart Detail,21501097,108,203156,Henry Sims,1610612751,Brooklyn Nets,2,10,51,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,8,1,1,20160328,MIA,BKN,56740
56741,Shot Chart Detail,21501097,343,203156,Henry Sims,1610612751,Brooklyn Nets,3,0,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,7,1,1,20160328,MIA,BKN,56741
56742,Shot Chart Detail,21501097,369,203156,Henry Sims,1610612751,Brooklyn Nets,4,10,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,28,1,0,20160328,MIA,BKN,56742
56743,Shot Chart Detail,21501108,126,203156,Henry Sims,1610612751,Brooklyn Nets,2,11,44,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160329,ORL,BKN,56743
56744,Shot Chart Detail,21501108,129,203156,Henry Sims,1610612751,Brooklyn Nets,2,10,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-119,129,1,0,20160329,ORL,BKN,56744
56745,Shot Chart Detail,21501108,273,203156,Henry Sims,1610612751,Brooklyn Nets,3,9,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,13,1,0,20160329,ORL,BKN,56745
56746,Shot Chart Detail,21501108,300,203156,Henry Sims,1610612751,Brooklyn Nets,3,7,57,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,33,57,1,0,20160329,ORL,BKN,56746
56747,Shot Chart Detail,21501108,515,203156,Henry Sims,1610612751,Brooklyn Nets,4,5,22,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,21,1,1,20160329,ORL,BKN,56747
56748,Shot Chart Detail,21501108,535,203156,Henry Sims,1610612751,Brooklyn Nets,4,3,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-42,159,1,0,20160329,ORL,BKN,56748
56749,Shot Chart Detail,21501122,110,203156,Henry Sims,1610612751,Brooklyn Nets,1,4,8,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,10,1,0,20160331,CLE,BKN,56749
56750,Shot Chart Detail,21501122,245,203156,Henry Sims,1610612751,Brooklyn Nets,2,5,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-1,1,0,20160331,CLE,BKN,56750
