Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
6294,Shot Chart Detail,21500010,152,1891,Jason Terry,1610612745,Houston Rockets,2,9,50,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,61,252,1,0,20151028,HOU,DEN
6295,Shot Chart Detail,21500041,183,1891,Jason Terry,1610612745,Houston Rockets,2,8,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,2,1,1,20151101,MIA,HOU
6296,Shot Chart Detail,21500041,192,1891,Jason Terry,1610612745,Houston Rockets,2,7,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-233,62,1,0,20151101,MIA,HOU
6297,Shot Chart Detail,21500041,229,1891,Jason Terry,1610612745,Houston Rockets,2,5,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,164,1,0,20151101,MIA,HOU
6298,Shot Chart Detail,21500064,376,1891,Jason Terry,1610612745,Houston Rockets,3,3,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,109,21,1,1,20151104,HOU,ORL
6299,Shot Chart Detail,21500084,113,1891,Jason Terry,1610612745,Houston Rockets,1,2,38,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,31,1,0,20151106,SAC,HOU
6300,Shot Chart Detail,21500084,151,1891,Jason Terry,1610612745,Houston Rockets,1,0,16,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-165,65,1,1,20151106,SAC,HOU
6301,Shot Chart Detail,21500084,413,1891,Jason Terry,1610612745,Houston Rockets,3,2,13,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,31,1,0,20151106,SAC,HOU
6302,Shot Chart Detail,21500093,122,1891,Jason Terry,1610612745,Houston Rockets,1,1,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,3,1,1,20151107,LAC,HOU
6303,Shot Chart Detail,21500093,139,1891,Jason Terry,1610612745,Houston Rockets,2,11,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,102,247,1,0,20151107,LAC,HOU
