Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
7783,Shot Chart Detail,21500009,169,201978,Chase Budinger,1610612754,Indiana Pacers,2,9,59,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,9,75,1,0,20151028,TOR,IND
7784,Shot Chart Detail,21500009,187,201978,Chase Budinger,1610612754,Indiana Pacers,2,8,52,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,0,20151028,TOR,IND
7785,Shot Chart Detail,21500009,410,201978,Chase Budinger,1610612754,Indiana Pacers,3,0,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,7,1,0,20151028,TOR,IND
7786,Shot Chart Detail,21500009,424,201978,Chase Budinger,1610612754,Indiana Pacers,4,11,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,127,203,1,0,20151028,TOR,IND
7787,Shot Chart Detail,21500018,125,201978,Chase Budinger,1610612754,Indiana Pacers,1,1,2,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,50,237,1,1,20151029,IND,MEM
7788,Shot Chart Detail,21500018,179,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-16,257,1,1,20151029,IND,MEM
7789,Shot Chart Detail,21500018,379,201978,Chase Budinger,1610612754,Indiana Pacers,3,0,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-19,1,0,20151029,IND,MEM
7790,Shot Chart Detail,21500033,151,201978,Chase Budinger,1610612754,Indiana Pacers,2,10,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,169,190,1,0,20151031,IND,UTA
7791,Shot Chart Detail,21500033,203,201978,Chase Budinger,1610612754,Indiana Pacers,2,4,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,95,1,1,20151031,IND,UTA
7792,Shot Chart Detail,21500060,143,201978,Chase Budinger,1610612754,Indiana Pacers,2,10,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,244,1,0,20151104,IND,BOS
7793,Shot Chart Detail,21500060,173,201978,Chase Budinger,1610612754,Indiana Pacers,2,8,10,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,-16,1,0,20151104,IND,BOS
7794,Shot Chart Detail,21500060,211,201978,Chase Budinger,1610612754,Indiana Pacers,2,5,39,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,0,20151104,IND,BOS
7795,Shot Chart Detail,21500060,380,201978,Chase Budinger,1610612754,Indiana Pacers,3,5,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,47,1,0,20151104,IND,BOS
7796,Shot Chart Detail,21500060,387,201978,Chase Budinger,1610612754,Indiana Pacers,3,4,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-1,1,1,20151104,IND,BOS
7797,Shot Chart Detail,21500060,402,201978,Chase Budinger,1610612754,Indiana Pacers,3,3,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,1,20151104,IND,BOS
7798,Shot Chart Detail,21500080,144,201978,Chase Budinger,1610612754,Indiana Pacers,2,10,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,220,106,1,0,20151106,IND,MIA
7799,Shot Chart Detail,21500080,347,201978,Chase Budinger,1610612754,Indiana Pacers,3,0,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,7,1,0,20151106,IND,MIA
7800,Shot Chart Detail,21500094,97,201978,Chase Budinger,1610612754,Indiana Pacers,1,2,51,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,7,1,0,20151108,CLE,IND
7801,Shot Chart Detail,21500094,372,201978,Chase Budinger,1610612754,Indiana Pacers,3,2,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,61,237,1,1,20151108,CLE,IND
7802,Shot Chart Detail,21500094,426,201978,Chase Budinger,1610612754,Indiana Pacers,4,9,31,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151108,CLE,IND
7803,Shot Chart Detail,21500094,444,201978,Chase Budinger,1610612754,Indiana Pacers,4,7,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,3,1,0,20151108,CLE,IND
7804,Shot Chart Detail,21500099,162,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-73,242,1,0,20151109,IND,ORL
7805,Shot Chart Detail,21500099,402,201978,Chase Budinger,1610612754,Indiana Pacers,4,9,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-99,242,1,1,20151109,IND,ORL
7806,Shot Chart Detail,21500099,443,201978,Chase Budinger,1610612754,Indiana Pacers,4,5,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,2,1,1,20151109,IND,ORL
7807,Shot Chart Detail,21500116,88,201978,Chase Budinger,1610612754,Indiana Pacers,1,3,40,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-60,101,1,0,20151111,BOS,IND
7808,Shot Chart Detail,21500116,117,201978,Chase Budinger,1610612754,Indiana Pacers,1,1,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,2,1,1,20151111,BOS,IND
7809,Shot Chart Detail,21500116,141,201978,Chase Budinger,1610612754,Indiana Pacers,2,11,42,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151111,BOS,IND
7810,Shot Chart Detail,21500116,169,201978,Chase Budinger,1610612754,Indiana Pacers,2,7,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,218,1,0,20151111,BOS,IND
