,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
43814,Shot Chart Detail,21500005,64,202738,Isaiah Thomas,1610612738,Boston Celtics,1,5,30,Missed Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-61,237,1,0,20151028,BOS,PHI
43815,Shot Chart Detail,21500005,81,202738,Isaiah Thomas,1610612738,Boston Celtics,1,3,30,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,56,41,1,0,20151028,BOS,PHI
43816,Shot Chart Detail,21500005,114,202738,Isaiah Thomas,1610612738,Boston Celtics,1,0,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,123,232,1,0,20151028,BOS,PHI
43817,Shot Chart Detail,21500005,119,202738,Isaiah Thomas,1610612738,Boston Celtics,1,0,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-10,1,0,20151028,BOS,PHI
43818,Shot Chart Detail,21500005,146,202738,Isaiah Thomas,1610612738,Boston Celtics,2,9,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,13,1,0,20151028,BOS,PHI
43819,Shot Chart Detail,21500005,167,202738,Isaiah Thomas,1610612738,Boston Celtics,2,8,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-12,62,1,1,20151028,BOS,PHI
43820,Shot Chart Detail,21500005,170,202738,Isaiah Thomas,1610612738,Boston Celtics,2,8,23,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20151028,BOS,PHI
43821,Shot Chart Detail,21500005,180,202738,Isaiah Thomas,1610612738,Boston Celtics,2,7,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-61,252,1,0,20151028,BOS,PHI
43822,Shot Chart Detail,21500005,250,202738,Isaiah Thomas,1610612738,Boston Celtics,2,2,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-11,1,1,20151028,BOS,PHI
43823,Shot Chart Detail,21500005,335,202738,Isaiah Thomas,1610612738,Boston Celtics,3,7,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,1,20151028,BOS,PHI
