,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
8022,Shot Chart Detail,21500003,59,202397,Ish Smith,1610612740,New Orleans Pelicans,1,4,47,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,31,1,1,20151027,GSW,NOP
8023,Shot Chart Detail,21500003,101,202397,Ish Smith,1610612740,New Orleans Pelicans,1,2,1,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,24,33,1,1,20151027,GSW,NOP
8024,Shot Chart Detail,21500003,107,202397,Ish Smith,1610612740,New Orleans Pelicans,1,1,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20151027,GSW,NOP
8025,Shot Chart Detail,21500003,112,202397,Ish Smith,1610612740,New Orleans Pelicans,1,0,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,168,203,1,1,20151027,GSW,NOP
8026,Shot Chart Detail,21500003,126,202397,Ish Smith,1610612740,New Orleans Pelicans,1,0,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,87,154,1,1,20151027,GSW,NOP
8027,Shot Chart Detail,21500003,158,202397,Ish Smith,1610612740,New Orleans Pelicans,2,9,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,110,154,1,0,20151027,GSW,NOP
8028,Shot Chart Detail,21500003,176,202397,Ish Smith,1610612740,New Orleans Pelicans,2,8,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,92,90,1,0,20151027,GSW,NOP
8029,Shot Chart Detail,21500003,257,202397,Ish Smith,1610612740,New Orleans Pelicans,2,1,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,120,116,1,0,20151027,GSW,NOP
8030,Shot Chart Detail,21500003,317,202397,Ish Smith,1610612740,New Orleans Pelicans,3,8,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,26,1,1,20151027,GSW,NOP
8031,Shot Chart Detail,21500003,356,202397,Ish Smith,1610612740,New Orleans Pelicans,3,5,57,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20151027,GSW,NOP
8032,Shot Chart Detail,21500003,362,202397,Ish Smith,1610612740,New Orleans Pelicans,3,5,38,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-68,95,1,0,20151027,GSW,NOP
8033,Shot Chart Detail,21500003,449,202397,Ish Smith,1610612740,New Orleans Pelicans,3,0,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-84,188,1,0,20151027,GSW,NOP
8034,Shot Chart Detail,21500003,586,202397,Ish Smith,1610612740,New Orleans Pelicans,4,0,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-22,254,1,0,20151027,GSW,NOP
8035,Shot Chart Detail,21500015,118,202397,Ish Smith,1610612740,New Orleans Pelicans,1,3,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,79,146,1,0,20151028,POR,NOP
8036,Shot Chart Detail,21500015,141,202397,Ish Smith,1610612740,New Orleans Pelicans,1,1,15,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-11,51,1,0,20151028,POR,NOP
8037,Shot Chart Detail,21500015,160,202397,Ish Smith,1610612740,New Orleans Pelicans,1,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-178,75,1,0,20151028,POR,NOP
8038,Shot Chart Detail,21500015,169,202397,Ish Smith,1610612740,New Orleans Pelicans,2,11,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,13,1,0,20151028,POR,NOP
8039,Shot Chart Detail,21500015,187,202397,Ish Smith,1610612740,New Orleans Pelicans,2,9,22,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,11,1,0,20151028,POR,NOP
8040,Shot Chart Detail,21500015,267,202397,Ish Smith,1610612740,New Orleans Pelicans,2,3,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,21,1,1,20151028,POR,NOP
8041,Shot Chart Detail,21500015,371,202397,Ish Smith,1610612740,New Orleans Pelicans,3,5,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-117,175,1,0,20151028,POR,NOP
8042,Shot Chart Detail,21500015,374,202397,Ish Smith,1610612740,New Orleans Pelicans,3,4,57,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-9,46,1,0,20151028,POR,NOP
8043,Shot Chart Detail,21500015,389,202397,Ish Smith,1610612740,New Orleans Pelicans,3,3,46,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,28,1,1,20151028,POR,NOP
8044,Shot Chart Detail,21500015,409,202397,Ish Smith,1610612740,New Orleans Pelicans,3,1,1,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,0,1,1,20151028,POR,NOP
8045,Shot Chart Detail,21500015,421,202397,Ish Smith,1610612740,New Orleans Pelicans,3,0,4,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-137,21,1,0,20151028,POR,NOP
