,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
197237,Shot Chart Detail,21500016,27,200755,JJ Redick,1610612746,LA Clippers,1,8,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,27,218,1,0,20151028,SAC,LAC,197237
197238,Shot Chart Detail,21500016,56,200755,JJ Redick,1610612746,LA Clippers,1,5,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,208,1,0,20151028,SAC,LAC,197238
197239,Shot Chart Detail,21500016,234,200755,JJ Redick,1610612746,LA Clippers,2,4,19,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,2,1,1,20151028,SAC,LAC,197239
197240,Shot Chart Detail,21500016,268,200755,JJ Redick,1610612746,LA Clippers,2,1,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,82,237,1,0,20151028,SAC,LAC,197240
197241,Shot Chart Detail,21500016,296,200755,JJ Redick,1610612746,LA Clippers,2,0,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,23,1,1,20151028,SAC,LAC,197241
197242,Shot Chart Detail,21500016,315,200755,JJ Redick,1610612746,LA Clippers,3,11,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-29,195,1,1,20151028,SAC,LAC,197242
197243,Shot Chart Detail,21500016,330,200755,JJ Redick,1610612746,LA Clippers,3,8,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-68,188,1,1,20151028,SAC,LAC,197243
197244,Shot Chart Detail,21500016,360,200755,JJ Redick,1610612746,LA Clippers,3,6,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,140,90,1,0,20151028,SAC,LAC,197244
197245,Shot Chart Detail,21500016,506,200755,JJ Redick,1610612746,LA Clippers,4,7,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,204,13,1,0,20151028,SAC,LAC,197245
197246,Shot Chart Detail,21500016,526,200755,JJ Redick,1610612746,LA Clippers,4,4,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-102,232,1,0,20151028,SAC,LAC,197246
197247,Shot Chart Detail,21500016,537,200755,JJ Redick,1610612746,LA Clippers,4,3,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,19,244,1,1,20151028,SAC,LAC,197247
197248,Shot Chart Detail,21500020,2,200755,JJ Redick,1610612746,LA Clippers,1,11,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-186,112,1,1,20151029,LAC,DAL,197248
197249,Shot Chart Detail,21500020,12,200755,JJ Redick,1610612746,LA Clippers,1,10,28,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,28,1,0,20151029,LAC,DAL,197249
197250,Shot Chart Detail,21500020,58,200755,JJ Redick,1610612746,LA Clippers,1,6,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-153,229,1,1,20151029,LAC,DAL,197250
197251,Shot Chart Detail,21500020,85,200755,JJ Redick,1610612746,LA Clippers,1,4,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,81,247,1,0,20151029,LAC,DAL,197251
197252,Shot Chart Detail,21500020,208,200755,JJ Redick,1610612746,LA Clippers,2,6,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-37,190,1,0,20151029,LAC,DAL,197252
197253,Shot Chart Detail,21500020,212,200755,JJ Redick,1610612746,LA Clippers,2,5,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,178,1,1,20151029,LAC,DAL,197253
197254,Shot Chart Detail,21500020,323,200755,JJ Redick,1610612746,LA Clippers,3,10,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-125,149,1,1,20151029,LAC,DAL,197254
197255,Shot Chart Detail,21500020,331,200755,JJ Redick,1610612746,LA Clippers,3,9,41,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-120,154,1,0,20151029,LAC,DAL,197255
197256,Shot Chart Detail,21500020,382,200755,JJ Redick,1610612746,LA Clippers,3,4,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,-11,1,0,20151029,LAC,DAL,197256
197257,Shot Chart Detail,21500038,12,200755,JJ Redick,1610612746,LA Clippers,1,10,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-86,188,1,1,20151031,LAC,SAC,197257
197258,Shot Chart Detail,21500038,15,200755,JJ Redick,1610612746,LA Clippers,1,10,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,-10,1,1,20151031,LAC,SAC,197258
197259,Shot Chart Detail,21500038,38,200755,JJ Redick,1610612746,LA Clippers,1,8,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,132,31,1,0,20151031,LAC,SAC,197259
197260,Shot Chart Detail,21500038,76,200755,JJ Redick,1610612746,LA Clippers,1,5,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,101,165,1,1,20151031,LAC,SAC,197260
197261,Shot Chart Detail,21500038,220,200755,JJ Redick,1610612746,LA Clippers,2,6,48,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-37,136,1,1,20151031,LAC,SAC,197261
197262,Shot Chart Detail,21500038,265,200755,JJ Redick,1610612746,LA Clippers,2,3,49,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20151031,LAC,SAC,197262
197263,Shot Chart Detail,21500038,326,200755,JJ Redick,1610612746,LA Clippers,2,1,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,50,254,1,1,20151031,LAC,SAC,197263
197264,Shot Chart Detail,21500038,384,200755,JJ Redick,1610612746,LA Clippers,3,10,15,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20151031,LAC,SAC,197264
197265,Shot Chart Detail,21500038,390,200755,JJ Redick,1610612746,LA Clippers,3,9,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,16,1,1,20151031,LAC,SAC,197265
