,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
118114,Shot Chart Detail,21500005,12,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,10,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,1,20151028,BOS,PHI,118114
118115,Shot Chart Detail,21500005,47,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,7,21,Missed Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,7,1,0,20151028,BOS,PHI,118115
118116,Shot Chart Detail,21500005,324,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,8,51,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,-10,1,1,20151028,BOS,PHI,118116
118117,Shot Chart Detail,21500005,373,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,4,5,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-5,1,1,20151028,BOS,PHI,118117
118118,Shot Chart Detail,21500005,386,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,3,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-16,1,1,20151028,BOS,PHI,118118
118119,Shot Chart Detail,21500005,394,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,2,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,52,1,0,20151028,BOS,PHI,118119
118120,Shot Chart Detail,21500005,439,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,10,23,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-32,90,1,0,20151028,BOS,PHI,118120
118121,Shot Chart Detail,21500005,449,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,9,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,16,1,0,20151028,BOS,PHI,118121
118122,Shot Chart Detail,21500005,583,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,0,17,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,46,1,1,20151028,BOS,PHI,118122
118123,Shot Chart Detail,21500023,30,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,9,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,26,1,1,20151030,PHI,UTA,118123
118124,Shot Chart Detail,21500023,300,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,8,57,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,40,56,1,0,20151030,PHI,UTA,118124
118125,Shot Chart Detail,21500023,447,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,9,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,70,1,0,20151030,PHI,UTA,118125
118126,Shot Chart Detail,21500046,292,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,2,0,30,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,26,1,1,20151102,PHI,CLE,118126
118127,Shot Chart Detail,21500065,190,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,2,6,15,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,2,1,0,20151104,MIL,PHI,118127
118128,Shot Chart Detail,21500065,328,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,5,20,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,31,1,0,20151104,MIL,PHI,118128
118129,Shot Chart Detail,21500065,339,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,4,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-240,110,1,1,20151104,MIL,PHI,118129
118130,Shot Chart Detail,21500078,55,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,6,40,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,56,1,1,20151106,CLE,PHI,118130
118131,Shot Chart Detail,21500078,62,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,5,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,159,115,1,1,20151106,CLE,PHI,118131
118132,Shot Chart Detail,21500078,382,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,3,1,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,63,11,1,0,20151106,CLE,PHI,118132
118133,Shot Chart Detail,21500087,68,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,3,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,0,20151107,PHI,ORL,118133
118134,Shot Chart Detail,21500100,76,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,5,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,3,1,1,20151109,PHI,CHI,118134
118135,Shot Chart Detail,21500100,80,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,4,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,153,-19,1,0,20151109,PHI,CHI,118135
118136,Shot Chart Detail,21500100,368,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,5,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,189,195,1,0,20151109,PHI,CHI,118136
118137,Shot Chart Detail,21500100,547,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,2,42,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151109,PHI,CHI,118137
118138,Shot Chart Detail,21500115,45,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,7,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,3,1,1,20151111,PHI,TOR,118138
118139,Shot Chart Detail,21500115,58,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,6,49,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151111,PHI,TOR,118139
118140,Shot Chart Detail,21500115,67,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,5,58,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,9,43,1,0,20151111,PHI,TOR,118140
118141,Shot Chart Detail,21500115,171,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,2,8,56,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,23,1,0,20151111,PHI,TOR,118141
118142,Shot Chart Detail,21500115,177,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,2,8,35,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-6,1,1,20151111,PHI,TOR,118142
118143,Shot Chart Detail,21500115,294,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,9,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,66,178,1,0,20151111,PHI,TOR,118143
118144,Shot Chart Detail,21500115,480,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,4,25,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20151111,PHI,TOR,118144
118145,Shot Chart Detail,21500115,508,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,1,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,0,20151111,PHI,TOR,118145
118146,Shot Chart Detail,21500115,509,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,1,29,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,0,20151111,PHI,TOR,118146
118147,Shot Chart Detail,21500115,514,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,1,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,5,1,0,20151111,PHI,TOR,118147
118148,Shot Chart Detail,21500134,117,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,2,11,12,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-34,57,1,1,20151113,OKC,PHI,118148
118149,Shot Chart Detail,21500134,342,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,5,54,Missed Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,0,20151113,OKC,PHI,118149
118150,Shot Chart Detail,21500134,436,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,11,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20151113,OKC,PHI,118150
118151,Shot Chart Detail,21500134,476,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,8,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20151113,OKC,PHI,118151
118152,Shot Chart Detail,21500134,487,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,7,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-223,57,1,0,20151113,OKC,PHI,118152
118153,Shot Chart Detail,21500134,567,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,2,19,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,33,1,0,20151113,OKC,PHI,118153
118154,Shot Chart Detail,21500134,579,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,1,24,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151113,OKC,PHI,118154
118155,Shot Chart Detail,21500134,596,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,4,0,31,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,26,1,1,20151113,OKC,PHI,118155
118156,Shot Chart Detail,21500142,93,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,3,43,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,32,56,1,0,20151114,SAS,PHI,118156
118157,Shot Chart Detail,21500142,127,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,1,0,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,23,1,1,20151114,SAS,PHI,118157
118158,Shot Chart Detail,21500142,271,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,2,0,0,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,1,20151114,SAS,PHI,118158
118159,Shot Chart Detail,21500142,319,203960,JaKarr Sampson,1610612755,Philadelphia 76ers,3,6,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,41,1,0,20151114,SAS,PHI,118159
