,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
169181,Shot Chart Detail,21500005,17,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,1,10,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,18,1,1,20151028,BOS,PHI,169181
169182,Shot Chart Detail,21500005,30,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,1,9,17,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20151028,BOS,PHI,169182
169183,Shot Chart Detail,21500005,41,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,1,8,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-16,1,1,20151028,BOS,PHI,169183
169184,Shot Chart Detail,21500005,51,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,1,6,57,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20151028,BOS,PHI,169184
169185,Shot Chart Detail,21500005,56,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,1,6,21,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,51,1,1,20151028,BOS,PHI,169185
169186,Shot Chart Detail,21500005,62,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,1,5,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-133,70,1,0,20151028,BOS,PHI,169186
169187,Shot Chart Detail,21500005,85,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,1,2,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,81,139,1,0,20151028,BOS,PHI,169187
169188,Shot Chart Detail,21500005,136,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,2,10,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,53,95,1,1,20151028,BOS,PHI,169188
169189,Shot Chart Detail,21500005,305,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,3,11,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,105,9,1,0,20151028,BOS,PHI,169189
169190,Shot Chart Detail,21500005,300,1626143,Jahlil Okafor,1610612755,Philadelphia 76ers,3,11,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-91,110,1,0,20151028,BOS,PHI,169190
