,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
96319,Shot Chart Detail,21500016,130,2037,Jamal Crawford,1610612746,LA Clippers,1,0,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-63,51,1,0,20151028,SAC,LAC,96319
96320,Shot Chart Detail,21500016,148,2037,Jamal Crawford,1610612746,LA Clippers,2,10,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-163,129,1,1,20151028,SAC,LAC,96320
96321,Shot Chart Detail,21500016,177,2037,Jamal Crawford,1610612746,LA Clippers,2,7,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-7,190,1,0,20151028,SAC,LAC,96321
96322,Shot Chart Detail,21500016,197,2037,Jamal Crawford,1610612746,LA Clippers,2,7,3,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,34,1,1,20151028,SAC,LAC,96322
96323,Shot Chart Detail,21500016,263,2037,Jamal Crawford,1610612746,LA Clippers,2,2,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20151028,SAC,LAC,96323
96324,Shot Chart Detail,21500016,428,2037,Jamal Crawford,1610612746,LA Clippers,3,2,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,11,1,0,20151028,SAC,LAC,96324
96325,Shot Chart Detail,21500016,458,2037,Jamal Crawford,1610612746,LA Clippers,4,11,29,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,144,1,1,20151028,SAC,LAC,96325
96326,Shot Chart Detail,21500016,461,2037,Jamal Crawford,1610612746,LA Clippers,4,10,56,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,10,169,1,1,20151028,SAC,LAC,96326
96327,Shot Chart Detail,21500016,493,2037,Jamal Crawford,1610612746,LA Clippers,4,7,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,89,67,1,0,20151028,SAC,LAC,96327
96328,Shot Chart Detail,21500020,95,2037,Jamal Crawford,1610612746,LA Clippers,1,3,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,128,111,1,1,20151029,LAC,DAL,96328
96329,Shot Chart Detail,21500020,102,2037,Jamal Crawford,1610612746,LA Clippers,1,2,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,140,13,1,0,20151029,LAC,DAL,96329
96330,Shot Chart Detail,21500020,109,2037,Jamal Crawford,1610612746,LA Clippers,1,2,7,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-27,33,1,1,20151029,LAC,DAL,96330
96331,Shot Chart Detail,21500020,130,2037,Jamal Crawford,1610612746,LA Clippers,1,1,1,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,112,36,1,0,20151029,LAC,DAL,96331
96332,Shot Chart Detail,21500020,143,2037,Jamal Crawford,1610612746,LA Clippers,1,0,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-14,277,1,0,20151029,LAC,DAL,96332
96333,Shot Chart Detail,21500020,150,2037,Jamal Crawford,1610612746,LA Clippers,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,130,222,1,0,20151029,LAC,DAL,96333
96334,Shot Chart Detail,21500020,163,2037,Jamal Crawford,1610612746,LA Clippers,2,10,49,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,21,1,1,20151029,LAC,DAL,96334
96335,Shot Chart Detail,21500020,170,2037,Jamal Crawford,1610612746,LA Clippers,2,10,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,3,1,1,20151029,LAC,DAL,96335
96336,Shot Chart Detail,21500020,192,2037,Jamal Crawford,1610612746,LA Clippers,2,7,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-143,242,1,1,20151029,LAC,DAL,96336
96337,Shot Chart Detail,21500020,490,2037,Jamal Crawford,1610612746,LA Clippers,4,8,44,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,15,26,1,0,20151029,LAC,DAL,96337
96338,Shot Chart Detail,21500020,498,2037,Jamal Crawford,1610612746,LA Clippers,4,7,54,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-94,183,1,1,20151029,LAC,DAL,96338
96339,Shot Chart Detail,21500038,112,2037,Jamal Crawford,1610612746,LA Clippers,1,2,42,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,78,13,1,1,20151031,LAC,SAC,96339
96340,Shot Chart Detail,21500038,125,2037,Jamal Crawford,1610612746,LA Clippers,1,1,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-230,105,1,0,20151031,LAC,SAC,96340
96341,Shot Chart Detail,21500038,172,2037,Jamal Crawford,1610612746,LA Clippers,2,9,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,20,164,1,0,20151031,LAC,SAC,96341
96342,Shot Chart Detail,21500038,205,2037,Jamal Crawford,1610612746,LA Clippers,2,7,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,153,195,1,0,20151031,LAC,SAC,96342
96343,Shot Chart Detail,21500038,484,2037,Jamal Crawford,1610612746,LA Clippers,3,0,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,76,156,1,1,20151031,LAC,SAC,96343
96344,Shot Chart Detail,21500038,495,2037,Jamal Crawford,1610612746,LA Clippers,3,0,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,102,90,1,0,20151031,LAC,SAC,96344
96346,Shot Chart Detail,21500038,520,2037,Jamal Crawford,1610612746,LA Clippers,4,10,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-20,203,1,0,20151031,LAC,SAC,96346
96347,Shot Chart Detail,21500038,544,2037,Jamal Crawford,1610612746,LA Clippers,4,8,43,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,16,1,0,20151031,LAC,SAC,96347
96348,Shot Chart Detail,21500038,557,2037,Jamal Crawford,1610612746,LA Clippers,4,7,33,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-24,164,1,1,20151031,LAC,SAC,96348
96349,Shot Chart Detail,21500052,196,2037,Jamal Crawford,1610612746,LA Clippers,2,5,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,178,1,0,20151102,LAC,PHX,96349
96350,Shot Chart Detail,21500052,211,2037,Jamal Crawford,1610612746,LA Clippers,2,4,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-60,139,1,0,20151102,LAC,PHX,96350
96351,Shot Chart Detail,21500052,369,2037,Jamal Crawford,1610612746,LA Clippers,3,1,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-163,210,1,0,20151102,LAC,PHX,96351
96352,Shot Chart Detail,21500052,400,2037,Jamal Crawford,1610612746,LA Clippers,4,10,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,112,224,1,0,20151102,LAC,PHX,96352
96353,Shot Chart Detail,21500052,408,2037,Jamal Crawford,1610612746,LA Clippers,4,9,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,0,1,1,20151102,LAC,PHX,96353
96354,Shot Chart Detail,21500052,413,2037,Jamal Crawford,1610612746,LA Clippers,4,8,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,26,1,0,20151102,LAC,PHX,96354
96355,Shot Chart Detail,21500052,452,2037,Jamal Crawford,1610612746,LA Clippers,4,5,23,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,56,90,1,1,20151102,LAC,PHX,96355
96356,Shot Chart Detail,21500052,470,2037,Jamal Crawford,1610612746,LA Clippers,4,2,55,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,80,1,0,20151102,LAC,PHX,96356
96357,Shot Chart Detail,21500069,91,2037,Jamal Crawford,1610612746,LA Clippers,1,3,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,0,20151104,GSW,LAC,96357
96358,Shot Chart Detail,21500069,97,2037,Jamal Crawford,1610612746,LA Clippers,1,3,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-165,213,1,0,20151104,GSW,LAC,96358
96359,Shot Chart Detail,21500069,136,2037,Jamal Crawford,1610612746,LA Clippers,1,0,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,123,193,1,0,20151104,GSW,LAC,96359
96360,Shot Chart Detail,21500069,154,2037,Jamal Crawford,1610612746,LA Clippers,2,10,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,104,70,1,0,20151104,GSW,LAC,96360
