,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
43212,Shot Chart Detail,21500010,112,2749,Jameer Nelson,1610612743,Denver Nuggets,1,2,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,177,175,1,0,20151028,HOU,DEN
43213,Shot Chart Detail,21500010,137,2749,Jameer Nelson,1610612743,Denver Nuggets,2,11,46,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,-1,1,1,20151028,HOU,DEN
43214,Shot Chart Detail,21500010,340,2749,Jameer Nelson,1610612743,Denver Nuggets,3,4,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,74,237,1,0,20151028,HOU,DEN
43215,Shot Chart Detail,21500010,355,2749,Jameer Nelson,1610612743,Denver Nuggets,3,3,16,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,2,1,0,20151028,HOU,DEN
43216,Shot Chart Detail,21500010,388,2749,Jameer Nelson,1610612743,Denver Nuggets,3,0,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20151028,HOU,DEN
43217,Shot Chart Detail,21500010,417,2749,Jameer Nelson,1610612743,Denver Nuggets,4,10,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-63,272,1,0,20151028,HOU,DEN
43218,Shot Chart Detail,21500010,453,2749,Jameer Nelson,1610612743,Denver Nuggets,4,6,20,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,16,1,0,20151028,HOU,DEN
43219,Shot Chart Detail,21500010,505,2749,Jameer Nelson,1610612743,Denver Nuggets,4,3,15,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,193,1,1,20151028,HOU,DEN
43220,Shot Chart Detail,21500010,524,2749,Jameer Nelson,1610612743,Denver Nuggets,4,1,41,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-6,252,1,1,20151028,HOU,DEN
43221,Shot Chart Detail,21500029,91,2749,Jameer Nelson,1610612743,Denver Nuggets,1,2,22,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,63,247,1,0,20151030,DEN,MIN
43222,Shot Chart Detail,21500029,119,2749,Jameer Nelson,1610612743,Denver Nuggets,1,0,13,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,16,1,0,20151030,DEN,MIN
43223,Shot Chart Detail,21500029,144,2749,Jameer Nelson,1610612743,Denver Nuggets,2,9,26,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,41,1,0,20151030,DEN,MIN
43224,Shot Chart Detail,21500029,243,2749,Jameer Nelson,1610612743,Denver Nuggets,2,4,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-234,126,1,0,20151030,DEN,MIN
43225,Shot Chart Detail,21500029,237,2749,Jameer Nelson,1610612743,Denver Nuggets,2,3,29,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,16,1,0,20151030,DEN,MIN
43226,Shot Chart Detail,21500029,436,2749,Jameer Nelson,1610612743,Denver Nuggets,3,1,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,61,249,1,1,20151030,DEN,MIN
43227,Shot Chart Detail,21500029,440,2749,Jameer Nelson,1610612743,Denver Nuggets,3,1,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,228,1,0,20151030,DEN,MIN
43228,Shot Chart Detail,21500029,503,2749,Jameer Nelson,1610612743,Denver Nuggets,4,8,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-1,1,0,20151030,DEN,MIN
43229,Shot Chart Detail,21500029,511,2749,Jameer Nelson,1610612743,Denver Nuggets,4,7,13,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-147,85,1,0,20151030,DEN,MIN
43230,Shot Chart Detail,21500029,531,2749,Jameer Nelson,1610612743,Denver Nuggets,4,5,55,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,15,110,1,0,20151030,DEN,MIN
43231,Shot Chart Detail,21500044,108,2749,Jameer Nelson,1610612743,Denver Nuggets,1,2,58,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,151,3,1,0,20151101,OKC,DEN
