,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
23020,Shot Chart Detail,21500031,562,202341,James Anderson,1610612758,Sacramento Kings,4,3,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,164,1,1,20151030,SAC,LAL,23020
23021,Shot Chart Detail,21500031,591,202341,James Anderson,1610612758,Sacramento Kings,4,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,188,1,0,20151030,SAC,LAL,23021
23022,Shot Chart Detail,21500058,563,202341,James Anderson,1610612758,Sacramento Kings,4,2,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,26,1,0,20151103,SAC,MEM,23022
23023,Shot Chart Detail,21500067,16,202341,James Anderson,1610612758,Sacramento Kings,1,9,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-115,154,1,0,20151104,PHX,SAC,23023
23024,Shot Chart Detail,21500067,28,202341,James Anderson,1610612758,Sacramento Kings,1,8,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,11,1,1,20151104,PHX,SAC,23024
23025,Shot Chart Detail,21500067,37,202341,James Anderson,1610612758,Sacramento Kings,1,7,51,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-56,70,1,0,20151104,PHX,SAC,23025
23026,Shot Chart Detail,21500067,42,202341,James Anderson,1610612758,Sacramento Kings,1,6,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-24,1,0,20151104,PHX,SAC,23026
23027,Shot Chart Detail,21500067,235,202341,James Anderson,1610612758,Sacramento Kings,2,1,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,45,234,1,0,20151104,PHX,SAC,23027
23028,Shot Chart Detail,21500067,237,202341,James Anderson,1610612758,Sacramento Kings,2,1,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-1,1,0,20151104,PHX,SAC,23028
23029,Shot Chart Detail,21500067,247,202341,James Anderson,1610612758,Sacramento Kings,2,0,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,64,239,1,0,20151104,PHX,SAC,23029
23030,Shot Chart Detail,21500067,259,202341,James Anderson,1610612758,Sacramento Kings,2,0,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-138,203,1,0,20151104,PHX,SAC,23030
23031,Shot Chart Detail,21500067,283,202341,James Anderson,1610612758,Sacramento Kings,3,9,42,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,21,1,1,20151104,PHX,SAC,23031
23032,Shot Chart Detail,21500067,285,202341,James Anderson,1610612758,Sacramento Kings,3,9,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,48,262,1,1,20151104,PHX,SAC,23032
23033,Shot Chart Detail,21500067,297,202341,James Anderson,1610612758,Sacramento Kings,3,8,4,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,82,234,1,1,20151104,PHX,SAC,23033
23034,Shot Chart Detail,21500067,319,202341,James Anderson,1610612758,Sacramento Kings,3,5,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-184,183,1,0,20151104,PHX,SAC,23034
