,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
183854,Shot Chart Detail,21500027,216,201162,Jared Dudley,1610612764,Washington Wizards,2,6,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,0,20151030,MIL,WAS,183854
183855,Shot Chart Detail,21500027,227,201162,Jared Dudley,1610612764,Washington Wizards,2,5,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-199,193,1,1,20151030,MIL,WAS,183855
183856,Shot Chart Detail,21500027,374,201162,Jared Dudley,1610612764,Washington Wizards,3,3,6,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1,20151030,MIL,WAS,183856
183857,Shot Chart Detail,21500034,595,201162,Jared Dudley,1610612764,Washington Wizards,4,3,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-81,264,1,0,20151031,WAS,NYK,183857
183858,Shot Chart Detail,21500034,614,201162,Jared Dudley,1610612764,Washington Wizards,4,1,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,61,247,1,0,20151031,WAS,NYK,183858
183859,Shot Chart Detail,21500061,386,201162,Jared Dudley,1610612764,Washington Wizards,4,11,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,155,115,1,1,20151104,WAS,SAS,183859
183860,Shot Chart Detail,21500061,446,201162,Jared Dudley,1610612764,Washington Wizards,4,6,0,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,168,72,1,1,20151104,WAS,SAS,183860
183861,Shot Chart Detail,21500061,486,201162,Jared Dudley,1610612764,Washington Wizards,4,1,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-148,214,1,0,20151104,WAS,SAS,183861
183862,Shot Chart Detail,21500076,87,201162,Jared Dudley,1610612764,Washington Wizards,1,2,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-168,92,1,1,20151106,BOS,WAS,183862
183863,Shot Chart Detail,21500076,154,201162,Jared Dudley,1610612764,Washington Wizards,2,9,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-30,239,1,0,20151106,BOS,WAS,183863
183864,Shot Chart Detail,21500076,169,201162,Jared Dudley,1610612764,Washington Wizards,2,7,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,16,1,0,20151106,BOS,WAS,183864
183865,Shot Chart Detail,21500076,180,201162,Jared Dudley,1610612764,Washington Wizards,2,6,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,191,9,1,1,20151106,BOS,WAS,183865
183866,Shot Chart Detail,21500076,183,201162,Jared Dudley,1610612764,Washington Wizards,2,6,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,133,232,1,0,20151106,BOS,WAS,183866
183867,Shot Chart Detail,21500076,428,201162,Jared Dudley,1610612764,Washington Wizards,4,10,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,28,252,1,1,20151106,BOS,WAS,183867
183868,Shot Chart Detail,21500076,465,201162,Jared Dudley,1610612764,Washington Wizards,4,7,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,204,75,1,0,20151106,BOS,WAS,183868
183869,Shot Chart Detail,21500086,93,201162,Jared Dudley,1610612764,Washington Wizards,1,2,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,181,80,1,1,20151107,ATL,WAS,183869
183870,Shot Chart Detail,21500086,109,201162,Jared Dudley,1610612764,Washington Wizards,1,0,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,55,237,1,0,20151107,ATL,WAS,183870
183871,Shot Chart Detail,21500086,118,201162,Jared Dudley,1610612764,Washington Wizards,1,0,0,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-1,1,0,20151107,ATL,WAS,183871
183872,Shot Chart Detail,21500086,164,201162,Jared Dudley,1610612764,Washington Wizards,2,8,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,117,149,1,1,20151107,ATL,WAS,183872
183873,Shot Chart Detail,21500086,406,201162,Jared Dudley,1610612764,Washington Wizards,4,10,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,188,1,0,20151107,ATL,WAS,183873
183874,Shot Chart Detail,21500107,154,201162,Jared Dudley,1610612764,Washington Wizards,2,10,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,5,250,1,0,20151110,WAS,OKC,183874
183875,Shot Chart Detail,21500107,206,201162,Jared Dudley,1610612764,Washington Wizards,2,5,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,151,198,1,0,20151110,WAS,OKC,183875
183876,Shot Chart Detail,21500107,491,201162,Jared Dudley,1610612764,Washington Wizards,4,6,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,123,149,1,0,20151110,WAS,OKC,183876
183877,Shot Chart Detail,21500107,497,201162,Jared Dudley,1610612764,Washington Wizards,4,6,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,181,0,1,0,20151110,WAS,OKC,183877
183878,Shot Chart Detail,21500107,565,201162,Jared Dudley,1610612764,Washington Wizards,4,0,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,9,257,1,1,20151110,WAS,OKC,183878
183879,Shot Chart Detail,21500139,75,201162,Jared Dudley,1610612764,Washington Wizards,1,2,53,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,13,1,1,20151114,WAS,ORL,183879
