,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
24703,Shot Chart Detail,21500005,70,203096,Jared Sullinger,1610612738,Boston Celtics,1,4,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-194,174,1,0,20151028,BOS,PHI
24704,Shot Chart Detail,21500005,111,203096,Jared Sullinger,1610612738,Boston Celtics,1,1,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-6,1,1,20151028,BOS,PHI
24705,Shot Chart Detail,21500005,122,203096,Jared Sullinger,1610612738,Boston Celtics,1,0,3,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-35,46,1,1,20151028,BOS,PHI
24706,Shot Chart Detail,21500005,127,203096,Jared Sullinger,1610612738,Boston Celtics,2,11,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-5,1,1,20151028,BOS,PHI
24707,Shot Chart Detail,21500005,312,203096,Jared Sullinger,1610612738,Boston Celtics,3,10,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-5,1,1,20151028,BOS,PHI
24708,Shot Chart Detail,21500005,320,203096,Jared Sullinger,1610612738,Boston Celtics,3,9,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,46,164,1,1,20151028,BOS,PHI
24709,Shot Chart Detail,21500005,438,203096,Jared Sullinger,1610612738,Boston Celtics,4,10,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,17,208,1,1,20151028,BOS,PHI
24710,Shot Chart Detail,21500005,465,203096,Jared Sullinger,1610612738,Boston Celtics,4,8,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-122,232,1,0,20151028,BOS,PHI
24711,Shot Chart Detail,21500024,180,203096,Jared Sullinger,1610612738,Boston Celtics,2,9,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,14,210,1,1,20151030,BOS,TOR
24712,Shot Chart Detail,21500024,183,203096,Jared Sullinger,1610612738,Boston Celtics,2,9,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,87,203,1,1,20151030,BOS,TOR
24713,Shot Chart Detail,21500024,229,203096,Jared Sullinger,1610612738,Boston Celtics,2,6,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,7,1,1,20151030,BOS,TOR
24714,Shot Chart Detail,21500040,234,203096,Jared Sullinger,1610612738,Boston Celtics,2,3,18,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,7,1,0,20151101,BOS,SAS
24715,Shot Chart Detail,21500040,243,203096,Jared Sullinger,1610612738,Boston Celtics,2,2,51,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,26,1,0,20151101,BOS,SAS
24716,Shot Chart Detail,21500040,285,203096,Jared Sullinger,1610612738,Boston Celtics,2,0,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,15,198,1,0,20151101,BOS,SAS
24717,Shot Chart Detail,21500040,306,203096,Jared Sullinger,1610612738,Boston Celtics,3,11,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-222,134,1,1,20151101,BOS,SAS
24718,Shot Chart Detail,21500040,318,203096,Jared Sullinger,1610612738,Boston Celtics,3,10,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-233,97,1,0,20151101,BOS,SAS
24719,Shot Chart Detail,21500040,341,203096,Jared Sullinger,1610612738,Boston Celtics,3,7,46,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,57,1,0,20151101,BOS,SAS
24720,Shot Chart Detail,21500040,347,203096,Jared Sullinger,1610612738,Boston Celtics,3,7,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-145,13,1,0,20151101,BOS,SAS
24721,Shot Chart Detail,21500040,486,203096,Jared Sullinger,1610612738,Boston Celtics,4,8,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-115,149,1,0,20151101,BOS,SAS
