,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
162059,Shot Chart Detail,21500394,512,1626185,Jarell Martin,1610612763,Memphis Grizzlies,4,4,24,Missed Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,21,1,0,20151218,DAL,MEM
162060,Shot Chart Detail,21500394,527,1626185,Jarell Martin,1610612763,Memphis Grizzlies,4,3,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,1,183,1,0,20151218,DAL,MEM
162061,Shot Chart Detail,21500455,468,1626185,Jarell Martin,1610612763,Memphis Grizzlies,4,3,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,0,20151227,MEM,LAL
162062,Shot Chart Detail,21500455,487,1626185,Jarell Martin,1610612763,Memphis Grizzlies,4,1,21,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-155,-6,1,0,20151227,MEM,LAL
162063,Shot Chart Detail,21500455,499,1626185,Jarell Martin,1610612763,Memphis Grizzlies,4,0,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-217,-5,1,1,20151227,MEM,LAL
162064,Shot Chart Detail,21500888,76,1626185,Jarell Martin,1610612763,Memphis Grizzlies,1,4,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-156,65,1,1,20160229,DEN,MEM
162065,Shot Chart Detail,21500888,116,1626185,Jarell Martin,1610612763,Memphis Grizzlies,1,1,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,62,1,0,20160229,DEN,MEM
162066,Shot Chart Detail,21500902,197,1626185,Jarell Martin,1610612763,Memphis Grizzlies,2,7,0,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,8,1,1,20160302,MEM,SAC
162067,Shot Chart Detail,21500932,137,1626185,Jarell Martin,1610612763,Memphis Grizzlies,2,11,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,0,20160306,MEM,PHX
162068,Shot Chart Detail,21500932,463,1626185,Jarell Martin,1610612763,Memphis Grizzlies,4,5,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-158,144,1,0,20160306,MEM,PHX
162069,Shot Chart Detail,21500938,75,1626185,Jarell Martin,1610612763,Memphis Grizzlies,1,4,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,24,36,1,0,20160307,CLE,MEM
