,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
138236,Shot Chart Detail,21500004,196,201160,Jason Smith,1610612753,Orlando Magic,2,7,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,171,110,1,0,20151028,ORL,WAS
138237,Shot Chart Detail,21500004,201,201160,Jason Smith,1610612753,Orlando Magic,2,6,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,74,188,1,1,20151028,ORL,WAS
138238,Shot Chart Detail,21500043,367,201160,Jason Smith,1610612753,Orlando Magic,3,1,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,141,129,1,0,20151101,CHI,ORL
138239,Shot Chart Detail,21500043,415,201160,Jason Smith,1610612753,Orlando Magic,4,9,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-63,193,1,1,20151101,CHI,ORL
138240,Shot Chart Detail,21500043,425,201160,Jason Smith,1610612753,Orlando Magic,4,8,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,96,174,1,1,20151101,CHI,ORL
138241,Shot Chart Detail,21500043,455,201160,Jason Smith,1610612753,Orlando Magic,4,5,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-153,208,1,1,20151101,CHI,ORL
138242,Shot Chart Detail,21500043,465,201160,Jason Smith,1610612753,Orlando Magic,4,4,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-76,195,1,0,20151101,CHI,ORL
138243,Shot Chart Detail,21500043,484,201160,Jason Smith,1610612753,Orlando Magic,4,2,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,2,252,1,0,20151101,CHI,ORL
138244,Shot Chart Detail,21500043,512,201160,Jason Smith,1610612753,Orlando Magic,4,1,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-58,185,1,0,20151101,CHI,ORL
138245,Shot Chart Detail,21500056,114,201160,Jason Smith,1610612753,Orlando Magic,1,0,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,45,200,1,0,20151103,NOP,ORL
138246,Shot Chart Detail,21500056,175,201160,Jason Smith,1610612753,Orlando Magic,2,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,12,213,1,1,20151103,NOP,ORL
138247,Shot Chart Detail,21500056,180,201160,Jason Smith,1610612753,Orlando Magic,2,7,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,4,208,1,0,20151103,NOP,ORL
138248,Shot Chart Detail,21500056,188,201160,Jason Smith,1610612753,Orlando Magic,2,7,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-92,178,1,0,20151103,NOP,ORL
138249,Shot Chart Detail,21500056,228,201160,Jason Smith,1610612753,Orlando Magic,2,4,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-70,188,1,0,20151103,NOP,ORL
138250,Shot Chart Detail,21500056,243,201160,Jason Smith,1610612753,Orlando Magic,2,2,19,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,137,46,1,0,20151103,NOP,ORL
138251,Shot Chart Detail,21500056,249,201160,Jason Smith,1610612753,Orlando Magic,2,1,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-161,90,1,1,20151103,NOP,ORL
138252,Shot Chart Detail,21500056,397,201160,Jason Smith,1610612753,Orlando Magic,4,11,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,115,149,1,0,20151103,NOP,ORL
138253,Shot Chart Detail,21500064,142,201160,Jason Smith,1610612753,Orlando Magic,2,11,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,89,136,1,0,20151104,HOU,ORL
138254,Shot Chart Detail,21500064,148,201160,Jason Smith,1610612753,Orlando Magic,2,10,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,3,1,1,20151104,HOU,ORL
138255,Shot Chart Detail,21500064,267,201160,Jason Smith,1610612753,Orlando Magic,2,0,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,133,56,1,1,20151104,HOU,ORL
138256,Shot Chart Detail,21500064,436,201160,Jason Smith,1610612753,Orlando Magic,4,9,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-147,8,1,1,20151104,HOU,ORL
