,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
164961,Shot Chart Detail,21500792,173,201965,Jeff Ayres,1610612746,LA Clippers,2,7,22,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20160210,BOS,LAC,164961
164962,Shot Chart Detail,21500792,181,201965,Jeff Ayres,1610612746,LA Clippers,2,6,17,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20160210,BOS,LAC,164962
164963,Shot Chart Detail,21501066,539,201965,Jeff Ayres,1610612746,LA Clippers,4,0,56,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,23,1,1,20160323,GSW,LAC,164963
164964,Shot Chart Detail,21501106,516,201965,Jeff Ayres,1610612746,LA Clippers,4,4,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-81,131,1,1,20160328,LAC,BOS,164964
164965,Shot Chart Detail,21501106,545,201965,Jeff Ayres,1610612746,LA Clippers,4,1,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,42,180,1,1,20160328,LAC,BOS,164965
164966,Shot Chart Detail,21501116,450,201965,Jeff Ayres,1610612746,LA Clippers,4,5,5,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,1,20160330,MIN,LAC,164966
164967,Shot Chart Detail,21501126,400,201965,Jeff Ayres,1610612746,LA Clippers,4,9,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,29,1,0,20160331,OKC,LAC,164967
164968,Shot Chart Detail,21501126,418,201965,Jeff Ayres,1610612746,LA Clippers,4,8,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-155,18,1,1,20160331,OKC,LAC,164968
164969,Shot Chart Detail,21501164,490,201965,Jeff Ayres,1610612746,LA Clippers,4,2,47,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,23,1,1,20160405,LAC,LAL,164969
164970,Shot Chart Detail,21501172,408,201965,Jeff Ayres,1610612746,LA Clippers,4,8,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-184,-11,1,1,20160406,LAL,LAC,164970
164971,Shot Chart Detail,21501172,424,201965,Jeff Ayres,1610612746,LA Clippers,4,6,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-19,26,1,0,20160406,LAL,LAC,164971
164972,Shot Chart Detail,21501172,468,201965,Jeff Ayres,1610612746,LA Clippers,4,1,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,181,21,1,0,20160406,LAL,LAC,164972
164973,Shot Chart Detail,21501187,131,201965,Jeff Ayres,1610612746,LA Clippers,2,8,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,0,1,0,20160408,UTA,LAC,164973
