,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
123049,Shot Chart Detail,21500014,405,202379,Jeremy Evans,1610612742,Dallas Mavericks,3,6,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-16,1,1,20151028,PHX,DAL
123050,Shot Chart Detail,21500014,474,202379,Jeremy Evans,1610612742,Dallas Mavericks,4,11,50,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,PHX,DAL
123051,Shot Chart Detail,21500014,523,202379,Jeremy Evans,1610612742,Dallas Mavericks,4,7,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,-1,1,0,20151028,PHX,DAL
123052,Shot Chart Detail,21500014,524,202379,Jeremy Evans,1610612742,Dallas Mavericks,4,7,22,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,1,20151028,PHX,DAL
123053,Shot Chart Detail,21500020,222,202379,Jeremy Evans,1610612742,Dallas Mavericks,2,4,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,127,219,1,0,20151029,LAC,DAL
123054,Shot Chart Detail,21500072,517,202379,Jeremy Evans,1610612742,Dallas Mavericks,4,1,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,-71,229,1,0,20151105,DAL,CHA
123055,Shot Chart Detail,21500088,149,202379,Jeremy Evans,1610612742,Dallas Mavericks,2,8,44,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151107,DAL,NOP
123056,Shot Chart Detail,21500112,520,202379,Jeremy Evans,1610612742,Dallas Mavericks,4,5,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,1,20151110,NOP,DAL
123057,Shot Chart Detail,21500112,544,202379,Jeremy Evans,1610612742,Dallas Mavericks,4,3,22,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,1,20151110,NOP,DAL
123058,Shot Chart Detail,21500112,551,202379,Jeremy Evans,1610612742,Dallas Mavericks,4,2,22,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,6,90,1,1,20151110,NOP,DAL
