,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
132134,Shot Chart Detail,21500026,146,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,11,33,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-94,149,1,0,20151030,ATL,CHA
132135,Shot Chart Detail,21500026,170,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,8,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,51,1,1,20151030,ATL,CHA
132136,Shot Chart Detail,21500026,184,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,7,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,23,1,1,20151030,ATL,CHA
132137,Shot Chart Detail,21500026,187,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,7,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-137,208,1,1,20151030,ATL,CHA
132138,Shot Chart Detail,21500026,200,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,6,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,218,1,0,20151030,ATL,CHA
132139,Shot Chart Detail,21500026,382,203087,Jeremy Lamb,1610612766,Charlotte Hornets,3,1,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-166,185,1,1,20151030,ATL,CHA
132140,Shot Chart Detail,21500026,410,203087,Jeremy Lamb,1610612766,Charlotte Hornets,4,10,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,208,1,0,20151030,ATL,CHA
132141,Shot Chart Detail,21500026,421,203087,Jeremy Lamb,1610612766,Charlotte Hornets,4,10,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-197,28,1,0,20151030,ATL,CHA
132142,Shot Chart Detail,21500039,83,203087,Jeremy Lamb,1610612766,Charlotte Hornets,1,0,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,0,20151101,CHA,ATL
132143,Shot Chart Detail,21500039,103,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,11,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-151,87,1,1,20151101,CHA,ATL
132144,Shot Chart Detail,21500039,106,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,10,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-192,183,1,0,20151101,CHA,ATL
132145,Shot Chart Detail,21500039,115,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,9,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-106,232,1,0,20151101,CHA,ATL
132146,Shot Chart Detail,21500039,130,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,8,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-40,154,1,1,20151101,CHA,ATL
132147,Shot Chart Detail,21500039,137,203087,Jeremy Lamb,1610612766,Charlotte Hornets,2,7,53,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20151101,CHA,ATL
132148,Shot Chart Detail,21500039,368,203087,Jeremy Lamb,1610612766,Charlotte Hornets,4,10,38,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,21,1,0,20151101,CHA,ATL
132149,Shot Chart Detail,21500039,385,203087,Jeremy Lamb,1610612766,Charlotte Hornets,4,9,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,16,1,1,20151101,CHA,ATL
