,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
145920,Shot Chart Detail,21500008,104,202391,Jeremy Lin,1610612766,Charlotte Hornets,1,2,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,21,1,1,20151028,MIA,CHA,145920
145921,Shot Chart Detail,21500008,115,202391,Jeremy Lin,1610612766,Charlotte Hornets,1,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,195,156,1,1,20151028,MIA,CHA,145921
145922,Shot Chart Detail,21500008,121,202391,Jeremy Lin,1610612766,Charlotte Hornets,1,0,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,199,-1,1,0,20151028,MIA,CHA,145922
145923,Shot Chart Detail,21500008,133,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,11,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,61,61,1,1,20151028,MIA,CHA,145923
145924,Shot Chart Detail,21500008,353,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,3,5,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,110,144,1,0,20151028,MIA,CHA,145924
145925,Shot Chart Detail,21500008,376,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,1,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,82,144,1,0,20151028,MIA,CHA,145925
145926,Shot Chart Detail,21500008,403,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,11,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,171,213,1,0,20151028,MIA,CHA,145926
145927,Shot Chart Detail,21500008,440,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,7,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-187,178,1,1,20151028,MIA,CHA,145927
145928,Shot Chart Detail,21500008,445,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,6,16,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,101,13,1,0,20151028,MIA,CHA,145928
145929,Shot Chart Detail,21500008,521,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,0,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,1,20151028,MIA,CHA,145929
145930,Shot Chart Detail,21500026,149,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,10,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-155,195,1,0,20151030,ATL,CHA,145930
145931,Shot Chart Detail,21500026,257,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,2,12,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-6,1,0,20151030,ATL,CHA,145931
145932,Shot Chart Detail,21500026,405,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,11,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-1,1,0,20151030,ATL,CHA,145932
145933,Shot Chart Detail,21500026,479,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,4,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,10,254,1,1,20151030,ATL,CHA,145933
145934,Shot Chart Detail,21500026,487,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,3,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,212,134,1,0,20151030,ATL,CHA,145934
145935,Shot Chart Detail,21500026,491,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,3,26,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,92,149,1,0,20151030,ATL,CHA,145935
145936,Shot Chart Detail,21500026,509,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,1,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,27,239,1,1,20151030,ATL,CHA,145936
145937,Shot Chart Detail,21500026,518,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,0,27,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,0,20151030,ATL,CHA,145937
145938,Shot Chart Detail,21500039,113,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,10,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,187,164,1,0,20151101,CHA,ATL,145938
145939,Shot Chart Detail,21500039,142,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,6,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,210,1,0,20151101,CHA,ATL,145939
145940,Shot Chart Detail,21500039,334,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,2,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,215,116,1,1,20151101,CHA,ATL,145940
145941,Shot Chart Detail,21500039,341,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,1,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,112,229,1,0,20151101,CHA,ATL,145941
145942,Shot Chart Detail,21500039,344,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,0,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,13,1,1,20151101,CHA,ATL,145942
145943,Shot Chart Detail,21500039,355,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,11,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,50,46,1,0,20151101,CHA,ATL,145943
145944,Shot Chart Detail,21500039,388,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,8,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,186,165,1,0,20151101,CHA,ATL,145944
145945,Shot Chart Detail,21500039,453,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,4,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,0,20151101,CHA,ATL,145945
145946,Shot Chart Detail,21500039,464,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,2,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,200,149,1,0,20151101,CHA,ATL,145946
145947,Shot Chart Detail,21500053,116,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,10,58,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,0,20151103,CHA,CHI,145947
145948,Shot Chart Detail,21500053,152,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,7,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,105,267,1,1,20151103,CHA,CHI,145948
145949,Shot Chart Detail,21500053,159,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,6,29,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,1,80,1,0,20151103,CHA,CHI,145949
145950,Shot Chart Detail,21500053,350,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,0,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,13,1,1,20151103,CHA,CHI,145950
145951,Shot Chart Detail,21500053,352,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,0,4,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,102,237,1,1,20151103,CHA,CHI,145951
145952,Shot Chart Detail,21500053,360,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,11,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,133,169,1,0,20151103,CHA,CHI,145952
145953,Shot Chart Detail,21500053,374,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,10,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20151103,CHA,CHI,145953
145954,Shot Chart Detail,21500053,399,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,7,51,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-16,174,1,0,20151103,CHA,CHI,145954
145955,Shot Chart Detail,21500072,107,202391,Jeremy Lin,1610612766,Charlotte Hornets,1,0,14,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,104,100,1,1,20151105,DAL,CHA,145955
145956,Shot Chart Detail,21500072,119,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,11,3,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,2,1,1,20151105,DAL,CHA,145956
145957,Shot Chart Detail,21500072,125,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,10,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,159,203,1,0,20151105,DAL,CHA,145957
145958,Shot Chart Detail,21500072,140,202391,Jeremy Lin,1610612766,Charlotte Hornets,2,8,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,56,1,0,20151105,DAL,CHA,145958
145959,Shot Chart Detail,21500072,367,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,1,26,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,86,178,1,0,20151105,DAL,CHA,145959
145960,Shot Chart Detail,21500072,376,202391,Jeremy Lin,1610612766,Charlotte Hornets,3,0,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,33,237,1,0,20151105,DAL,CHA,145960
145961,Shot Chart Detail,21500072,405,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,9,23,Missed Shot,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,13,1,0,20151105,DAL,CHA,145961
145962,Shot Chart Detail,21500072,422,202391,Jeremy Lin,1610612766,Charlotte Hornets,4,8,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,7,1,1,20151105,DAL,CHA,145962
145963,Shot Chart Detail,21500090,95,202391,Jeremy Lin,1610612766,Charlotte Hornets,1,3,13,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,-6,1,1,20151107,SAS,CHA,145963
145964,Shot Chart Detail,21500090,117,202391,Jeremy Lin,1610612766,Charlotte Hornets,1,1,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,23,1,0,20151107,SAS,CHA,145964
