,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
136445,Shot Chart Detail,21500012,52,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,1,7,24,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,13,1,0,20151028,MIL,NYK,136445
136446,Shot Chart Detail,21500012,151,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,1,0,17,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-16,188,1,0,20151028,MIL,NYK,136446
136447,Shot Chart Detail,21500012,264,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,2,2,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,21,1,0,20151028,MIL,NYK,136447
136448,Shot Chart Detail,21500012,317,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,2,0,0,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,9,1,0,20151028,MIL,NYK,136448
136449,Shot Chart Detail,21500012,458,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,10,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,0,20151028,MIL,NYK,136449
136450,Shot Chart Detail,21500012,541,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,5,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,112,178,1,0,20151028,MIL,NYK,136450
136451,Shot Chart Detail,21500027,133,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,1,1,7,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,48,46,1,1,20151030,MIL,WAS,136451
136452,Shot Chart Detail,21500027,160,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,2,11,9,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-250,2,1,1,20151030,MIL,WAS,136452
136453,Shot Chart Detail,21500027,165,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,2,10,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-207,174,1,0,20151030,MIL,WAS,136453
136454,Shot Chart Detail,21500027,401,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,3,1,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,46,1,1,20151030,MIL,WAS,136454
136455,Shot Chart Detail,21500027,418,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,3,0,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-215,0,1,1,20151030,MIL,WAS,136455
136456,Shot Chart Detail,21500027,440,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,11,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,225,101,1,0,20151030,MIL,WAS,136456
136457,Shot Chart Detail,21500027,480,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,6,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,-10,1,0,20151030,MIL,WAS,136457
136458,Shot Chart Detail,21500027,521,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,2,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-124,134,1,1,20151030,MIL,WAS,136458
136459,Shot Chart Detail,21500027,534,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,0,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-225,149,1,0,20151030,MIL,WAS,136459
136460,Shot Chart Detail,21500027,550,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,0,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,135,210,1,0,20151030,MIL,WAS,136460
136461,Shot Chart Detail,21500027,577,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,0,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,13,1,0,20151030,MIL,WAS,136461
136462,Shot Chart Detail,21500042,113,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,1,0,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,1,20151101,TOR,MIL,136462
136463,Shot Chart Detail,21500042,432,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,4,6,32,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,179,13,1,0,20151101,TOR,MIL,136463
136464,Shot Chart Detail,21500047,8,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,1,10,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-40,257,1,1,20151102,BKN,MIL,136464
136465,Shot Chart Detail,21500047,86,201573,Jerryd Bayless,1610612749,Milwaukee Bucks,1,3,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,0,126,1,0,20151102,BKN,MIL,136465
