,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
39414,Shot Chart Detail,21500002,25,202710,Jimmy Butler,1610612741,Chicago Bulls,1,8,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-55,198,1,0,20151027,CHI,CLE
39415,Shot Chart Detail,21500002,33,202710,Jimmy Butler,1610612741,Chicago Bulls,1,8,14,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,CHI,CLE
39416,Shot Chart Detail,21500002,41,202710,Jimmy Butler,1610612741,Chicago Bulls,1,7,19,Missed Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,2,1,0,20151027,CHI,CLE
39417,Shot Chart Detail,21500002,143,202710,Jimmy Butler,1610612741,Chicago Bulls,1,0,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,-31,1,1,20151027,CHI,CLE
39418,Shot Chart Detail,21500002,157,202710,Jimmy Butler,1610612741,Chicago Bulls,2,10,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,125,203,1,0,20151027,CHI,CLE
39419,Shot Chart Detail,21500002,171,202710,Jimmy Butler,1610612741,Chicago Bulls,2,9,41,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,11,1,1,20151027,CHI,CLE
39420,Shot Chart Detail,21500002,186,202710,Jimmy Butler,1610612741,Chicago Bulls,2,8,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,166,82,1,0,20151027,CHI,CLE
39421,Shot Chart Detail,21500002,198,202710,Jimmy Butler,1610612741,Chicago Bulls,2,7,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,46,249,1,0,20151027,CHI,CLE
39422,Shot Chart Detail,21500002,207,202710,Jimmy Butler,1610612741,Chicago Bulls,2,6,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,114,85,1,0,20151027,CHI,CLE
39423,Shot Chart Detail,21500002,353,202710,Jimmy Butler,1610612741,Chicago Bulls,3,5,24,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,140,18,1,0,20151027,CHI,CLE
