,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
97254,Shot Chart Detail,21500001,167,201975,Jodie Meeks,1610612765,Detroit Pistons,2,7,41,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-27,116,1,0,20151027,ATL,DET,97254
97255,Shot Chart Detail,21500001,169,201975,Jodie Meeks,1610612765,Detroit Pistons,2,7,36,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,0,20151027,ATL,DET,97255
97256,Shot Chart Detail,21500001,375,201975,Jodie Meeks,1610612765,Detroit Pistons,4,10,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-79,175,1,0,20151027,ATL,DET,97256
97257,Shot Chart Detail,21500001,388,201975,Jodie Meeks,1610612765,Detroit Pistons,4,9,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-5,1,1,20151027,ATL,DET,97257
97258,Shot Chart Detail,21500007,117,201975,Jodie Meeks,1610612765,Detroit Pistons,2,11,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,32,209,1,0,20151028,DET,UTA,97258
97259,Shot Chart Detail,21501220,152,201975,Jodie Meeks,1610612765,Detroit Pistons,2,8,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-147,218,1,0,20160413,CLE,DET,97259
97260,Shot Chart Detail,21501220,160,201975,Jodie Meeks,1610612765,Detroit Pistons,2,8,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-65,244,1,1,20160413,CLE,DET,97260
97261,Shot Chart Detail,21501220,165,201975,Jodie Meeks,1610612765,Detroit Pistons,2,7,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-220,149,1,0,20160413,CLE,DET,97261
97262,Shot Chart Detail,21501220,198,201975,Jodie Meeks,1610612765,Detroit Pistons,2,3,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-160,198,1,1,20160413,CLE,DET,97262
97263,Shot Chart Detail,21501220,218,201975,Jodie Meeks,1610612765,Detroit Pistons,2,0,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-238,95,1,1,20160413,CLE,DET,97263
97264,Shot Chart Detail,21501220,320,201975,Jodie Meeks,1610612765,Detroit Pistons,3,1,18,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-6,1,0,20160413,CLE,DET,97264
97265,Shot Chart Detail,21501220,346,201975,Jodie Meeks,1610612765,Detroit Pistons,4,11,7,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,61,1,0,20160413,CLE,DET,97265
97266,Shot Chart Detail,21501220,349,201975,Jodie Meeks,1610612765,Detroit Pistons,4,10,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-6,1,0,20160413,CLE,DET,97266
97267,Shot Chart Detail,21501220,375,201975,Jodie Meeks,1610612765,Detroit Pistons,4,9,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,56,1,0,20160413,CLE,DET,97267
97268,Shot Chart Detail,21501220,404,201975,Jodie Meeks,1610612765,Detroit Pistons,4,7,13,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,109,7,1,1,20160413,CLE,DET,97268
97269,Shot Chart Detail,21501220,412,201975,Jodie Meeks,1610612765,Detroit Pistons,4,6,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,69,239,1,0,20160413,CLE,DET,97269
97270,Shot Chart Detail,21501220,437,201975,Jodie Meeks,1610612765,Detroit Pistons,4,3,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-176,169,1,1,20160413,CLE,DET,97270
97271,Shot Chart Detail,21501220,441,201975,Jodie Meeks,1610612765,Detroit Pistons,4,3,29,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,38,3,1,0,20160413,CLE,DET,97271
97272,Shot Chart Detail,21501220,499,201975,Jodie Meeks,1610612765,Detroit Pistons,5,4,8,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,45,100,1,1,20160413,CLE,DET,97272
97273,Shot Chart Detail,21501220,504,201975,Jodie Meeks,1610612765,Detroit Pistons,5,3,12,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,2,1,0,20160413,CLE,DET,97273
