,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
150885,Shot Chart Detail,21500014,598,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-11,178,1,0,20151028,PHX,DAL
150886,Shot Chart Detail,21500020,11,203098,John Jenkins,1610612742,Dallas Mavericks,1,10,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-171,129,1,1,20151029,LAC,DAL
150887,Shot Chart Detail,21500020,36,203098,John Jenkins,1610612742,Dallas Mavericks,1,8,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-101,178,1,0,20151029,LAC,DAL
150888,Shot Chart Detail,21500020,171,203098,John Jenkins,1610612742,Dallas Mavericks,2,10,13,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-11,51,1,1,20151029,LAC,DAL
150889,Shot Chart Detail,21500020,227,203098,John Jenkins,1610612742,Dallas Mavericks,2,4,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-79,164,1,0,20151029,LAC,DAL
150890,Shot Chart Detail,21500020,351,203098,John Jenkins,1610612742,Dallas Mavericks,3,7,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-109,254,1,0,20151029,LAC,DAL
150891,Shot Chart Detail,21500020,354,203098,John Jenkins,1610612742,Dallas Mavericks,3,6,44,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-137,23,1,1,20151029,LAC,DAL
150892,Shot Chart Detail,21500020,361,203098,John Jenkins,1610612742,Dallas Mavericks,3,6,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,19,267,1,0,20151029,LAC,DAL
150893,Shot Chart Detail,21500020,401,203098,John Jenkins,1610612742,Dallas Mavericks,3,3,5,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-6,97,1,1,20151029,LAC,DAL
150894,Shot Chart Detail,21500020,416,203098,John Jenkins,1610612742,Dallas Mavericks,3,1,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-112,151,1,1,20151029,LAC,DAL
150895,Shot Chart Detail,21500020,460,203098,John Jenkins,1610612742,Dallas Mavericks,4,10,43,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,18,1,1,20151029,LAC,DAL
150896,Shot Chart Detail,21500020,465,203098,John Jenkins,1610612742,Dallas Mavericks,4,10,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-117,252,1,0,20151029,LAC,DAL
150897,Shot Chart Detail,21500020,479,203098,John Jenkins,1610612742,Dallas Mavericks,4,9,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-55,195,1,0,20151029,LAC,DAL
150898,Shot Chart Detail,21500020,488,203098,John Jenkins,1610612742,Dallas Mavericks,4,8,57,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-1,85,1,0,20151029,LAC,DAL
150899,Shot Chart Detail,21500020,547,203098,John Jenkins,1610612742,Dallas Mavericks,4,2,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,163,200,1,0,20151029,LAC,DAL
150900,Shot Chart Detail,21500020,551,203098,John Jenkins,1610612742,Dallas Mavericks,4,2,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,26,1,1,20151029,LAC,DAL
150901,Shot Chart Detail,21500020,568,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,86,149,1,1,20151029,LAC,DAL
150902,Shot Chart Detail,21500072,492,203098,John Jenkins,1610612742,Dallas Mavericks,4,3,14,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-88,41,1,0,20151105,DAL,CHA
150903,Shot Chart Detail,21500072,509,203098,John Jenkins,1610612742,Dallas Mavericks,4,2,20,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-22,188,1,0,20151105,DAL,CHA
150904,Shot Chart Detail,21500140,94,203098,John Jenkins,1610612742,Dallas Mavericks,1,3,11,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-96,-1,1,0,20151114,HOU,DAL
150905,Shot Chart Detail,21500140,98,203098,John Jenkins,1610612742,Dallas Mavericks,1,3,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,0,20151114,HOU,DAL
150906,Shot Chart Detail,21500140,114,203098,John Jenkins,1610612742,Dallas Mavericks,1,2,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,102,228,1,1,20151114,HOU,DAL
150907,Shot Chart Detail,21500140,132,203098,John Jenkins,1610612742,Dallas Mavericks,1,1,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,194,159,1,0,20151114,HOU,DAL
150908,Shot Chart Detail,21500140,135,203098,John Jenkins,1610612742,Dallas Mavericks,1,0,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-16,1,0,20151114,HOU,DAL
150909,Shot Chart Detail,21500140,190,203098,John Jenkins,1610612742,Dallas Mavericks,2,7,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,125,228,1,0,20151114,HOU,DAL
150910,Shot Chart Detail,21500140,211,203098,John Jenkins,1610612742,Dallas Mavericks,2,6,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,12,198,1,1,20151114,HOU,DAL
150911,Shot Chart Detail,21500140,233,203098,John Jenkins,1610612742,Dallas Mavericks,2,4,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,16,1,0,20151114,HOU,DAL
150912,Shot Chart Detail,21500260,554,203098,John Jenkins,1610612742,Dallas Mavericks,4,3,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20151130,SAC,DAL
150913,Shot Chart Detail,21500260,584,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,30,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-19,41,1,1,20151130,SAC,DAL
150914,Shot Chart Detail,21500267,204,203098,John Jenkins,1610612742,Dallas Mavericks,2,3,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-161,183,1,0,20151201,POR,DAL
150915,Shot Chart Detail,21500302,312,203098,John Jenkins,1610612742,Dallas Mavericks,2,0,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,189,115,1,1,20151206,WAS,DAL
150916,Shot Chart Detail,21500302,398,203098,John Jenkins,1610612742,Dallas Mavericks,3,4,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,69,234,1,1,20151206,WAS,DAL
150917,Shot Chart Detail,21500302,421,203098,John Jenkins,1610612742,Dallas Mavericks,3,1,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,180,1,0,20151206,WAS,DAL
150918,Shot Chart Detail,21500307,87,203098,John Jenkins,1610612742,Dallas Mavericks,1,1,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-26,1,0,20151207,NYK,DAL
150919,Shot Chart Detail,21500307,90,203098,John Jenkins,1610612742,Dallas Mavericks,1,1,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-219,126,1,0,20151207,NYK,DAL
150920,Shot Chart Detail,21500307,129,203098,John Jenkins,1610612742,Dallas Mavericks,2,9,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,7,1,1,20151207,NYK,DAL
150921,Shot Chart Detail,21500307,133,203098,John Jenkins,1610612742,Dallas Mavericks,2,9,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-73,106,1,0,20151207,NYK,DAL
150922,Shot Chart Detail,21500307,337,203098,John Jenkins,1610612742,Dallas Mavericks,3,0,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,0,20151207,NYK,DAL
150923,Shot Chart Detail,21500307,355,203098,John Jenkins,1610612742,Dallas Mavericks,4,10,45,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,36,1,1,20151207,NYK,DAL
150924,Shot Chart Detail,21500307,357,203098,John Jenkins,1610612742,Dallas Mavericks,4,10,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20151207,NYK,DAL
150925,Shot Chart Detail,21500421,165,203098,John Jenkins,1610612742,Dallas Mavericks,2,8,54,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,204,43,1,1,20151222,TOR,DAL
150926,Shot Chart Detail,21500421,498,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-6,1,0,20151222,TOR,DAL
150927,Shot Chart Detail,21500421,542,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,0,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-173,2,1,0,20151222,TOR,DAL
150928,Shot Chart Detail,21500428,187,203098,John Jenkins,1610612742,Dallas Mavericks,2,5,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-107,174,1,0,20151223,BKN,DAL
150929,Shot Chart Detail,21500428,343,203098,John Jenkins,1610612742,Dallas Mavericks,3,1,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-5,1,1,20151223,BKN,DAL
150930,Shot Chart Detail,21500428,367,203098,John Jenkins,1610612742,Dallas Mavericks,4,11,22,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,4,101,1,0,20151223,BKN,DAL
150931,Shot Chart Detail,21500428,375,203098,John Jenkins,1610612742,Dallas Mavericks,4,10,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-197,164,1,0,20151223,BKN,DAL
150932,Shot Chart Detail,21500480,468,203098,John Jenkins,1610612742,Dallas Mavericks,4,3,18,Missed Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,16,1,0,20151230,DAL,GSW
150933,Shot Chart Detail,21500480,473,203098,John Jenkins,1610612742,Dallas Mavericks,4,2,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-76,252,1,0,20151230,DAL,GSW
150934,Shot Chart Detail,21500480,521,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,29,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-142,101,1,1,20151230,DAL,GSW
150935,Shot Chart Detail,21500491,314,203098,John Jenkins,1610612742,Dallas Mavericks,3,3,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,21,1,0,20160101,MIA,DAL
150936,Shot Chart Detail,21500491,330,203098,John Jenkins,1610612742,Dallas Mavericks,3,1,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,16,1,1,20160101,MIA,DAL
150937,Shot Chart Detail,21500491,456,203098,John Jenkins,1610612742,Dallas Mavericks,4,2,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,135,141,1,1,20160101,MIA,DAL
150938,Shot Chart Detail,21500491,477,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,31,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,16,1,1,20160101,MIA,DAL
150939,Shot Chart Detail,21500531,195,203098,John Jenkins,1610612742,Dallas Mavericks,2,7,35,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-7,183,1,0,20160106,NOP,DAL
150940,Shot Chart Detail,21500582,159,203098,John Jenkins,1610612742,Dallas Mavericks,2,9,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-155,61,1,1,20160113,OKC,DAL
150941,Shot Chart Detail,21500582,417,203098,John Jenkins,1610612742,Dallas Mavericks,3,3,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,109,8,1,1,20160113,OKC,DAL
150942,Shot Chart Detail,21500582,537,203098,John Jenkins,1610612742,Dallas Mavericks,4,4,38,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-125,156,1,0,20160113,OKC,DAL
150943,Shot Chart Detail,21500582,586,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-91,174,1,1,20160113,OKC,DAL
150944,Shot Chart Detail,21500612,493,203098,John Jenkins,1610612742,Dallas Mavericks,4,5,56,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,84,154,1,0,20160117,SAS,DAL
150945,Shot Chart Detail,21500612,555,203098,John Jenkins,1610612742,Dallas Mavericks,4,1,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,73,154,1,0,20160117,SAS,DAL
150946,Shot Chart Detail,21500691,434,203098,John Jenkins,1610612742,Dallas Mavericks,4,2,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,149,1,0,20160127,GSW,DAL
150947,Shot Chart Detail,21500691,441,203098,John Jenkins,1610612742,Dallas Mavericks,4,2,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-32,101,1,0,20160127,GSW,DAL
150948,Shot Chart Detail,21500723,181,203098,John Jenkins,1610612742,Dallas Mavericks,2,8,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,-1,1,0,20160201,ATL,DAL
150949,Shot Chart Detail,21500723,511,203098,John Jenkins,1610612742,Dallas Mavericks,4,5,25,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-29,198,1,1,20160201,ATL,DAL
150950,Shot Chart Detail,21500723,524,203098,John Jenkins,1610612742,Dallas Mavericks,4,4,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-7,183,1,0,20160201,ATL,DAL
150951,Shot Chart Detail,21500723,530,203098,John Jenkins,1610612742,Dallas Mavericks,4,3,54,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,56,1,0,20160201,ATL,DAL
150952,Shot Chart Detail,21500723,569,203098,John Jenkins,1610612742,Dallas Mavericks,4,1,37,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,69,213,1,0,20160201,ATL,DAL
150953,Shot Chart Detail,21500723,576,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,51,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-17,169,1,1,20160201,ATL,DAL
150954,Shot Chart Detail,21500723,579,203098,John Jenkins,1610612742,Dallas Mavericks,4,0,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,3,1,1,20160201,ATL,DAL
150955,Shot Chart Detail,21500858,405,203098,John Jenkins,1610612756,Phoenix Suns,3,1,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160225,PHX,BKN
150956,Shot Chart Detail,21500858,433,203098,John Jenkins,1610612756,Phoenix Suns,3,0,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,46,95,1,0,20160225,PHX,BKN
150957,Shot Chart Detail,21500891,211,203098,John Jenkins,1610612756,Phoenix Suns,2,6,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,92,205,1,1,20160301,CHA,PHX
150958,Shot Chart Detail,21500891,239,203098,John Jenkins,1610612756,Phoenix Suns,2,5,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,101,193,1,0,20160301,CHA,PHX
150959,Shot Chart Detail,21500891,515,203098,John Jenkins,1610612756,Phoenix Suns,4,5,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-192,46,1,1,20160301,CHA,PHX
150960,Shot Chart Detail,21500891,518,203098,John Jenkins,1610612756,Phoenix Suns,4,4,35,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-55,26,1,1,20160301,CHA,PHX
150961,Shot Chart Detail,21500891,529,203098,John Jenkins,1610612756,Phoenix Suns,4,3,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20160301,CHA,PHX
150962,Shot Chart Detail,21500891,549,203098,John Jenkins,1610612756,Phoenix Suns,4,2,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,228,1,1,20160301,CHA,PHX
150963,Shot Chart Detail,21500891,560,203098,John Jenkins,1610612756,Phoenix Suns,4,1,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,0,20160301,CHA,PHX
150964,Shot Chart Detail,21500908,86,203098,John Jenkins,1610612756,Phoenix Suns,1,3,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,0,20160303,MIA,PHX
150965,Shot Chart Detail,21500908,112,203098,John Jenkins,1610612756,Phoenix Suns,1,1,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-173,188,1,0,20160303,MIA,PHX
150966,Shot Chart Detail,21500908,141,203098,John Jenkins,1610612756,Phoenix Suns,2,11,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,1,20160303,MIA,PHX
150967,Shot Chart Detail,21500908,161,203098,John Jenkins,1610612756,Phoenix Suns,2,9,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,21,1,0,20160303,MIA,PHX
150968,Shot Chart Detail,21500908,385,203098,John Jenkins,1610612756,Phoenix Suns,3,1,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,102,170,1,0,20160303,MIA,PHX
150969,Shot Chart Detail,21500908,441,203098,John Jenkins,1610612756,Phoenix Suns,4,9,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-97,149,1,1,20160303,MIA,PHX
150970,Shot Chart Detail,21500908,544,203098,John Jenkins,1610612756,Phoenix Suns,4,0,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,158,188,1,0,20160303,MIA,PHX
150971,Shot Chart Detail,21500908,547,203098,John Jenkins,1610612756,Phoenix Suns,4,0,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,155,190,1,0,20160303,MIA,PHX
150972,Shot Chart Detail,21500913,206,203098,John Jenkins,1610612756,Phoenix Suns,2,6,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,135,101,1,1,20160304,ORL,PHX
150973,Shot Chart Detail,21500913,505,203098,John Jenkins,1610612756,Phoenix Suns,4,7,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-125,131,1,0,20160304,ORL,PHX
150974,Shot Chart Detail,21500956,171,203098,John Jenkins,1610612756,Phoenix Suns,2,8,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,173,188,1,1,20160309,PHX,NYK
150975,Shot Chart Detail,21500956,453,203098,John Jenkins,1610612756,Phoenix Suns,4,4,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-86,190,1,1,20160309,PHX,NYK
150976,Shot Chart Detail,21500956,466,203098,John Jenkins,1610612756,Phoenix Suns,4,3,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-96,229,1,0,20160309,PHX,NYK
150977,Shot Chart Detail,21500956,472,203098,John Jenkins,1610612756,Phoenix Suns,4,2,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,84,154,1,1,20160309,PHX,NYK
150978,Shot Chart Detail,21500956,476,203098,John Jenkins,1610612756,Phoenix Suns,4,1,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-4,141,1,1,20160309,PHX,NYK
150979,Shot Chart Detail,21500956,484,203098,John Jenkins,1610612756,Phoenix Suns,4,1,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,7,1,0,20160309,PHX,NYK
150980,Shot Chart Detail,21500956,493,203098,John Jenkins,1610612756,Phoenix Suns,4,0,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-6,1,1,20160309,PHX,NYK
150981,Shot Chart Detail,21500981,138,203098,John Jenkins,1610612756,Phoenix Suns,2,10,26,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,71,232,1,0,20160312,GSW,PHX
150982,Shot Chart Detail,21500981,174,203098,John Jenkins,1610612756,Phoenix Suns,2,6,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,3,1,0,20160312,GSW,PHX
150983,Shot Chart Detail,21501019,415,203098,John Jenkins,1610612756,Phoenix Suns,4,7,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-163,62,1,0,20160317,UTA,PHX
150984,Shot Chart Detail,21501019,417,203098,John Jenkins,1610612756,Phoenix Suns,4,6,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,46,1,0,20160317,UTA,PHX
150985,Shot Chart Detail,21501019,425,203098,John Jenkins,1610612756,Phoenix Suns,4,5,44,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-184,115,1,1,20160317,UTA,PHX
150986,Shot Chart Detail,21501019,491,203098,John Jenkins,1610612756,Phoenix Suns,4,0,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,16,1,0,20160317,UTA,PHX
150987,Shot Chart Detail,21501027,432,203098,John Jenkins,1610612756,Phoenix Suns,4,10,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,16,1,1,20160318,LAL,PHX
150988,Shot Chart Detail,21501027,434,203098,John Jenkins,1610612756,Phoenix Suns,4,9,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-5,1,1,20160318,LAL,PHX
150989,Shot Chart Detail,21501051,152,203098,John Jenkins,1610612756,Phoenix Suns,2,9,24,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-1,1,1,20160321,PHX,MEM
150990,Shot Chart Detail,21501051,158,203098,John Jenkins,1610612756,Phoenix Suns,2,8,21,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,8,1,0,20160321,PHX,MEM
150991,Shot Chart Detail,21501051,183,203098,John Jenkins,1610612756,Phoenix Suns,2,5,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-30,247,1,1,20160321,PHX,MEM
150992,Shot Chart Detail,21501051,462,203098,John Jenkins,1610612756,Phoenix Suns,4,7,17,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,56,1,1,20160321,PHX,MEM
