,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
101609,Shot Chart Detail,21500004,21,202322,John Wall,1610612764,Washington Wizards,1,9,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,173,165,1,1,20151028,ORL,WAS
101610,Shot Chart Detail,21500004,30,202322,John Wall,1610612764,Washington Wizards,1,8,22,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,12,165,1,1,20151028,ORL,WAS
101611,Shot Chart Detail,21500004,40,202322,John Wall,1610612764,Washington Wizards,1,7,15,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,16,1,1,20151028,ORL,WAS
101612,Shot Chart Detail,21500004,58,202322,John Wall,1610612764,Washington Wizards,1,5,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,84,70,1,0,20151028,ORL,WAS
101613,Shot Chart Detail,21500004,159,202322,John Wall,1610612764,Washington Wizards,2,9,53,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,150,61,1,0,20151028,ORL,WAS
101614,Shot Chart Detail,21500004,180,202322,John Wall,1610612764,Washington Wizards,2,8,40,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-1,1,0,20151028,ORL,WAS
101615,Shot Chart Detail,21500004,214,202322,John Wall,1610612764,Washington Wizards,2,5,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-133,219,1,0,20151028,ORL,WAS
101616,Shot Chart Detail,21500004,260,202322,John Wall,1610612764,Washington Wizards,2,1,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,105,170,1,1,20151028,ORL,WAS
101617,Shot Chart Detail,21500004,276,202322,John Wall,1610612764,Washington Wizards,2,0,35,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-6,188,1,0,20151028,ORL,WAS
101618,Shot Chart Detail,21500004,307,202322,John Wall,1610612764,Washington Wizards,3,11,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-160,213,1,0,20151028,ORL,WAS
101619,Shot Chart Detail,21500004,337,202322,John Wall,1610612764,Washington Wizards,3,8,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,250,61,1,0,20151028,ORL,WAS
101620,Shot Chart Detail,21500004,442,202322,John Wall,1610612764,Washington Wizards,4,10,17,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-150,124,1,1,20151028,ORL,WAS
101621,Shot Chart Detail,21500004,452,202322,John Wall,1610612764,Washington Wizards,4,9,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-91,223,1,1,20151028,ORL,WAS
101622,Shot Chart Detail,21500004,456,202322,John Wall,1610612764,Washington Wizards,4,8,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-156,193,1,0,20151028,ORL,WAS
101623,Shot Chart Detail,21500004,497,202322,John Wall,1610612764,Washington Wizards,4,5,51,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,-10,1,1,20151028,ORL,WAS
101624,Shot Chart Detail,21500004,504,202322,John Wall,1610612764,Washington Wizards,4,5,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,114,62,1,1,20151028,ORL,WAS
101625,Shot Chart Detail,21500004,515,202322,John Wall,1610612764,Washington Wizards,4,4,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,89,149,1,0,20151028,ORL,WAS
