,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
198940,Shot Chart Detail,21500014,159,202720,Jon Leuer,1610612756,Phoenix Suns,1,0,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-14,154,1,1,20151028,PHX,DAL,198940
198941,Shot Chart Detail,21500014,164,202720,Jon Leuer,1610612756,Phoenix Suns,2,11,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,151,2,1,1,20151028,PHX,DAL,198941
198942,Shot Chart Detail,21500014,170,202720,Jon Leuer,1610612756,Phoenix Suns,2,10,52,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-1,1,1,20151028,PHX,DAL,198942
198943,Shot Chart Detail,21500014,204,202720,Jon Leuer,1610612756,Phoenix Suns,2,8,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,61,52,1,0,20151028,PHX,DAL,198943
198944,Shot Chart Detail,21500014,243,202720,Jon Leuer,1610612756,Phoenix Suns,2,5,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,25,239,1,0,20151028,PHX,DAL,198944
198945,Shot Chart Detail,21500014,431,202720,Jon Leuer,1610612756,Phoenix Suns,3,3,58,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,0,20151028,PHX,DAL,198945
198946,Shot Chart Detail,21500014,463,202720,Jon Leuer,1610612756,Phoenix Suns,3,0,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-6,1,1,20151028,PHX,DAL,198946
198947,Shot Chart Detail,21500014,480,202720,Jon Leuer,1610612756,Phoenix Suns,4,11,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,161,190,1,1,20151028,PHX,DAL,198947
198948,Shot Chart Detail,21500014,502,202720,Jon Leuer,1610612756,Phoenix Suns,4,9,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,218,1,0,20151028,PHX,DAL,198948
198949,Shot Chart Detail,21500032,170,202720,Jon Leuer,1610612756,Phoenix Suns,2,8,33,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-78,47,1,0,20151030,PHX,POR,198949
198950,Shot Chart Detail,21500032,485,202720,Jon Leuer,1610612756,Phoenix Suns,4,8,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-176,16,1,0,20151030,PHX,POR,198950
198951,Shot Chart Detail,21500032,496,202720,Jon Leuer,1610612756,Phoenix Suns,4,7,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,3,1,0,20151030,PHX,POR,198951
198952,Shot Chart Detail,21500037,97,202720,Jon Leuer,1610612756,Phoenix Suns,1,1,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-30,239,1,1,20151031,POR,PHX,198952
