,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
184910,Shot Chart Detail,21500005,190,201973,Jonas Jerebko,1610612738,Boston Celtics,2,7,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,26,1,0,20151028,BOS,PHI
184911,Shot Chart Detail,21500005,200,201973,Jonas Jerebko,1610612738,Boston Celtics,2,6,0,Missed Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,18,1,0,20151028,BOS,PHI
184912,Shot Chart Detail,21500005,215,201973,Jonas Jerebko,1610612738,Boston Celtics,2,4,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-199,-6,1,0,20151028,BOS,PHI
184913,Shot Chart Detail,21500005,435,201973,Jonas Jerebko,1610612738,Boston Celtics,4,11,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-238,31,1,0,20151028,BOS,PHI
184914,Shot Chart Detail,21500005,448,201973,Jonas Jerebko,1610612738,Boston Celtics,4,9,45,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,BOS,PHI
184915,Shot Chart Detail,21500005,451,201973,Jonas Jerebko,1610612738,Boston Celtics,4,9,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,2,1,1,20151028,BOS,PHI
184916,Shot Chart Detail,21500005,480,201973,Jonas Jerebko,1610612738,Boston Celtics,4,6,48,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,21,1,0,20151028,BOS,PHI
184917,Shot Chart Detail,21500024,507,201973,Jonas Jerebko,1610612738,Boston Celtics,4,10,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-50,244,1,0,20151030,BOS,TOR
184918,Shot Chart Detail,21500040,107,201973,Jonas Jerebko,1610612738,Boston Celtics,1,0,40,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,3,1,1,20151101,BOS,SAS
184919,Shot Chart Detail,21500040,120,201973,Jonas Jerebko,1610612738,Boston Celtics,2,11,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,26,1,1,20151101,BOS,SAS
184920,Shot Chart Detail,21500040,136,201973,Jonas Jerebko,1610612738,Boston Celtics,2,9,59,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-53,21,1,1,20151101,BOS,SAS
184921,Shot Chart Detail,21500060,175,201973,Jonas Jerebko,1610612738,Boston Celtics,2,8,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20151104,IND,BOS
184922,Shot Chart Detail,21500060,451,201973,Jonas Jerebko,1610612738,Boston Celtics,4,9,38,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,-6,1,1,20151104,IND,BOS
184923,Shot Chart Detail,21500076,148,201973,Jonas Jerebko,1610612738,Boston Celtics,2,10,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,0,20151106,BOS,WAS
184924,Shot Chart Detail,21500076,185,201973,Jonas Jerebko,1610612738,Boston Celtics,2,6,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,63,203,1,0,20151106,BOS,WAS
184925,Shot Chart Detail,21500076,505,201973,Jonas Jerebko,1610612738,Boston Celtics,4,4,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,210,13,1,1,20151106,BOS,WAS
184926,Shot Chart Detail,21500110,101,201973,Jonas Jerebko,1610612738,Boston Celtics,1,0,36,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,3,1,1,20151110,MIL,BOS
184927,Shot Chart Detail,21500110,347,201973,Jonas Jerebko,1610612738,Boston Celtics,3,4,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,31,1,1,20151110,MIL,BOS
184928,Shot Chart Detail,21500116,76,201973,Jonas Jerebko,1610612738,Boston Celtics,1,4,31,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,79,13,1,0,20151111,BOS,IND
184929,Shot Chart Detail,21500129,96,201973,Jonas Jerebko,1610612738,Boston Celtics,1,2,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,26,1,0,20151113,BOS,ATL
184930,Shot Chart Detail,21500129,430,201973,Jonas Jerebko,1610612738,Boston Celtics,4,9,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,-1,1,1,20151113,BOS,ATL
184931,Shot Chart Detail,21500129,559,201973,Jonas Jerebko,1610612738,Boston Celtics,4,0,34,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,26,1,0,20151113,BOS,ATL
184932,Shot Chart Detail,21500149,128,201973,Jonas Jerebko,1610612738,Boston Celtics,1,0,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20151115,OKC,BOS
184933,Shot Chart Detail,21500154,427,201973,Jonas Jerebko,1610612738,Boston Celtics,3,1,36,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,3,1,1,20151116,HOU,BOS
184934,Shot Chart Detail,21500154,442,201973,Jonas Jerebko,1610612738,Boston Celtics,4,11,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,10,1,1,20151116,HOU,BOS
184935,Shot Chart Detail,21500154,445,201973,Jonas Jerebko,1610612738,Boston Celtics,4,11,13,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-35,159,1,0,20151116,HOU,BOS
184936,Shot Chart Detail,21500154,452,201973,Jonas Jerebko,1610612738,Boston Celtics,4,10,22,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151116,HOU,BOS
184937,Shot Chart Detail,21500168,105,201973,Jonas Jerebko,1610612738,Boston Celtics,1,1,53,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,-11,1,0,20151118,BOS,DAL
184938,Shot Chart Detail,21500179,383,201973,Jonas Jerebko,1610612738,Boston Celtics,4,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,94,249,1,0,20151120,BOS,BKN
184939,Shot Chart Detail,21500179,399,201973,Jonas Jerebko,1610612738,Boston Celtics,4,9,10,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-9,72,1,0,20151120,BOS,BKN
184940,Shot Chart Detail,21500179,420,201973,Jonas Jerebko,1610612738,Boston Celtics,4,7,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,203,1,0,20151120,BOS,BKN
184941,Shot Chart Detail,21500197,89,201973,Jonas Jerebko,1610612738,Boston Celtics,1,2,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,0,20151122,BKN,BOS
184942,Shot Chart Detail,21500197,119,201973,Jonas Jerebko,1610612738,Boston Celtics,2,11,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,164,1,0,20151122,BKN,BOS
184943,Shot Chart Detail,21500197,131,201973,Jonas Jerebko,1610612738,Boston Celtics,2,10,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-168,185,1,0,20151122,BKN,BOS
184944,Shot Chart Detail,21500197,407,201973,Jonas Jerebko,1610612738,Boston Celtics,4,9,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,194,62,1,1,20151122,BKN,BOS
184945,Shot Chart Detail,21500197,429,201973,Jonas Jerebko,1610612738,Boston Celtics,4,8,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-138,134,1,0,20151122,BKN,BOS
184946,Shot Chart Detail,21500210,152,201973,Jonas Jerebko,1610612738,Boston Celtics,2,9,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,164,18,1,0,20151124,ATL,BOS
184947,Shot Chart Detail,21500210,416,201973,Jonas Jerebko,1610612738,Boston Celtics,4,10,29,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,10,61,1,0,20151124,ATL,BOS
