,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
31197,Shot Chart Detail,21500009,2,202685,Jonas Valanciunas,1610612761,Toronto Raptors,1,11,43,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,122,47,1,1,20151028,TOR,IND,31197
31198,Shot Chart Detail,21500009,8,202685,Jonas Valanciunas,1610612761,Toronto Raptors,1,10,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,8,1,1,20151028,TOR,IND,31198
31199,Shot Chart Detail,21500009,34,202685,Jonas Valanciunas,1610612761,Toronto Raptors,1,8,37,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,TOR,IND,31199
31200,Shot Chart Detail,21500009,157,202685,Jonas Valanciunas,1610612761,Toronto Raptors,2,11,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,14,160,1,0,20151028,TOR,IND,31200
31201,Shot Chart Detail,21500009,222,202685,Jonas Valanciunas,1610612761,Toronto Raptors,2,5,38,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-145,47,1,1,20151028,TOR,IND,31201
31202,Shot Chart Detail,21500009,234,202685,Jonas Valanciunas,1610612761,Toronto Raptors,2,4,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20151028,TOR,IND,31202
31203,Shot Chart Detail,21500009,252,202685,Jonas Valanciunas,1610612761,Toronto Raptors,2,2,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,3,1,1,20151028,TOR,IND,31203
31204,Shot Chart Detail,21500009,271,202685,Jonas Valanciunas,1610612761,Toronto Raptors,2,1,5,Missed Shot,Hook Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,13,1,0,20151028,TOR,IND,31204
31205,Shot Chart Detail,21500009,301,202685,Jonas Valanciunas,1610612761,Toronto Raptors,3,10,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-161,80,1,0,20151028,TOR,IND,31205
31206,Shot Chart Detail,21500009,339,202685,Jonas Valanciunas,1610612761,Toronto Raptors,3,6,17,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,38,1,1,20151028,TOR,IND,31206
31207,Shot Chart Detail,21500009,556,202685,Jonas Valanciunas,1610612761,Toronto Raptors,4,1,58,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,13,1,1,20151028,TOR,IND,31207
31208,Shot Chart Detail,21500024,21,202685,Jonas Valanciunas,1610612761,Toronto Raptors,1,9,57,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-6,1,1,20151030,BOS,TOR,31208
