,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
81848,Shot Chart Detail,21501084,115,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,2,9,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,69,144,1,0,20160326,NOP,TOR,81848
81849,Shot Chart Detail,21501084,140,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,2,6,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-124,75,1,0,20160326,NOP,TOR,81849
81850,Shot Chart Detail,21501084,298,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,3,3,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,26,1,0,20160326,NOP,TOR,81850
81851,Shot Chart Detail,21501084,302,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,3,3,36,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160326,NOP,TOR,81851
81852,Shot Chart Detail,21501084,321,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,3,1,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,0,20160326,NOP,TOR,81852
81853,Shot Chart Detail,21501084,392,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,4,7,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,68,51,1,1,20160326,NOP,TOR,81853
81854,Shot Chart Detail,21501084,404,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,4,6,20,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,20,61,1,1,20160326,NOP,TOR,81854
81855,Shot Chart Detail,21501084,412,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,4,5,44,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20160326,NOP,TOR,81855
81856,Shot Chart Detail,21501084,427,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,4,4,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,9,159,1,1,20160326,NOP,TOR,81856
81857,Shot Chart Detail,21501084,463,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,4,1,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,119,178,1,0,20160326,NOP,TOR,81857
81858,Shot Chart Detail,21501102,166,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,2,7,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-66,252,1,0,20160328,NOP,NYK,81858
81859,Shot Chart Detail,21501102,173,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,2,6,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20160328,NOP,NYK,81859
81860,Shot Chart Detail,21501102,389,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,4,10,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,38,252,1,1,20160328,NOP,NYK,81860
81861,Shot Chart Detail,21501102,410,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,4,8,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,141,214,1,0,20160328,NOP,NYK,81861
81862,Shot Chart Detail,21501102,455,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,4,4,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,109,224,1,0,20160328,NOP,NYK,81862
81863,Shot Chart Detail,21501118,11,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,1,10,39,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-184,178,1,1,20160330,SAS,NOP,81863
81864,Shot Chart Detail,21501118,17,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,1,9,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,135,136,1,1,20160330,SAS,NOP,81864
81865,Shot Chart Detail,21501118,24,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,1,8,24,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-56,203,1,0,20160330,SAS,NOP,81865
81866,Shot Chart Detail,21501118,52,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,1,5,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,176,170,1,0,20160330,SAS,NOP,81866
81867,Shot Chart Detail,21501118,62,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,1,4,53,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,-5,1,0,20160330,SAS,NOP,81867
81868,Shot Chart Detail,21501118,192,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,2,3,46,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,11,1,0,20160330,SAS,NOP,81868
81869,Shot Chart Detail,21501118,211,202706,Jordan Hamilton,1610612740,New Orleans Pelicans,2,2,25,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20160330,SAS,NOP,81869
