,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
191161,Shot Chart Detail,21500700,90,203895,Jordan McRae,1610612756,Phoenix Suns,1,4,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,207,154,1,0,20160129,NYK,PHX,191161
191162,Shot Chart Detail,21500700,149,203895,Jordan McRae,1610612756,Phoenix Suns,2,10,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160129,NYK,PHX,191162
191163,Shot Chart Detail,21500700,156,203895,Jordan McRae,1610612756,Phoenix Suns,2,9,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-125,70,1,1,20160129,NYK,PHX,191163
191164,Shot Chart Detail,21500700,262,203895,Jordan McRae,1610612756,Phoenix Suns,2,0,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-125,115,1,0,20160129,NYK,PHX,191164
191165,Shot Chart Detail,21500700,361,203895,Jordan McRae,1610612756,Phoenix Suns,3,0,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,71,160,1,1,20160129,NYK,PHX,191165
191166,Shot Chart Detail,21500700,384,203895,Jordan McRae,1610612756,Phoenix Suns,4,10,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-97,232,1,1,20160129,NYK,PHX,191166
191167,Shot Chart Detail,21500700,405,203895,Jordan McRae,1610612756,Phoenix Suns,4,8,56,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-1,1,0,20160129,NYK,PHX,191167
191168,Shot Chart Detail,21500700,442,203895,Jordan McRae,1610612756,Phoenix Suns,4,5,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,2,1,0,20160129,NYK,PHX,191168
191169,Shot Chart Detail,21500700,455,203895,Jordan McRae,1610612756,Phoenix Suns,4,4,11,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,11,1,0,20160129,NYK,PHX,191169
191170,Shot Chart Detail,21500717,110,203895,Jordan McRae,1610612756,Phoenix Suns,1,1,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-122,234,1,0,20160131,DAL,PHX,191170
191171,Shot Chart Detail,21500717,149,203895,Jordan McRae,1610612756,Phoenix Suns,2,9,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20160131,DAL,PHX,191171
191172,Shot Chart Detail,21500717,420,203895,Jordan McRae,1610612756,Phoenix Suns,3,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-160,213,1,0,20160131,DAL,PHX,191172
191173,Shot Chart Detail,21500732,67,203895,Jordan McRae,1610612756,Phoenix Suns,1,4,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,47,1,0,20160202,PHX,TOR,191173
191174,Shot Chart Detail,21500749,154,203895,Jordan McRae,1610612756,Phoenix Suns,2,10,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,141,223,1,1,20160204,PHX,HOU,191174
191175,Shot Chart Detail,21500749,208,203895,Jordan McRae,1610612756,Phoenix Suns,2,6,34,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-119,31,1,1,20160204,PHX,HOU,191175
191176,Shot Chart Detail,21500749,495,203895,Jordan McRae,1610612756,Phoenix Suns,4,7,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,223,124,1,0,20160204,PHX,HOU,191176
191177,Shot Chart Detail,21500749,503,203895,Jordan McRae,1610612756,Phoenix Suns,4,6,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,56,205,1,0,20160204,PHX,HOU,191177
191178,Shot Chart Detail,21500749,507,203895,Jordan McRae,1610612756,Phoenix Suns,4,6,47,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20160204,PHX,HOU,191178
191179,Shot Chart Detail,21500768,81,203895,Jordan McRae,1610612756,Phoenix Suns,1,3,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-235,106,1,0,20160206,PHX,UTA,191179
191180,Shot Chart Detail,21500768,102,203895,Jordan McRae,1610612756,Phoenix Suns,1,1,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20160206,PHX,UTA,191180
191181,Shot Chart Detail,21500768,399,203895,Jordan McRae,1610612756,Phoenix Suns,4,8,42,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-21,1,0,20160206,PHX,UTA,191181
191182,Shot Chart Detail,21500814,430,203895,Jordan McRae,1610612756,Phoenix Suns,3,4,59,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,127,-1,1,0,20160219,PHX,HOU,191182
191183,Shot Chart Detail,21500814,457,203895,Jordan McRae,1610612756,Phoenix Suns,3,3,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160219,PHX,HOU,191183
191184,Shot Chart Detail,21500814,554,203895,Jordan McRae,1610612756,Phoenix Suns,4,7,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,177,183,1,0,20160219,PHX,HOU,191184
191185,Shot Chart Detail,21500814,556,203895,Jordan McRae,1610612756,Phoenix Suns,4,7,18,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,43,41,1,0,20160219,PHX,HOU,191185
191186,Shot Chart Detail,21500814,658,203895,Jordan McRae,1610612756,Phoenix Suns,4,1,37,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,2,1,1,20160219,PHX,HOU,191186
191187,Shot Chart Detail,21500877,504,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,4,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,32,43,1,0,20160228,WAS,CLE,191187
191188,Shot Chart Detail,21500877,511,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,3,27,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-6,1,0,20160228,WAS,CLE,191188
191189,Shot Chart Detail,21500877,515,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,3,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,6,257,1,1,20160228,WAS,CLE,191189
191190,Shot Chart Detail,21500877,522,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,1,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,3,1,1,20160228,WAS,CLE,191190
191191,Shot Chart Detail,21500917,448,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,5,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-153,203,1,0,20160304,CLE,WAS,191191
191192,Shot Chart Detail,21500917,482,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,2,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,-10,1,1,20160304,CLE,WAS,191192
191193,Shot Chart Detail,21500917,496,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,1,21,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-7,244,1,1,20160304,CLE,WAS,191193
191194,Shot Chart Detail,21500917,506,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,0,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-140,36,1,0,20160304,CLE,WAS,191194
191195,Shot Chart Detail,21500962,501,203895,Jordan McRae,1610612739,Cleveland Cavaliers,4,0,8,Made Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,110,154,1,1,20160310,LAL,CLE,191195
