,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
114186,Shot Chart Detail,21500076,544,1626175,Jordan Mickey,1610612738,Boston Celtics,4,2,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-1,1,1,20151106,BOS,WAS,114186
114187,Shot Chart Detail,21500076,552,1626175,Jordan Mickey,1610612738,Boston Celtics,4,1,44,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,0,20151106,BOS,WAS,114187
114188,Shot Chart Detail,21500411,534,1626175,Jordan Mickey,1610612738,Boston Celtics,4,0,39,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-68,106,1,1,20151221,BOS,MIN,114188
114189,Shot Chart Detail,21500817,571,1626175,Jordan Mickey,1610612738,Boston Celtics,4,2,30,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-1,1,1,20160219,UTA,BOS,114189
114190,Shot Chart Detail,21500825,561,1626175,Jordan Mickey,1610612738,Boston Celtics,4,2,11,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,128,0,1,0,20160221,DEN,BOS,114190
114191,Shot Chart Detail,21500825,575,1626175,Jordan Mickey,1610612738,Boston Celtics,4,0,55,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20160221,DEN,BOS,114191
114192,Shot Chart Detail,21500825,574,1626175,Jordan Mickey,1610612738,Boston Celtics,4,0,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,11,1,0,20160221,DEN,BOS,114192
114193,Shot Chart Detail,21500838,252,1626175,Jordan Mickey,1610612738,Boston Celtics,2,0,14,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,15,1,0,20160222,MIN,BOS,114193
114194,Shot Chart Detail,21500886,193,1626175,Jordan Mickey,1610612738,Boston Celtics,2,4,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160229,BOS,UTA,114194
114195,Shot Chart Detail,21500953,575,1626175,Jordan Mickey,1610612738,Boston Celtics,4,0,58,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,26,1,0,20160309,BOS,MEM,114195
114196,Shot Chart Detail,21501003,499,1626175,Jordan Mickey,1610612738,Boston Celtics,4,8,16,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,26,1,1,20160316,BOS,OKC,114196
114197,Shot Chart Detail,21501003,533,1626175,Jordan Mickey,1610612738,Boston Celtics,4,5,4,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20160316,BOS,OKC,114197
114198,Shot Chart Detail,21501003,573,1626175,Jordan Mickey,1610612738,Boston Celtics,4,1,19,Missed Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,26,1,0,20160316,BOS,OKC,114198
114199,Shot Chart Detail,21501023,86,1626175,Jordan Mickey,1610612738,Boston Celtics,1,0,44,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,11,1,0,20160318,TOR,BOS,114199
114200,Shot Chart Detail,21501023,506,1626175,Jordan Mickey,1610612738,Boston Celtics,4,0,54,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,0,20160318,TOR,BOS,114200
114201,Shot Chart Detail,21501106,487,1626175,Jordan Mickey,1610612738,Boston Celtics,4,6,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,0,20160328,LAC,BOS,114201
114202,Shot Chart Detail,21501106,489,1626175,Jordan Mickey,1610612738,Boston Celtics,4,6,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,23,1,0,20160328,LAC,BOS,114202
114203,Shot Chart Detail,21501106,527,1626175,Jordan Mickey,1610612738,Boston Celtics,4,3,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,159,52,1,0,20160328,LAC,BOS,114203
114204,Shot Chart Detail,21501106,529,1626175,Jordan Mickey,1610612738,Boston Celtics,4,2,54,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160328,LAC,BOS,114204
114205,Shot Chart Detail,21501106,552,1626175,Jordan Mickey,1610612738,Boston Celtics,4,0,31,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20160328,LAC,BOS,114205
114206,Shot Chart Detail,21501181,538,1626175,Jordan Mickey,1610612738,Boston Celtics,4,2,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,168,31,1,0,20160408,BOS,MIL,114206
114207,Shot Chart Detail,21501181,545,1626175,Jordan Mickey,1610612738,Boston Celtics,4,1,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,26,1,0,20160408,BOS,MIL,114207
