,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
144951,Shot Chart Detail,21500012,20,101181,Jose Calderon,1610612752,New York Knicks,1,9,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,0,20151028,MIL,NYK
144952,Shot Chart Detail,21500012,354,101181,Jose Calderon,1610612752,New York Knicks,3,8,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,99,232,1,0,20151028,MIL,NYK
144953,Shot Chart Detail,21500012,366,101181,Jose Calderon,1610612752,New York Knicks,3,7,48,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-245,57,1,1,20151028,MIL,NYK
144954,Shot Chart Detail,21500012,412,101181,Jose Calderon,1610612752,New York Knicks,3,3,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-210,164,1,0,20151028,MIL,NYK
144955,Shot Chart Detail,21500012,543,101181,Jose Calderon,1610612752,New York Knicks,4,4,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-215,132,1,0,20151028,MIL,NYK
144956,Shot Chart Detail,21500019,39,101181,Jose Calderon,1610612752,New York Knicks,1,7,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,117,213,1,0,20151029,NYK,ATL
144957,Shot Chart Detail,21500019,219,101181,Jose Calderon,1610612752,New York Knicks,2,1,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-70,178,1,0,20151029,NYK,ATL
144958,Shot Chart Detail,21500019,257,101181,Jose Calderon,1610612752,New York Knicks,3,10,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-176,8,1,0,20151029,NYK,ATL
144959,Shot Chart Detail,21500019,269,101181,Jose Calderon,1610612752,New York Knicks,3,9,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,-6,1,0,20151029,NYK,ATL
144960,Shot Chart Detail,21500019,283,101181,Jose Calderon,1610612752,New York Knicks,3,8,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,181,164,1,0,20151029,NYK,ATL
144961,Shot Chart Detail,21500034,6,101181,Jose Calderon,1610612752,New York Knicks,1,10,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,223,1,0,20151031,WAS,NYK
144962,Shot Chart Detail,21500034,12,101181,Jose Calderon,1610612752,New York Knicks,1,9,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-181,198,1,1,20151031,WAS,NYK
144963,Shot Chart Detail,21500034,48,101181,Jose Calderon,1610612752,New York Knicks,1,7,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,158,116,1,0,20151031,WAS,NYK
144964,Shot Chart Detail,21500034,75,101181,Jose Calderon,1610612752,New York Knicks,1,5,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,161,213,1,0,20151031,WAS,NYK
144965,Shot Chart Detail,21500034,162,101181,Jose Calderon,1610612752,New York Knicks,2,10,10,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20151031,WAS,NYK
144966,Shot Chart Detail,21500034,275,101181,Jose Calderon,1610612752,New York Knicks,2,2,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-129,105,1,1,20151031,WAS,NYK
144967,Shot Chart Detail,21500034,334,101181,Jose Calderon,1610612752,New York Knicks,3,8,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-138,247,1,0,20151031,WAS,NYK
144968,Shot Chart Detail,21500034,340,101181,Jose Calderon,1610612752,New York Knicks,3,8,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,13,1,0,20151031,WAS,NYK
144969,Shot Chart Detail,21500034,374,101181,Jose Calderon,1610612752,New York Knicks,3,6,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,109,185,1,1,20151031,WAS,NYK
144970,Shot Chart Detail,21500048,29,101181,Jose Calderon,1610612752,New York Knicks,1,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,2,254,1,1,20151102,NYK,SAS
144971,Shot Chart Detail,21500048,246,101181,Jose Calderon,1610612752,New York Knicks,3,11,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-147,92,1,0,20151102,NYK,SAS
144972,Shot Chart Detail,21500048,251,101181,Jose Calderon,1610612752,New York Knicks,3,10,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,143,195,1,1,20151102,NYK,SAS
144973,Shot Chart Detail,21500048,268,101181,Jose Calderon,1610612752,New York Knicks,3,8,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,114,188,1,0,20151102,NYK,SAS
144974,Shot Chart Detail,21500048,276,101181,Jose Calderon,1610612752,New York Knicks,3,8,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-76,154,1,0,20151102,NYK,SAS
144975,Shot Chart Detail,21500063,12,101181,Jose Calderon,1610612752,New York Knicks,1,10,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-81,156,1,0,20151104,CLE,NYK
144976,Shot Chart Detail,21500063,37,101181,Jose Calderon,1610612752,New York Knicks,1,7,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-2,244,1,0,20151104,CLE,NYK
144977,Shot Chart Detail,21500063,233,101181,Jose Calderon,1610612752,New York Knicks,2,3,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,158,-6,1,0,20151104,CLE,NYK
144978,Shot Chart Detail,21500063,262,101181,Jose Calderon,1610612752,New York Knicks,2,0,59,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,31,1,0,20151104,CLE,NYK
144979,Shot Chart Detail,21500063,542,101181,Jose Calderon,1610612752,New York Knicks,4,1,30,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,99,120,1,1,20151104,CLE,NYK
