,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
130896,Shot Chart Detail,21500071,144,1626196,Josh Richardson,1610612748,Miami Heat,2,9,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-25,185,1,0,20151105,MIN,MIA
130897,Shot Chart Detail,21500108,395,1626196,Josh Richardson,1610612748,Miami Heat,4,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,179,170,1,0,20151110,MIA,LAL
130898,Shot Chart Detail,21500124,9,1626196,Josh Richardson,1610612748,Miami Heat,1,10,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,31,1,1,20151112,MIA,UTA
130899,Shot Chart Detail,21500124,61,1626196,Josh Richardson,1610612748,Miami Heat,1,6,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,3,1,1,20151112,MIA,UTA
130900,Shot Chart Detail,21500124,63,1626196,Josh Richardson,1610612748,Miami Heat,1,5,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-114,224,1,1,20151112,MIA,UTA
130901,Shot Chart Detail,21500124,250,1626196,Josh Richardson,1610612748,Miami Heat,2,0,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,179,174,1,0,20151112,MIA,UTA
130902,Shot Chart Detail,21500124,287,1626196,Josh Richardson,1610612748,Miami Heat,3,9,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,22,1,0,20151112,MIA,UTA
130903,Shot Chart Detail,21500193,129,1626196,Josh Richardson,1610612748,Miami Heat,1,0,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-119,174,1,0,20151121,MIA,PHI
130904,Shot Chart Detail,21500218,441,1626196,Josh Richardson,1610612748,Miami Heat,4,3,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,21,1,0,20151125,DET,MIA
130905,Shot Chart Detail,21500230,520,1626196,Josh Richardson,1610612748,Miami Heat,4,0,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,11,1,1,20151127,NYK,MIA
