,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
85908,Shot Chart Detail,21500015,3,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,11,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,30,249,1,0,20151028,POR,NOP
85909,Shot Chart Detail,21500015,10,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,10,30,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,-11,1,0,20151028,POR,NOP
85910,Shot Chart Detail,21500015,281,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,1,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,0,20151028,POR,NOP
85911,Shot Chart Detail,21500015,289,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,79,239,1,0,20151028,POR,NOP
85912,Shot Chart Detail,21500015,300,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,0,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-50,41,1,0,20151028,POR,NOP
85913,Shot Chart Detail,21500015,326,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,11,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-122,144,1,0,20151028,POR,NOP
85914,Shot Chart Detail,21500015,343,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,9,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,223,1,0,20151028,POR,NOP
85915,Shot Chart Detail,21500015,356,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,8,4,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,53,124,1,1,20151028,POR,NOP
85916,Shot Chart Detail,21500015,365,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,6,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20151028,POR,NOP
85917,Shot Chart Detail,21500015,430,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,11,27,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,36,1,1,20151028,POR,NOP
85918,Shot Chart Detail,21500015,441,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,9,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-1,1,1,20151028,POR,NOP
85919,Shot Chart Detail,21500015,443,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,9,21,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,-1,1,1,20151028,POR,NOP
85920,Shot Chart Detail,21500015,448,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,8,54,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-53,21,1,0,20151028,POR,NOP
85921,Shot Chart Detail,21500015,522,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,2,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-148,3,1,0,20151028,POR,NOP
85922,Shot Chart Detail,21500035,2,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,11,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-143,85,1,0,20151031,NOP,GSW
85923,Shot Chart Detail,21500035,22,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,9,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,112,223,1,0,20151031,NOP,GSW
85924,Shot Chart Detail,21500035,28,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,9,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,13,1,0,20151031,NOP,GSW
85925,Shot Chart Detail,21500035,62,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,6,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20151031,NOP,GSW
85926,Shot Chart Detail,21500035,227,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,5,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,38,41,1,1,20151031,NOP,GSW
85927,Shot Chart Detail,21500035,241,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,4,43,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,46,67,1,0,20151031,NOP,GSW
85928,Shot Chart Detail,21500035,279,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,2,30,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,56,1,1,20151031,NOP,GSW
85929,Shot Chart Detail,21500035,300,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,1,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,7,1,0,20151031,NOP,GSW
85930,Shot Chart Detail,21500035,306,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,1,0,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,8,1,1,20151031,NOP,GSW
85931,Shot Chart Detail,21500035,313,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,0,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,177,164,1,1,20151031,NOP,GSW
85932,Shot Chart Detail,21500035,328,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,11,24,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-6,82,1,1,20151031,NOP,GSW
85933,Shot Chart Detail,21500035,338,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,10,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,0,20151031,NOP,GSW
85934,Shot Chart Detail,21500035,345,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,10,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,47,1,0,20151031,NOP,GSW
85935,Shot Chart Detail,21500035,373,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,6,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,223,1,0,20151031,NOP,GSW
85936,Shot Chart Detail,21500035,379,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,5,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,11,1,1,20151031,NOP,GSW
85937,Shot Chart Detail,21500035,484,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,6,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-112,149,1,0,20151031,NOP,GSW
85938,Shot Chart Detail,21500035,528,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,4,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,16,1,0,20151031,NOP,GSW
85939,Shot Chart Detail,21500035,538,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,3,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,13,-1,139,1,1,20151031,NOP,GSW
85940,Shot Chart Detail,21500035,557,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,1,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,188,1,0,20151031,NOP,GSW
85941,Shot Chart Detail,21500056,15,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,10,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,3,1,0,20151103,NOP,ORL
85942,Shot Chart Detail,21500056,29,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,8,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,13,1,0,20151103,NOP,ORL
85943,Shot Chart Detail,21500056,32,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,8,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11,1,0,20151103,NOP,ORL
85944,Shot Chart Detail,21500056,230,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,3,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,35,75,1,0,20151103,NOP,ORL
85945,Shot Chart Detail,21500056,247,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,1,30,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-122,154,1,0,20151103,NOP,ORL
85946,Shot Chart Detail,21500056,286,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,10,17,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,26,1,0,20151103,NOP,ORL
85947,Shot Chart Detail,21500056,304,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,8,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,148,16,1,1,20151103,NOP,ORL
85948,Shot Chart Detail,21500056,315,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,6,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,12,262,1,1,20151103,NOP,ORL
85949,Shot Chart Detail,21500056,439,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,7,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-97,110,1,1,20151103,NOP,ORL
85950,Shot Chart Detail,21500056,460,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,6,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,212,124,1,1,20151103,NOP,ORL
