,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
35218,Shot Chart Detail,21500017,13,203944,Julius Randle,1610612747,Los Angeles Lakers,1,9,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,92,154,1,0,20151028,LAL,MIN
35219,Shot Chart Detail,21500017,15,203944,Julius Randle,1610612747,Los Angeles Lakers,1,9,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,0,20151028,LAL,MIN
35220,Shot Chart Detail,21500017,72,203944,Julius Randle,1610612747,Los Angeles Lakers,1,4,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,0,20151028,LAL,MIN
35221,Shot Chart Detail,21500017,89,203944,Julius Randle,1610612747,Los Angeles Lakers,1,3,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,LAL,MIN
35222,Shot Chart Detail,21500017,95,203944,Julius Randle,1610612747,Los Angeles Lakers,1,2,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,0,20151028,LAL,MIN
35223,Shot Chart Detail,21500017,222,203944,Julius Randle,1610612747,Los Angeles Lakers,2,3,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,23,1,0,20151028,LAL,MIN
35224,Shot Chart Detail,21500017,285,203944,Julius Randle,1610612747,Los Angeles Lakers,3,11,18,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-20,36,1,0,20151028,LAL,MIN
35225,Shot Chart Detail,21500017,287,203944,Julius Randle,1610612747,Los Angeles Lakers,3,11,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,16,1,1,20151028,LAL,MIN
35226,Shot Chart Detail,21500017,346,203944,Julius Randle,1610612747,Los Angeles Lakers,3,6,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,13,1,1,20151028,LAL,MIN
35227,Shot Chart Detail,21500017,353,203944,Julius Randle,1610612747,Los Angeles Lakers,3,6,6,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,38,1,1,20151028,LAL,MIN
35228,Shot Chart Detail,21500017,365,203944,Julius Randle,1610612747,Los Angeles Lakers,3,5,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,26,1,0,20151028,LAL,MIN
35229,Shot Chart Detail,21500017,560,203944,Julius Randle,1610612747,Los Angeles Lakers,4,2,53,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-19,28,1,0,20151028,LAL,MIN
35230,Shot Chart Detail,21500017,591,203944,Julius Randle,1610612747,Los Angeles Lakers,4,1,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,26,1,1,20151028,LAL,MIN
35231,Shot Chart Detail,21500031,8,203944,Julius Randle,1610612747,Los Angeles Lakers,1,10,40,Made Shot,Hook Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-106,36,1,1,20151030,SAC,LAL
35232,Shot Chart Detail,21500031,18,203944,Julius Randle,1610612747,Los Angeles Lakers,1,9,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,158,28,1,0,20151030,SAC,LAL
35233,Shot Chart Detail,21500031,69,203944,Julius Randle,1610612747,Los Angeles Lakers,1,5,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,97,165,1,0,20151030,SAC,LAL
35234,Shot Chart Detail,21500031,359,203944,Julius Randle,1610612747,Los Angeles Lakers,3,7,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-30,203,1,0,20151030,SAC,LAL
35235,Shot Chart Detail,21500045,11,203944,Julius Randle,1610612747,Los Angeles Lakers,1,11,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,0,20151101,LAL,DAL
35236,Shot Chart Detail,21500045,51,203944,Julius Randle,1610612747,Los Angeles Lakers,1,7,11,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,LAL,DAL
35237,Shot Chart Detail,21500045,55,203944,Julius Randle,1610612747,Los Angeles Lakers,1,6,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,0,20151101,LAL,DAL
35238,Shot Chart Detail,21500045,80,203944,Julius Randle,1610612747,Los Angeles Lakers,1,5,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,8,1,1,20151101,LAL,DAL
35239,Shot Chart Detail,21500045,91,203944,Julius Randle,1610612747,Los Angeles Lakers,1,4,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,3,1,1,20151101,LAL,DAL
35240,Shot Chart Detail,21500045,98,203944,Julius Randle,1610612747,Los Angeles Lakers,1,3,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,14,190,1,1,20151101,LAL,DAL
35241,Shot Chart Detail,21500045,235,203944,Julius Randle,1610612747,Los Angeles Lakers,2,3,10,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,46,1,1,20151101,LAL,DAL
35242,Shot Chart Detail,21500045,258,203944,Julius Randle,1610612747,Los Angeles Lakers,2,1,48,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,36,1,0,20151101,LAL,DAL
35243,Shot Chart Detail,21500045,264,203944,Julius Randle,1610612747,Los Angeles Lakers,2,1,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,0,20151101,LAL,DAL
