,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
135124,Shot Chart Detail,21500008,218,1626159,Justise Winslow,1610612748,Miami Heat,2,3,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,36,1,1,20151028,MIA,CHA,135124
135125,Shot Chart Detail,21500008,220,1626159,Justise Winslow,1610612748,Miami Heat,2,3,24,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,MIA,CHA,135125
135126,Shot Chart Detail,21500021,104,1626159,Justise Winslow,1610612748,Miami Heat,1,3,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,7,1,1,20151030,CLE,MIA,135126
135127,Shot Chart Detail,21500021,408,1626159,Justise Winslow,1610612748,Miami Heat,4,9,59,Missed Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-4,43,1,0,20151030,CLE,MIA,135127
135128,Shot Chart Detail,21500021,424,1626159,Justise Winslow,1610612748,Miami Heat,4,8,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-163,213,1,0,20151030,CLE,MIA,135128
135129,Shot Chart Detail,21500021,440,1626159,Justise Winslow,1610612748,Miami Heat,4,7,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,148,203,1,0,20151030,CLE,MIA,135129
135130,Shot Chart Detail,21500041,113,1626159,Justise Winslow,1610612748,Miami Heat,1,2,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,8,1,0,20151101,MIA,HOU,135130
135131,Shot Chart Detail,21500041,147,1626159,Justise Winslow,1610612748,Miami Heat,1,0,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11,1,1,20151101,MIA,HOU,135131
135132,Shot Chart Detail,21500041,150,1626159,Justise Winslow,1610612748,Miami Heat,1,0,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-53,190,1,0,20151101,MIA,HOU,135132
135133,Shot Chart Detail,21500041,375,1626159,Justise Winslow,1610612748,Miami Heat,3,2,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,8,1,1,20151101,MIA,HOU,135133
135134,Shot Chart Detail,21500041,383,1626159,Justise Winslow,1610612748,Miami Heat,3,2,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,1,190,1,0,20151101,MIA,HOU,135134
135135,Shot Chart Detail,21500041,470,1626159,Justise Winslow,1610612748,Miami Heat,4,6,18,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,1,20151101,MIA,HOU,135135
135136,Shot Chart Detail,21500041,474,1626159,Justise Winslow,1610612748,Miami Heat,4,5,44,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151101,MIA,HOU,135136
135137,Shot Chart Detail,21500041,489,1626159,Justise Winslow,1610612748,Miami Heat,4,4,8,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,23,1,1,20151101,MIA,HOU,135137
135138,Shot Chart Detail,21500055,106,1626159,Justise Winslow,1610612748,Miami Heat,1,0,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,3,1,0,20151103,MIA,ATL,135138
135139,Shot Chart Detail,21500055,138,1626159,Justise Winslow,1610612748,Miami Heat,2,10,20,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,3,1,0,20151103,MIA,ATL,135139
135140,Shot Chart Detail,21500055,379,1626159,Justise Winslow,1610612748,Miami Heat,3,2,48,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,26,1,0,20151103,MIA,ATL,135140
135141,Shot Chart Detail,21500055,402,1626159,Justise Winslow,1610612748,Miami Heat,3,0,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,195,1,0,20151103,MIA,ATL,135141
135142,Shot Chart Detail,21500055,423,1626159,Justise Winslow,1610612748,Miami Heat,4,10,16,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,68,101,1,1,20151103,MIA,ATL,135142
135143,Shot Chart Detail,21500055,479,1626159,Justise Winslow,1610612748,Miami Heat,4,5,35,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,-5,1,0,20151103,MIA,ATL,135143
135144,Shot Chart Detail,21500055,483,1626159,Justise Winslow,1610612748,Miami Heat,4,5,4,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,1,20151103,MIA,ATL,135144
135145,Shot Chart Detail,21500071,104,1626159,Justise Winslow,1610612748,Miami Heat,1,0,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,26,1,0,20151105,MIN,MIA,135145
135146,Shot Chart Detail,21500071,164,1626159,Justise Winslow,1610612748,Miami Heat,2,8,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-47,13,1,0,20151105,MIN,MIA,135146
135147,Shot Chart Detail,21500071,206,1626159,Justise Winslow,1610612748,Miami Heat,2,4,16,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,1,20151105,MIN,MIA,135147
135148,Shot Chart Detail,21500071,392,1626159,Justise Winslow,1610612748,Miami Heat,3,1,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-192,165,1,0,20151105,MIN,MIA,135148
135149,Shot Chart Detail,21500071,404,1626159,Justise Winslow,1610612748,Miami Heat,3,0,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,153,126,1,0,20151105,MIN,MIA,135149
135150,Shot Chart Detail,21500071,412,1626159,Justise Winslow,1610612748,Miami Heat,4,11,37,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-71,46,1,1,20151105,MIN,MIA,135150
135151,Shot Chart Detail,21500071,460,1626159,Justise Winslow,1610612748,Miami Heat,4,5,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,13,1,1,20151105,MIN,MIA,135151
135152,Shot Chart Detail,21500080,124,1626159,Justise Winslow,1610612748,Miami Heat,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,47,1,0,20151106,IND,MIA,135152
135153,Shot Chart Detail,21500080,170,1626159,Justise Winslow,1610612748,Miami Heat,2,7,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,2,1,1,20151106,IND,MIA,135153
135154,Shot Chart Detail,21500080,184,1626159,Justise Winslow,1610612748,Miami Heat,2,6,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,0,20151106,IND,MIA,135154
135155,Shot Chart Detail,21500080,318,1626159,Justise Winslow,1610612748,Miami Heat,3,3,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-20,198,1,1,20151106,IND,MIA,135155
135156,Shot Chart Detail,21500080,346,1626159,Justise Winslow,1610612748,Miami Heat,3,0,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20151106,IND,MIA,135156
135157,Shot Chart Detail,21500080,363,1626159,Justise Winslow,1610612748,Miami Heat,4,9,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,7,1,1,20151106,IND,MIA,135157
135158,Shot Chart Detail,21500080,373,1626159,Justise Winslow,1610612748,Miami Heat,4,8,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,3,1,1,20151106,IND,MIA,135158
135159,Shot Chart Detail,21500080,385,1626159,Justise Winslow,1610612748,Miami Heat,4,7,39,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,0,20151106,IND,MIA,135159
135160,Shot Chart Detail,21500080,431,1626159,Justise Winslow,1610612748,Miami Heat,4,3,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,23,1,0,20151106,IND,MIA,135160
135161,Shot Chart Detail,21500080,451,1626159,Justise Winslow,1610612748,Miami Heat,4,2,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-197,57,1,1,20151106,IND,MIA,135161
135162,Shot Chart Detail,21500096,68,1626159,Justise Winslow,1610612748,Miami Heat,1,4,58,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,26,1,0,20151108,MIA,TOR,135162
135163,Shot Chart Detail,21500096,137,1626159,Justise Winslow,1610612748,Miami Heat,2,9,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,0,20151108,MIA,TOR,135163
135164,Shot Chart Detail,21500096,139,1626159,Justise Winslow,1610612748,Miami Heat,2,9,39,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20151108,MIA,TOR,135164
135165,Shot Chart Detail,21500096,314,1626159,Justise Winslow,1610612748,Miami Heat,3,5,8,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,23,1,0,20151108,MIA,TOR,135165
135166,Shot Chart Detail,21500096,408,1626159,Justise Winslow,1610612748,Miami Heat,4,11,34,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,0,20151108,MIA,TOR,135166
135167,Shot Chart Detail,21500096,411,1626159,Justise Winslow,1610612748,Miami Heat,4,11,2,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,1,20151108,MIA,TOR,135167
135168,Shot Chart Detail,21500096,418,1626159,Justise Winslow,1610612748,Miami Heat,4,10,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,35,159,1,0,20151108,MIA,TOR,135168
135169,Shot Chart Detail,21500096,438,1626159,Justise Winslow,1610612748,Miami Heat,4,8,28,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151108,MIA,TOR,135169
135170,Shot Chart Detail,21500108,61,1626159,Justise Winslow,1610612748,Miami Heat,1,5,52,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,11,1,0,20151110,MIA,LAL,135170
