,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
66126,Shot Chart Detail,21500030,545,203909,KJ McDaniels,1610612745,Houston Rockets,4,4,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,2,1,1,20151030,HOU,GSW
66127,Shot Chart Detail,21500030,557,203909,KJ McDaniels,1610612745,Houston Rockets,4,3,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,207,139,1,0,20151030,HOU,GSW
66128,Shot Chart Detail,21500030,560,203909,KJ McDaniels,1610612745,Houston Rockets,4,2,44,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-37,188,1,0,20151030,HOU,GSW
66129,Shot Chart Detail,21500030,595,203909,KJ McDaniels,1610612745,Houston Rockets,4,0,19,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-104,232,1,0,20151030,HOU,GSW
66130,Shot Chart Detail,21500154,467,203909,KJ McDaniels,1610612745,Houston Rockets,4,9,1,Made Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,99,62,1,1,20151116,HOU,BOS
66131,Shot Chart Detail,21500154,469,203909,KJ McDaniels,1610612745,Houston Rockets,4,8,31,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,30,183,1,0,20151116,HOU,BOS
66132,Shot Chart Detail,21500154,508,203909,KJ McDaniels,1610612745,Houston Rockets,4,5,49,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,0,20151116,HOU,BOS
66133,Shot Chart Detail,21500180,330,203909,KJ McDaniels,1610612745,Houston Rockets,3,5,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,5,1,0,20151120,MEM,HOU
66134,Shot Chart Detail,21500180,332,203909,KJ McDaniels,1610612745,Houston Rockets,3,5,28,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,0,1,0,20151120,MEM,HOU
66135,Shot Chart Detail,21500180,360,203909,KJ McDaniels,1610612745,Houston Rockets,3,3,44,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-16,1,0,20151120,MEM,HOU
