,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
53753,Shot Chart Detail,21500017,11,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,10,2,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,28,1,0,20151028,LAL,MIN
53754,Shot Chart Detail,21500017,24,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,9,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,LAL,MIN
53755,Shot Chart Detail,21500017,48,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,7,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,112,136,1,0,20151028,LAL,MIN
53756,Shot Chart Detail,21500017,182,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,2,7,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,LAL,MIN
53757,Shot Chart Detail,21500017,212,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,2,4,2,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,65,1,1,20151028,LAL,MIN
53758,Shot Chart Detail,21500017,239,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,2,2,14,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,55,26,1,1,20151028,LAL,MIN
53759,Shot Chart Detail,21500017,271,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,2,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-209,188,1,0,20151028,LAL,MIN
53760,Shot Chart Detail,21500017,299,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,3,10,13,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-1,178,1,1,20151028,LAL,MIN
53761,Shot Chart Detail,21500017,344,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,3,6,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,63,183,1,0,20151028,LAL,MIN
53762,Shot Chart Detail,21500017,505,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,4,7,9,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-132,-16,1,1,20151028,LAL,MIN
