,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
136877,Shot Chart Detail,21500024,87,203482,Kelly Olynyk,1610612738,Boston Celtics,1,4,20,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-102,51,1,0,20151030,BOS,TOR,136877
136878,Shot Chart Detail,21500024,96,203482,Kelly Olynyk,1610612738,Boston Celtics,1,3,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20151030,BOS,TOR,136878
136879,Shot Chart Detail,21500024,112,203482,Kelly Olynyk,1610612738,Boston Celtics,1,2,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,208,1,0,20151030,BOS,TOR,136879
136880,Shot Chart Detail,21500024,124,203482,Kelly Olynyk,1610612738,Boston Celtics,1,1,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-228,97,1,1,20151030,BOS,TOR,136880
136881,Shot Chart Detail,21500024,307,203482,Kelly Olynyk,1610612738,Boston Celtics,2,2,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-145,85,1,0,20151030,BOS,TOR,136881
136882,Shot Chart Detail,21500024,330,203482,Kelly Olynyk,1610612738,Boston Celtics,2,0,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-214,159,1,0,20151030,BOS,TOR,136882
136883,Shot Chart Detail,21500024,500,203482,Kelly Olynyk,1610612738,Boston Celtics,4,11,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,230,100,1,0,20151030,BOS,TOR,136883
136884,Shot Chart Detail,21500024,502,203482,Kelly Olynyk,1610612738,Boston Celtics,4,11,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,187,169,1,0,20151030,BOS,TOR,136884
136885,Shot Chart Detail,21500024,517,203482,Kelly Olynyk,1610612738,Boston Celtics,4,9,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,8,1,1,20151030,BOS,TOR,136885
136886,Shot Chart Detail,21500024,532,203482,Kelly Olynyk,1610612738,Boston Celtics,4,8,17,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20151030,BOS,TOR,136886
136887,Shot Chart Detail,21500040,127,203482,Kelly Olynyk,1610612738,Boston Celtics,2,10,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-43,242,1,0,20151101,BOS,SAS,136887
