,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
119498,Shot Chart Detail,21500008,59,202689,Kemba Walker,1610612766,Charlotte Hornets,1,5,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,96,131,1,0,20151028,MIA,CHA,119498
119499,Shot Chart Detail,21500008,71,202689,Kemba Walker,1610612766,Charlotte Hornets,1,5,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,205,134,1,0,20151028,MIA,CHA,119499
119500,Shot Chart Detail,21500008,85,202689,Kemba Walker,1610612766,Charlotte Hornets,1,4,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,130,100,1,0,20151028,MIA,CHA,119500
119501,Shot Chart Detail,21500008,198,202689,Kemba Walker,1610612766,Charlotte Hornets,2,5,43,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,23,1,0,20151028,MIA,CHA,119501
119502,Shot Chart Detail,21500008,223,202689,Kemba Walker,1610612766,Charlotte Hornets,2,2,52,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20151028,MIA,CHA,119502
119503,Shot Chart Detail,21500008,225,202689,Kemba Walker,1610612766,Charlotte Hornets,2,2,23,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,187,-1,1,0,20151028,MIA,CHA,119503
119504,Shot Chart Detail,21500008,234,202689,Kemba Walker,1610612766,Charlotte Hornets,2,2,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,19,242,1,0,20151028,MIA,CHA,119504
119505,Shot Chart Detail,21500008,246,202689,Kemba Walker,1610612766,Charlotte Hornets,2,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,159,198,1,1,20151028,MIA,CHA,119505
119506,Shot Chart Detail,21500008,285,202689,Kemba Walker,1610612766,Charlotte Hornets,3,9,35,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,29,1,0,20151028,MIA,CHA,119506
119507,Shot Chart Detail,21500008,313,202689,Kemba Walker,1610612766,Charlotte Hornets,3,6,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,73,100,1,0,20151028,MIA,CHA,119507
119508,Shot Chart Detail,21500008,336,202689,Kemba Walker,1610612766,Charlotte Hornets,3,4,40,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20151028,MIA,CHA,119508
119509,Shot Chart Detail,21500008,344,202689,Kemba Walker,1610612766,Charlotte Hornets,3,3,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151028,MIA,CHA,119509
119510,Shot Chart Detail,21500008,476,202689,Kemba Walker,1610612766,Charlotte Hornets,4,3,38,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-238,56,1,0,20151028,MIA,CHA,119510
119511,Shot Chart Detail,21500008,479,202689,Kemba Walker,1610612766,Charlotte Hornets,4,3,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,112,144,1,1,20151028,MIA,CHA,119511
119512,Shot Chart Detail,21500008,505,202689,Kemba Walker,1610612766,Charlotte Hornets,4,1,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20151028,MIA,CHA,119512
119513,Shot Chart Detail,21500008,538,202689,Kemba Walker,1610612766,Charlotte Hornets,4,0,23,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,0,20151028,MIA,CHA,119513
119514,Shot Chart Detail,21500026,31,202689,Kemba Walker,1610612766,Charlotte Hornets,1,9,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-109,223,1,0,20151030,ATL,CHA,119514
119515,Shot Chart Detail,21500026,57,202689,Kemba Walker,1610612766,Charlotte Hornets,1,6,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,127,139,1,0,20151030,ATL,CHA,119515
119516,Shot Chart Detail,21500026,89,202689,Kemba Walker,1610612766,Charlotte Hornets,1,3,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,60,100,1,1,20151030,ATL,CHA,119516
119517,Shot Chart Detail,21500026,204,202689,Kemba Walker,1610612766,Charlotte Hornets,2,6,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,1,20151030,ATL,CHA,119517
119518,Shot Chart Detail,21500026,224,202689,Kemba Walker,1610612766,Charlotte Hornets,2,3,59,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-1,1,0,20151030,ATL,CHA,119518
119519,Shot Chart Detail,21500026,276,202689,Kemba Walker,1610612766,Charlotte Hornets,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,130,239,1,0,20151030,ATL,CHA,119519
119520,Shot Chart Detail,21500026,311,202689,Kemba Walker,1610612766,Charlotte Hornets,3,8,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-94,234,1,0,20151030,ATL,CHA,119520
119521,Shot Chart Detail,21500026,318,202689,Kemba Walker,1610612766,Charlotte Hornets,3,6,55,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,16,1,1,20151030,ATL,CHA,119521
119522,Shot Chart Detail,21500026,346,202689,Kemba Walker,1610612766,Charlotte Hornets,3,3,54,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,7,1,1,20151030,ATL,CHA,119522
119523,Shot Chart Detail,21500026,349,202689,Kemba Walker,1610612766,Charlotte Hornets,3,3,12,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-66,164,1,0,20151030,ATL,CHA,119523
119524,Shot Chart Detail,21500026,452,202689,Kemba Walker,1610612766,Charlotte Hornets,4,7,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,35,239,1,1,20151030,ATL,CHA,119524
119525,Shot Chart Detail,21500026,454,202689,Kemba Walker,1610612766,Charlotte Hornets,4,7,7,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,4,87,1,0,20151030,ATL,CHA,119525
119526,Shot Chart Detail,21500026,507,202689,Kemba Walker,1610612766,Charlotte Hornets,4,1,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,182,110,1,0,20151030,ATL,CHA,119526
119527,Shot Chart Detail,21500026,558,202689,Kemba Walker,1610612766,Charlotte Hornets,4,0,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,3,1,0,20151030,ATL,CHA,119527
119528,Shot Chart Detail,21500026,573,202689,Kemba Walker,1610612766,Charlotte Hornets,4,0,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-130,219,1,0,20151030,ATL,CHA,119528
119529,Shot Chart Detail,21500039,165,202689,Kemba Walker,1610612766,Charlotte Hornets,2,4,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,1,20151101,CHA,ATL,119529
119530,Shot Chart Detail,21500039,168,202689,Kemba Walker,1610612766,Charlotte Hornets,2,4,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20151101,CHA,ATL,119530
119531,Shot Chart Detail,21500039,184,202689,Kemba Walker,1610612766,Charlotte Hornets,2,2,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-151,214,1,0,20151101,CHA,ATL,119531
119532,Shot Chart Detail,21500039,188,202689,Kemba Walker,1610612766,Charlotte Hornets,2,2,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,0,20151101,CHA,ATL,119532
119533,Shot Chart Detail,21500039,235,202689,Kemba Walker,1610612766,Charlotte Hornets,3,10,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,14,178,1,0,20151101,CHA,ATL,119533
119534,Shot Chart Detail,21500039,258,202689,Kemba Walker,1610612766,Charlotte Hornets,3,8,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,110,224,1,1,20151101,CHA,ATL,119534
119535,Shot Chart Detail,21500039,311,202689,Kemba Walker,1610612766,Charlotte Hornets,3,3,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,18,1,0,20151101,CHA,ATL,119535
119536,Shot Chart Detail,21500039,477,202689,Kemba Walker,1610612766,Charlotte Hornets,4,2,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-174,195,1,1,20151101,CHA,ATL,119536
119537,Shot Chart Detail,21500039,520,202689,Kemba Walker,1610612766,Charlotte Hornets,4,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-151,80,1,0,20151101,CHA,ATL,119537
119538,Shot Chart Detail,21500053,10,202689,Kemba Walker,1610612766,Charlotte Hornets,1,10,3,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-2,1,1,20151103,CHA,CHI,119538
119539,Shot Chart Detail,21500053,64,202689,Kemba Walker,1610612766,Charlotte Hornets,1,3,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,66,175,1,1,20151103,CHA,CHI,119539
119540,Shot Chart Detail,21500053,169,202689,Kemba Walker,1610612766,Charlotte Hornets,2,5,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,4,174,1,1,20151103,CHA,CHI,119540
119541,Shot Chart Detail,21500053,188,202689,Kemba Walker,1610612766,Charlotte Hornets,2,3,55,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,89,159,1,0,20151103,CHA,CHI,119541
119542,Shot Chart Detail,21500053,201,202689,Kemba Walker,1610612766,Charlotte Hornets,2,2,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-25,252,1,1,20151103,CHA,CHI,119542
119543,Shot Chart Detail,21500053,229,202689,Kemba Walker,1610612766,Charlotte Hornets,2,0,36,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-63,174,1,0,20151103,CHA,CHI,119543
119544,Shot Chart Detail,21500053,232,202689,Kemba Walker,1610612766,Charlotte Hornets,2,0,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,13,1,1,20151103,CHA,CHI,119544
119545,Shot Chart Detail,21500053,301,202689,Kemba Walker,1610612766,Charlotte Hornets,3,4,59,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,14,70,1,0,20151103,CHA,CHI,119545
119546,Shot Chart Detail,21500053,305,202689,Kemba Walker,1610612766,Charlotte Hornets,3,4,40,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,18,1,0,20151103,CHA,CHI,119546
119547,Shot Chart Detail,21500053,319,202689,Kemba Walker,1610612766,Charlotte Hornets,3,3,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-124,115,1,0,20151103,CHA,CHI,119547
119548,Shot Chart Detail,21500053,325,202689,Kemba Walker,1610612766,Charlotte Hornets,3,3,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,110,229,1,0,20151103,CHA,CHI,119548
119549,Shot Chart Detail,21500053,328,202689,Kemba Walker,1610612766,Charlotte Hornets,3,2,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,109,100,1,1,20151103,CHA,CHI,119549
119550,Shot Chart Detail,21500072,8,202689,Kemba Walker,1610612766,Charlotte Hornets,1,10,26,Missed Shot,Step Back Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-122,46,1,0,20151105,DAL,CHA,119550
119551,Shot Chart Detail,21500072,50,202689,Kemba Walker,1610612766,Charlotte Hornets,1,5,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,177,185,1,1,20151105,DAL,CHA,119551
