,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
66198,Shot Chart Detail,21500003,11,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,1,10,10,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-32,101,1,1,20151027,GSW,NOP
66199,Shot Chart Detail,21500003,20,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,1,9,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-6,85,1,1,20151027,GSW,NOP
66200,Shot Chart Detail,21500003,37,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,1,6,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,61,1,1,20151027,GSW,NOP
66201,Shot Chart Detail,21500003,45,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,1,6,4,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,73,41,1,1,20151027,GSW,NOP
66202,Shot Chart Detail,21500003,549,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,4,2,43,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,35,31,1,1,20151027,GSW,NOP
66203,Shot Chart Detail,21500015,21,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,1,9,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,56,1,1,20151028,POR,NOP
66204,Shot Chart Detail,21500015,55,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,1,6,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,0,20151028,POR,NOP
66205,Shot Chart Detail,21500015,538,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,4,0,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,42,193,1,1,20151028,POR,NOP
66206,Shot Chart Detail,21500015,541,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,4,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-29,174,1,0,20151028,POR,NOP
66207,Shot Chart Detail,21500035,6,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,1,11,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,3,1,1,20151031,NOP,GSW
66208,Shot Chart Detail,21500396,502,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,4,4,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-5,1,1,20151218,PHX,NOP
66209,Shot Chart Detail,21500445,82,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,1,4,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151226,NOP,HOU
66210,Shot Chart Detail,21500445,152,2570,Kendrick Perkins,1610612740,New Orleans Pelicans,2,11,14,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151226,NOP,HOU
