,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
137610,Shot Chart Detail,21500010,17,202702,Kenneth Faried,1610612743,Denver Nuggets,1,10,12,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-1,1,1,20151028,HOU,DEN,137610
137611,Shot Chart Detail,21500010,38,202702,Kenneth Faried,1610612743,Denver Nuggets,1,8,16,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN,137611
137612,Shot Chart Detail,21500010,59,202702,Kenneth Faried,1610612743,Denver Nuggets,1,6,42,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,28,97,1,1,20151028,HOU,DEN,137612
137613,Shot Chart Detail,21500010,197,202702,Kenneth Faried,1610612743,Denver Nuggets,2,5,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-99,92,1,1,20151028,HOU,DEN,137613
137614,Shot Chart Detail,21500010,220,202702,Kenneth Faried,1610612743,Denver Nuggets,2,3,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,0,20151028,HOU,DEN,137614
137615,Shot Chart Detail,21500010,224,202702,Kenneth Faried,1610612743,Denver Nuggets,2,3,47,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN,137615
137616,Shot Chart Detail,21500010,273,202702,Kenneth Faried,1610612743,Denver Nuggets,3,10,20,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,84,16,1,1,20151028,HOU,DEN,137616
137617,Shot Chart Detail,21500010,278,202702,Kenneth Faried,1610612743,Denver Nuggets,3,9,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,8,1,1,20151028,HOU,DEN,137617
137618,Shot Chart Detail,21500010,341,202702,Kenneth Faried,1610612743,Denver Nuggets,3,4,34,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-5,1,0,20151028,HOU,DEN,137618
137619,Shot Chart Detail,21500010,463,202702,Kenneth Faried,1610612743,Denver Nuggets,4,5,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,11,1,1,20151028,HOU,DEN,137619
