,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
182766,Shot Chart Detail,21500001,7,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,10,44,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-68,51,1,1,20151027,ATL,DET
182767,Shot Chart Detail,21500001,58,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,5,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,38,1,1,20151027,ATL,DET
182768,Shot Chart Detail,21500001,69,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,4,55,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-4,110,1,0,20151027,ATL,DET
182769,Shot Chart Detail,21500001,195,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,4,44,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-6,178,1,0,20151027,ATL,DET
182770,Shot Chart Detail,21500001,214,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,2,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-197,149,1,1,20151027,ATL,DET
182771,Shot Chart Detail,21500001,232,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,0,55,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,ATL,DET
182772,Shot Chart Detail,21500001,235,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,197,144,1,0,20151027,ATL,DET
182773,Shot Chart Detail,21500001,269,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,8,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-73,170,1,1,20151027,ATL,DET
182774,Shot Chart Detail,21500001,281,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,7,59,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,176,193,1,1,20151027,ATL,DET
182775,Shot Chart Detail,21500001,301,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,5,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-109,218,1,1,20151027,ATL,DET
182776,Shot Chart Detail,21500001,352,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,0,26,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-12,56,1,0,20151027,ATL,DET
182777,Shot Chart Detail,21500001,453,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,4,4,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,26,1,0,20151027,ATL,DET
182778,Shot Chart Detail,21500001,487,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,4,1,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-215,126,1,0,20151027,ATL,DET
182779,Shot Chart Detail,21500001,489,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,4,1,42,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,0,20151027,ATL,DET
182780,Shot Chart Detail,21500007,28,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,7,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,97,237,1,0,20151028,DET,UTA
182781,Shot Chart Detail,21500007,134,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,8,19,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,1,20151028,DET,UTA
182782,Shot Chart Detail,21500007,145,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,7,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-212,136,1,0,20151028,DET,UTA
182783,Shot Chart Detail,21500007,158,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,6,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-6,1,1,20151028,DET,UTA
182784,Shot Chart Detail,21500007,265,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,7,17,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,71,8,1,0,20151028,DET,UTA
182785,Shot Chart Detail,21500007,294,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,4,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,26,1,1,20151028,DET,UTA
182786,Shot Chart Detail,21500007,305,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,3,21,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,28,1,0,20151028,DET,UTA
182787,Shot Chart Detail,21500007,322,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,1,53,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-233,72,1,1,20151028,DET,UTA
182788,Shot Chart Detail,21500007,335,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,0,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-92,237,1,0,20151028,DET,UTA
182789,Shot Chart Detail,21500007,428,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,4,5,4,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-2,85,1,1,20151028,DET,UTA
182790,Shot Chart Detail,21500007,444,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,4,3,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,84,-10,1,0,20151028,DET,UTA
182791,Shot Chart Detail,21500025,25,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,9,22,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,28,1,1,20151030,DET,CHI
182792,Shot Chart Detail,21500025,50,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,7,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-153,52,1,0,20151030,DET,CHI
182793,Shot Chart Detail,21500025,76,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,4,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-219,136,1,0,20151030,DET,CHI
182794,Shot Chart Detail,21500025,84,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,3,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,11,1,0,20151030,DET,CHI
182795,Shot Chart Detail,21500025,106,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,1,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-228,106,1,0,20151030,DET,CHI
182797,Shot Chart Detail,21500025,288,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,9,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,99,252,1,0,20151030,DET,CHI
182798,Shot Chart Detail,21500025,323,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,5,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20151030,DET,CHI
182799,Shot Chart Detail,21500025,336,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,3,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-109,149,1,0,20151030,DET,CHI
182800,Shot Chart Detail,21500025,357,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,2,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-110,129,1,0,20151030,DET,CHI
182801,Shot Chart Detail,21500025,383,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-173,183,1,0,20151030,DET,CHI
182802,Shot Chart Detail,21500025,475,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,4,5,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,20,193,1,0,20151030,DET,CHI
182803,Shot Chart Detail,21500054,107,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,11,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-53,-1,1,0,20151103,DET,IND
182804,Shot Chart Detail,21500054,109,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,11,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-178,11,1,0,20151103,DET,IND
182805,Shot Chart Detail,21500054,161,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,6,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-5,1,1,20151103,DET,IND
182806,Shot Chart Detail,21500054,179,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,2,4,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,233,80,1,0,20151103,DET,IND
182807,Shot Chart Detail,21500054,279,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,6,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-133,134,1,0,20151103,DET,IND
182808,Shot Chart Detail,21500054,321,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,3,2,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-94,65,1,0,20151103,DET,IND
