,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
78899,Shot Chart Detail,21500013,9,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,11,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-83,134,1,1,20151028,OKC,SAS,78899
78900,Shot Chart Detail,21500013,15,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,10,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,50,72,1,0,20151028,OKC,SAS,78900
78901,Shot Chart Detail,21500013,43,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,8,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-120,90,1,1,20151028,OKC,SAS,78901
78902,Shot Chart Detail,21500013,71,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,5,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,71,164,1,1,20151028,OKC,SAS,78902
78903,Shot Chart Detail,21500013,98,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,2,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,145,200,1,0,20151028,OKC,SAS,78903
78904,Shot Chart Detail,21500013,190,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,5,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,61,164,1,0,20151028,OKC,SAS,78904
78905,Shot Chart Detail,21500013,203,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,5,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,71,164,1,0,20151028,OKC,SAS,78905
78906,Shot Chart Detail,21500013,223,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,3,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20151028,OKC,SAS,78906
78907,Shot Chart Detail,21500013,227,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,2,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,24,95,1,0,20151028,OKC,SAS,78907
78908,Shot Chart Detail,21500013,237,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,1,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,16,1,0,20151028,OKC,SAS,78908
78909,Shot Chart Detail,21500013,261,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,11,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,126,1,1,20151028,OKC,SAS,78909
78910,Shot Chart Detail,21500013,271,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,10,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,15,242,1,0,20151028,OKC,SAS,78910
78911,Shot Chart Detail,21500013,281,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,9,6,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,76,120,1,0,20151028,OKC,SAS,78911
78912,Shot Chart Detail,21500013,295,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,8,12,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,2,115,1,0,20151028,OKC,SAS,78912
78913,Shot Chart Detail,21500013,432,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,9,17,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,235,77,1,0,20151028,OKC,SAS,78913
78914,Shot Chart Detail,21500013,447,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,7,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,3,1,0,20151028,OKC,SAS,78914
78915,Shot Chart Detail,21500013,488,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,58,237,1,1,20151028,OKC,SAS,78915
78916,Shot Chart Detail,21500013,504,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,2,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-27,141,1,0,20151028,OKC,SAS,78916
