,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
90736,Shot Chart Detail,21500002,4,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,11,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,CHI,CLE,90736
90737,Shot Chart Detail,21500002,27,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,8,31,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,21,1,0,20151027,CHI,CLE,90737
90738,Shot Chart Detail,21500002,30,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,8,26,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,0,20151027,CHI,CLE,90738
90739,Shot Chart Detail,21500002,63,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,5,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-179,164,1,0,20151027,CHI,CLE,90739
90740,Shot Chart Detail,21500002,101,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,4,37,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,0,20151027,CHI,CLE,90740
90741,Shot Chart Detail,21500002,178,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,9,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,16,1,0,20151027,CHI,CLE,90741
90742,Shot Chart Detail,21500002,259,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,3,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,10,244,1,0,20151027,CHI,CLE,90742
90743,Shot Chart Detail,21500002,263,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,2,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-29,242,1,1,20151027,CHI,CLE,90743
90744,Shot Chart Detail,21500002,265,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,1,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,183,1,0,20151027,CHI,CLE,90744
90745,Shot Chart Detail,21500002,301,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,10,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,109,178,1,1,20151027,CHI,CLE,90745
