,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
20951,Shot Chart Detail,21500017,75,2755,Kevin Martin,1610612750,Minnesota Timberwolves,1,4,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-176,193,1,0,20151028,LAL,MIN
20952,Shot Chart Detail,21500017,90,2755,Kevin Martin,1610612750,Minnesota Timberwolves,1,3,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-192,180,1,0,20151028,LAL,MIN
20953,Shot Chart Detail,21500017,133,2755,Kevin Martin,1610612750,Minnesota Timberwolves,2,11,6,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,51,1,1,20151028,LAL,MIN
20954,Shot Chart Detail,21500017,148,2755,Kevin Martin,1610612750,Minnesota Timberwolves,2,10,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-112,-1,1,0,20151028,LAL,MIN
20955,Shot Chart Detail,21500017,184,2755,Kevin Martin,1610612750,Minnesota Timberwolves,2,7,6,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,1,129,1,1,20151028,LAL,MIN
20956,Shot Chart Detail,21500017,188,2755,Kevin Martin,1610612750,Minnesota Timberwolves,2,6,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,76,237,1,0,20151028,LAL,MIN
20957,Shot Chart Detail,21500017,342,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,7,8,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-127,51,1,1,20151028,LAL,MIN
20958,Shot Chart Detail,21500017,360,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,5,17,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-30,95,1,1,20151028,LAL,MIN
20959,Shot Chart Detail,21500017,381,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,4,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-16,273,1,0,20151028,LAL,MIN
20960,Shot Chart Detail,21500017,435,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,1,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,4,183,1,1,20151028,LAL,MIN
20961,Shot Chart Detail,21500017,468,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,10,40,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,33,1,0,20151028,LAL,MIN
20962,Shot Chart Detail,21500017,475,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,9,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-25,254,1,0,20151028,LAL,MIN
20963,Shot Chart Detail,21500017,544,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,4,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,112,136,1,1,20151028,LAL,MIN
20964,Shot Chart Detail,21500017,547,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,3,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-133,131,1,0,20151028,LAL,MIN
20965,Shot Chart Detail,21500017,607,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,0,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-133,160,1,0,20151028,LAL,MIN
20966,Shot Chart Detail,21500029,86,2755,Kevin Martin,1610612750,Minnesota Timberwolves,1,2,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,52,1,0,20151030,DEN,MIN
20967,Shot Chart Detail,21500029,93,2755,Kevin Martin,1610612750,Minnesota Timberwolves,1,2,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-151,164,1,0,20151030,DEN,MIN
20968,Shot Chart Detail,21500029,113,2755,Kevin Martin,1610612750,Minnesota Timberwolves,1,0,55,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151030,DEN,MIN
20969,Shot Chart Detail,21500029,126,2755,Kevin Martin,1610612750,Minnesota Timberwolves,2,11,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-233,61,1,1,20151030,DEN,MIN
20970,Shot Chart Detail,21500029,420,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,3,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-4,213,1,1,20151030,DEN,MIN
20971,Shot Chart Detail,21500029,466,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,11,34,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-130,90,1,0,20151030,DEN,MIN
20972,Shot Chart Detail,21500029,480,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,10,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-189,175,1,0,20151030,DEN,MIN
20973,Shot Chart Detail,21500029,502,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,8,10,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,30,43,1,1,20151030,DEN,MIN
20974,Shot Chart Detail,21500029,599,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,1,11,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-1,105,1,1,20151030,DEN,MIN
20975,Shot Chart Detail,21500050,89,2755,Kevin Martin,1610612750,Minnesota Timberwolves,1,4,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,2,85,1,1,20151102,MIN,POR
20976,Shot Chart Detail,21500050,97,2755,Kevin Martin,1610612750,Minnesota Timberwolves,1,2,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-241,67,1,1,20151102,MIN,POR
20977,Shot Chart Detail,21500050,100,2755,Kevin Martin,1610612750,Minnesota Timberwolves,1,2,40,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,MIN,POR
20978,Shot Chart Detail,21500050,141,2755,Kevin Martin,1610612750,Minnesota Timberwolves,2,10,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,188,1,0,20151102,MIN,POR
20979,Shot Chart Detail,21500050,308,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,6,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-237,52,1,0,20151102,MIN,POR
20980,Shot Chart Detail,21500050,358,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,3,26,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,148,85,1,1,20151102,MIN,POR
20981,Shot Chart Detail,21500050,361,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,2,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,107,136,1,0,20151102,MIN,POR
20982,Shot Chart Detail,21500050,398,2755,Kevin Martin,1610612750,Minnesota Timberwolves,3,0,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,148,193,1,1,20151102,MIN,POR
20983,Shot Chart Detail,21500050,406,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,11,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,1,20151102,MIN,POR
20984,Shot Chart Detail,21500050,453,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,7,58,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,15,36,1,0,20151102,MIN,POR
20985,Shot Chart Detail,21500050,497,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,5,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,55,200,1,0,20151102,MIN,POR
20986,Shot Chart Detail,21500050,500,2755,Kevin Martin,1610612750,Minnesota Timberwolves,4,5,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-6,1,1,20151102,MIN,POR
