,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
152943,Shot Chart Detail,21500012,22,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,9,38,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-192,-16,1,0,20151028,MIL,NYK,152943
152944,Shot Chart Detail,21500012,42,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,8,7,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,16,1,0,20151028,MIL,NYK,152944
152945,Shot Chart Detail,21500012,44,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,8,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,123,-10,1,0,20151028,MIL,NYK,152945
152946,Shot Chart Detail,21500012,73,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,6,14,Missed Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-147,26,1,0,20151028,MIL,NYK,152946
152947,Shot Chart Detail,21500012,85,203114,Khris Middleton,1610612749,Milwaukee Bucks,1,4,55,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,65,1,0,20151028,MIL,NYK,152947
152948,Shot Chart Detail,21500012,187,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,123,62,1,1,20151028,MIL,NYK,152948
152949,Shot Chart Detail,21500012,219,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,5,43,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,55,126,1,0,20151028,MIL,NYK,152949
152950,Shot Chart Detail,21500012,228,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,4,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-232,134,1,1,20151028,MIL,NYK,152950
152951,Shot Chart Detail,21500012,289,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,1,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,217,120,1,1,20151028,MIL,NYK,152951
152952,Shot Chart Detail,21500012,316,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,207,146,1,0,20151028,MIL,NYK,152952
