,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
103728,Shot Chart Detail,21500017,3,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,11,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-11,257,1,0,20151028,LAL,MIN,103728
103729,Shot Chart Detail,21500017,26,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,8,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,148,52,1,1,20151028,LAL,MIN,103729
103730,Shot Chart Detail,21500017,29,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,8,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,137,124,1,0,20151028,LAL,MIN,103730
103731,Shot Chart Detail,21500017,33,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,8,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,102,164,1,0,20151028,LAL,MIN,103731
103732,Shot Chart Detail,21500017,42,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,7,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,97,124,1,0,20151028,LAL,MIN,103732
103733,Shot Chart Detail,21500017,57,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,6,23,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,-21,1,0,20151028,LAL,MIN,103733
103734,Shot Chart Detail,21500017,64,977,Kobe Bryant,1610612747,Los Angeles Lakers,1,5,39,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-65,2,1,1,20151028,LAL,MIN,103734
103735,Shot Chart Detail,21500017,183,977,Kobe Bryant,1610612747,Los Angeles Lakers,2,7,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,6,195,1,1,20151028,LAL,MIN,103735
103736,Shot Chart Detail,21500017,200,977,Kobe Bryant,1610612747,Los Angeles Lakers,2,5,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-35,282,1,1,20151028,LAL,MIN,103736
103737,Shot Chart Detail,21500017,206,977,Kobe Bryant,1610612747,Los Angeles Lakers,2,5,18,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-30,120,1,1,20151028,LAL,MIN,103737
