,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
177456,Shot Chart Detail,21500004,16,2743,Kris Humphries,1610612764,Washington Wizards,1,10,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,5,1,0,20151028,ORL,WAS
177457,Shot Chart Detail,21500004,215,2743,Kris Humphries,1610612764,Washington Wizards,2,5,32,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20151028,ORL,WAS
177458,Shot Chart Detail,21500004,234,2743,Kris Humphries,1610612764,Washington Wizards,2,3,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-70,193,1,1,20151028,ORL,WAS
177459,Shot Chart Detail,21500004,236,2743,Kris Humphries,1610612764,Washington Wizards,2,2,33,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,7,1,1,20151028,ORL,WAS
177460,Shot Chart Detail,21500004,273,2743,Kris Humphries,1610612764,Washington Wizards,2,0,52,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,-15,1,0,20151028,ORL,WAS
177461,Shot Chart Detail,21500004,318,2743,Kris Humphries,1610612764,Washington Wizards,3,10,2,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,ORL,WAS
177462,Shot Chart Detail,21500004,334,2743,Kris Humphries,1610612764,Washington Wizards,3,8,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-50,218,1,0,20151028,ORL,WAS
177463,Shot Chart Detail,21500004,343,2743,Kris Humphries,1610612764,Washington Wizards,3,7,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,199,164,1,0,20151028,ORL,WAS
177464,Shot Chart Detail,21500004,473,2743,Kris Humphries,1610612764,Washington Wizards,4,8,9,Missed Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,4,36,1,0,20151028,ORL,WAS
177465,Shot Chart Detail,21500027,22,2743,Kris Humphries,1610612764,Washington Wizards,1,9,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,36,1,0,20151030,MIL,WAS
