,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
126987,Shot Chart Detail,21500001,129,2594,Kyle Korver,1610612737,Atlanta Hawks,2,10,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-16,154,1,0,20151027,ATL,DET,126987
126988,Shot Chart Detail,21500001,177,2594,Kyle Korver,1610612737,Atlanta Hawks,2,6,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,42,244,1,0,20151027,ATL,DET,126988
126989,Shot Chart Detail,21500001,241,2594,Kyle Korver,1610612737,Atlanta Hawks,3,11,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,190,1,0,20151027,ATL,DET,126989
126990,Shot Chart Detail,21500001,282,2594,Kyle Korver,1610612737,Atlanta Hawks,3,7,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-133,154,1,1,20151027,ATL,DET,126990
126991,Shot Chart Detail,21500001,302,2594,Kyle Korver,1610612737,Atlanta Hawks,3,4,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,50,242,1,0,20151027,ATL,DET,126991
126992,Shot Chart Detail,21500001,455,2594,Kyle Korver,1610612737,Atlanta Hawks,4,4,27,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-73,242,1,1,20151027,ATL,DET,126992
126993,Shot Chart Detail,21500001,477,2594,Kyle Korver,1610612737,Atlanta Hawks,4,2,36,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,127,156,1,1,20151027,ATL,DET,126993
126994,Shot Chart Detail,21500001,507,2594,Kyle Korver,1610612737,Atlanta Hawks,4,0,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,137,164,1,0,20151027,ATL,DET,126994
126995,Shot Chart Detail,21500001,537,2594,Kyle Korver,1610612737,Atlanta Hawks,4,0,14,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,45,247,1,0,20151027,ATL,DET,126995
126996,Shot Chart Detail,21500019,22,2594,Kyle Korver,1610612737,Atlanta Hawks,1,10,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,194,169,1,1,20151029,NYK,ATL,126996
126997,Shot Chart Detail,21500019,29,2594,Kyle Korver,1610612737,Atlanta Hawks,1,9,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,194,159,1,0,20151029,NYK,ATL,126997
126998,Shot Chart Detail,21500019,73,2594,Kyle Korver,1610612737,Atlanta Hawks,1,4,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,210,131,1,0,20151029,NYK,ATL,126998
126999,Shot Chart Detail,21500019,83,2594,Kyle Korver,1610612737,Atlanta Hawks,1,3,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-140,31,1,1,20151029,NYK,ATL,126999
127000,Shot Chart Detail,21500019,184,2594,Kyle Korver,1610612737,Atlanta Hawks,2,5,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-137,208,1,1,20151029,NYK,ATL,127000
127001,Shot Chart Detail,21500019,187,2594,Kyle Korver,1610612737,Atlanta Hawks,2,4,46,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,46,16,1,1,20151029,NYK,ATL,127001
127002,Shot Chart Detail,21500019,207,2594,Kyle Korver,1610612737,Atlanta Hawks,2,2,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,18,1,1,20151029,NYK,ATL,127002
127003,Shot Chart Detail,21500019,266,2594,Kyle Korver,1610612737,Atlanta Hawks,3,9,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,116,1,1,20151029,NYK,ATL,127003
127004,Shot Chart Detail,21500039,6,2594,Kyle Korver,1610612737,Atlanta Hawks,1,11,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,42,151,1,0,20151101,CHA,ATL,127004
127005,Shot Chart Detail,21500039,9,2594,Kyle Korver,1610612737,Atlanta Hawks,1,10,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-140,159,1,1,20151101,CHA,ATL,127005
127006,Shot Chart Detail,21500039,284,2594,Kyle Korver,1610612737,Atlanta Hawks,3,6,16,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,11,1,0,20151101,CHA,ATL,127006
127007,Shot Chart Detail,21500039,303,2594,Kyle Korver,1610612737,Atlanta Hawks,3,4,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,119,224,1,0,20151101,CHA,ATL,127007
127008,Shot Chart Detail,21500039,307,2594,Kyle Korver,1610612737,Atlanta Hawks,3,4,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-179,28,1,1,20151101,CHA,ATL,127008
127009,Shot Chart Detail,21500039,310,2594,Kyle Korver,1610612737,Atlanta Hawks,3,3,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,151,95,1,1,20151101,CHA,ATL,127009
127010,Shot Chart Detail,21500039,313,2594,Kyle Korver,1610612737,Atlanta Hawks,3,3,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,194,154,1,0,20151101,CHA,ATL,127010
127011,Shot Chart Detail,21500039,315,2594,Kyle Korver,1610612737,Atlanta Hawks,3,3,15,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-1,1,0,20151101,CHA,ATL,127011
127012,Shot Chart Detail,21500039,475,2594,Kyle Korver,1610612737,Atlanta Hawks,4,2,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-9,223,1,0,20151101,CHA,ATL,127012
127013,Shot Chart Detail,21500055,14,2594,Kyle Korver,1610612737,Atlanta Hawks,1,10,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,73,237,1,0,20151103,MIA,ATL,127013
127014,Shot Chart Detail,21500055,27,2594,Kyle Korver,1610612737,Atlanta Hawks,1,8,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20151103,MIA,ATL,127014
127015,Shot Chart Detail,21500055,168,2594,Kyle Korver,1610612737,Atlanta Hawks,2,8,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,102,141,1,1,20151103,MIA,ATL,127015
127016,Shot Chart Detail,21500055,178,2594,Kyle Korver,1610612737,Atlanta Hawks,2,6,55,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,130,56,1,1,20151103,MIA,ATL,127016
127017,Shot Chart Detail,21500055,198,2594,Kyle Korver,1610612737,Atlanta Hawks,2,5,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,168,183,1,0,20151103,MIA,ATL,127017
127018,Shot Chart Detail,21500055,206,2594,Kyle Korver,1610612737,Atlanta Hawks,2,5,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,51,247,1,0,20151103,MIA,ATL,127018
127019,Shot Chart Detail,21500055,284,2594,Kyle Korver,1610612737,Atlanta Hawks,3,11,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,-10,1,0,20151103,MIA,ATL,127019
