,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
155392,Shot Chart Detail,21500009,5,200768,Kyle Lowry,1610612761,Toronto Raptors,1,11,22,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,21,1,0,20151028,TOR,IND
155393,Shot Chart Detail,21500009,78,200768,Kyle Lowry,1610612761,Toronto Raptors,1,5,31,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-50,247,1,1,20151028,TOR,IND
155394,Shot Chart Detail,21500009,88,200768,Kyle Lowry,1610612761,Toronto Raptors,1,4,26,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,0,20151028,TOR,IND
155395,Shot Chart Detail,21500009,92,200768,Kyle Lowry,1610612761,Toronto Raptors,1,3,42,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-179,169,1,0,20151028,TOR,IND
155396,Shot Chart Detail,21500009,172,200768,Kyle Lowry,1610612761,Toronto Raptors,2,9,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,1,20151028,TOR,IND
155397,Shot Chart Detail,21500009,189,200768,Kyle Lowry,1610612761,Toronto Raptors,2,8,42,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,18,1,0,20151028,TOR,IND
155398,Shot Chart Detail,21500009,209,200768,Kyle Lowry,1610612761,Toronto Raptors,2,7,2,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,21,1,0,20151028,TOR,IND
155399,Shot Chart Detail,21500009,267,200768,Kyle Lowry,1610612761,Toronto Raptors,2,1,42,Missed Shot,Pullup Bank shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,-19,239,1,0,20151028,TOR,IND
155400,Shot Chart Detail,21500009,275,200768,Kyle Lowry,1610612761,Toronto Raptors,2,0,39,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-1,1,1,20151028,TOR,IND
155401,Shot Chart Detail,21500009,318,200768,Kyle Lowry,1610612761,Toronto Raptors,3,7,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-76,239,1,1,20151028,TOR,IND
155402,Shot Chart Detail,21500009,357,200768,Kyle Lowry,1610612761,Toronto Raptors,3,4,52,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,120,149,1,0,20151028,TOR,IND
155403,Shot Chart Detail,21500009,363,200768,Kyle Lowry,1610612761,Toronto Raptors,3,4,0,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,8,1,1,20151028,TOR,IND
155404,Shot Chart Detail,21500009,374,200768,Kyle Lowry,1610612761,Toronto Raptors,3,2,42,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,13,1,1,20151028,TOR,IND
