,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
85269,Shot Chart Detail,21500022,224,202713,Kyle Singler,1610612760,Oklahoma City Thunder,2,4,3,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20151030,ORL,OKC
85270,Shot Chart Detail,21500022,238,202713,Kyle Singler,1610612760,Oklahoma City Thunder,2,2,18,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,56,1,0,20151030,ORL,OKC
85271,Shot Chart Detail,21500022,413,202713,Kyle Singler,1610612760,Oklahoma City Thunder,3,0,13,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,21,1,0,20151030,ORL,OKC
85272,Shot Chart Detail,21500044,101,202713,Kyle Singler,1610612760,Oklahoma City Thunder,1,3,19,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,0,20151101,OKC,DEN
85273,Shot Chart Detail,21500044,154,202713,Kyle Singler,1610612760,Oklahoma City Thunder,2,11,37,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-114,38,1,0,20151101,OKC,DEN
85274,Shot Chart Detail,21500044,171,202713,Kyle Singler,1610612760,Oklahoma City Thunder,2,10,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,161,200,1,1,20151101,OKC,DEN
85275,Shot Chart Detail,21500044,175,202713,Kyle Singler,1610612760,Oklahoma City Thunder,2,9,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,23,123,203,1,0,20151101,OKC,DEN
85276,Shot Chart Detail,21500044,479,202713,Kyle Singler,1610612760,Oklahoma City Thunder,4,8,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,28,1,0,20151101,OKC,DEN
85277,Shot Chart Detail,21500044,549,202713,Kyle Singler,1610612760,Oklahoma City Thunder,4,1,51,Missed Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,68,21,1,0,20151101,OKC,DEN
85278,Shot Chart Detail,21500044,556,202713,Kyle Singler,1610612760,Oklahoma City Thunder,4,1,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-47,188,1,0,20151101,OKC,DEN
85279,Shot Chart Detail,21500049,165,202713,Kyle Singler,1610612760,Oklahoma City Thunder,2,8,44,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,202,134,1,0,20151102,HOU,OKC
