,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
185196,Shot Chart Detail,21500405,3,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,11,20,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,0,20151220,CLE,PHI
185197,Shot Chart Detail,21500405,22,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,8,23,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-147,70,1,0,20151220,CLE,PHI
185198,Shot Chart Detail,21500405,132,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,11,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,0,20151220,CLE,PHI
185199,Shot Chart Detail,21500405,151,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,10,35,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,66,56,1,0,20151220,CLE,PHI
185200,Shot Chart Detail,21500405,171,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,9,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,11,1,0,20151220,CLE,PHI
185201,Shot Chart Detail,21500405,174,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,2,8,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,3,1,1,20151220,CLE,PHI
185202,Shot Chart Detail,21500405,322,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,10,57,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,20151220,CLE,PHI
185203,Shot Chart Detail,21500405,327,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,10,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,212,120,1,1,20151220,CLE,PHI
185204,Shot Chart Detail,21500405,334,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,9,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,2,1,0,20151220,CLE,PHI
185205,Shot Chart Detail,21500405,350,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,3,8,23,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20151220,CLE,PHI
185206,Shot Chart Detail,21500405,481,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,4,9,38,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-102,134,1,0,20151220,CLE,PHI
185207,Shot Chart Detail,21500405,491,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,4,8,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,53,267,1,1,20151220,CLE,PHI
185208,Shot Chart Detail,21500424,20,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,9,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-68,139,1,1,20151223,CLE,NYK
185209,Shot Chart Detail,21500424,30,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,8,20,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-79,26,1,0,20151223,CLE,NYK
