,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
183774,Shot Chart Detail,21500001,110,203934,Lamar Patterson,1610612737,Atlanta Hawks,1,0,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,16,1,1,20151027,ATL,DET
183775,Shot Chart Detail,21500019,113,203934,Lamar Patterson,1610612737,Atlanta Hawks,1,1,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,213,124,1,1,20151029,NYK,ATL
183776,Shot Chart Detail,21500019,127,203934,Lamar Patterson,1610612737,Atlanta Hawks,2,10,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-220,126,1,0,20151029,NYK,ATL
183777,Shot Chart Detail,21500019,169,203934,Lamar Patterson,1610612737,Atlanta Hawks,2,6,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,207,139,1,1,20151029,NYK,ATL
183778,Shot Chart Detail,21500019,233,203934,Lamar Patterson,1610612737,Atlanta Hawks,2,0,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,2,1,1,20151029,NYK,ATL
183779,Shot Chart Detail,21500019,515,203934,Lamar Patterson,1610612737,Atlanta Hawks,4,3,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,128,3,1,0,20151029,NYK,ATL
183780,Shot Chart Detail,21500026,100,203934,Lamar Patterson,1610612737,Atlanta Hawks,1,2,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,22,249,1,0,20151030,ATL,CHA
183781,Shot Chart Detail,21500026,364,203934,Lamar Patterson,1610612737,Atlanta Hawks,3,2,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,109,219,1,0,20151030,ATL,CHA
183782,Shot Chart Detail,21500039,69,203934,Lamar Patterson,1610612737,Atlanta Hawks,1,2,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-148,208,1,0,20151101,CHA,ATL
183783,Shot Chart Detail,21500039,92,203934,Lamar Patterson,1610612737,Atlanta Hawks,1,0,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,0,20151101,CHA,ATL
183784,Shot Chart Detail,21500039,362,203934,Lamar Patterson,1610612737,Atlanta Hawks,4,11,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,17,115,1,0,20151101,CHA,ATL
183785,Shot Chart Detail,21500062,516,203934,Lamar Patterson,1610612737,Atlanta Hawks,4,0,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,151,208,1,0,20151104,ATL,BKN
