,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
46869,Shot Chart Detail,21500077,114,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,1,2,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-7,198,1,0,20151106,BKN,LAL,46869
46870,Shot Chart Detail,21500077,167,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,2,9,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-196,56,1,1,20151106,BKN,LAL,46870
46871,Shot Chart Detail,21500077,431,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,4,10,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,-11,1,1,20151106,BKN,LAL,46871
46872,Shot Chart Detail,21500077,487,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,4,6,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,2,1,0,20151106,BKN,LAL,46872
46873,Shot Chart Detail,21500095,134,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,1,1,18,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,8,1,0,20151108,NYK,LAL,46873
46874,Shot Chart Detail,21500095,183,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,2,7,50,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151108,NYK,LAL,46874
46875,Shot Chart Detail,21500108,112,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,1,2,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151110,MIA,LAL,46875
46876,Shot Chart Detail,21500108,137,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,2,10,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,96,139,1,0,20151110,MIA,LAL,46876
46877,Shot Chart Detail,21500108,153,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,2,8,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-169,18,1,1,20151110,MIA,LAL,46877
46878,Shot Chart Detail,21500108,377,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,4,11,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,48,200,1,0,20151110,MIA,LAL,46878
46879,Shot Chart Detail,21500108,397,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,4,10,1,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151110,MIA,LAL,46879
46880,Shot Chart Detail,21500114,137,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,2,10,33,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,1,20151111,ORL,LAL,46880
46881,Shot Chart Detail,21500114,157,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,2,8,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,92,174,1,1,20151111,ORL,LAL,46881
46882,Shot Chart Detail,21500114,159,1626204,Larry Nance Jr.,1610612747,Los Angeles Lakers,2,7,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,37,198,1,1,20151111,ORL,LAL,46882
