,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
127603,Shot Chart Detail,21500002,11,2544,LeBron James,1610612739,Cleveland Cavaliers,1,10,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-191,65,1,1,20151027,CHI,CLE
127604,Shot Chart Detail,21500002,16,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,19,214,1,0,20151027,CHI,CLE
127605,Shot Chart Detail,21500002,19,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,16,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-27,65,1,0,20151027,CHI,CLE
127606,Shot Chart Detail,21500002,24,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,2,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,CHI,CLE
127607,Shot Chart Detail,21500002,35,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,57,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,21,1,1,20151027,CHI,CLE
127608,Shot Chart Detail,21500002,96,2544,LeBron James,1610612739,Cleveland Cavaliers,1,2,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-92,213,1,0,20151027,CHI,CLE
127609,Shot Chart Detail,21500002,131,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,7,1,1,20151027,CHI,CLE
127610,Shot Chart Detail,21500002,168,2544,LeBron James,1610612739,Cleveland Cavaliers,2,9,48,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,13,1,0,20151027,CHI,CLE
127611,Shot Chart Detail,21500002,182,2544,LeBron James,1610612739,Cleveland Cavaliers,2,8,36,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,115,218,1,0,20151027,CHI,CLE
127612,Shot Chart Detail,21500002,184,2544,LeBron James,1610612739,Cleveland Cavaliers,2,8,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,21,1,0,20151027,CHI,CLE
