,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
160870,Shot Chart Detail,21500003,141,2571,Leandro Barbosa,1610612744,Golden State Warriors,2,10,12,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-7,100,1,0,20151027,GSW,NOP,160870
160871,Shot Chart Detail,21500003,192,2571,Leandro Barbosa,1610612744,Golden State Warriors,2,7,11,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,23,1,0,20151027,GSW,NOP,160871
160872,Shot Chart Detail,21500003,267,2571,Leandro Barbosa,1610612744,Golden State Warriors,2,0,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-199,169,1,0,20151027,GSW,NOP,160872
160873,Shot Chart Detail,21500003,392,2571,Leandro Barbosa,1610612744,Golden State Warriors,3,3,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-169,28,1,0,20151027,GSW,NOP,160873
160874,Shot Chart Detail,21500003,417,2571,Leandro Barbosa,1610612744,Golden State Warriors,3,2,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-37,110,1,0,20151027,GSW,NOP,160874
160875,Shot Chart Detail,21500003,470,2571,Leandro Barbosa,1610612744,Golden State Warriors,4,9,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,79,237,1,0,20151027,GSW,NOP,160875
160876,Shot Chart Detail,21500030,174,2571,Leandro Barbosa,1610612744,Golden State Warriors,2,10,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,8,1,0,20151030,HOU,GSW,160876
160877,Shot Chart Detail,21500030,208,2571,Leandro Barbosa,1610612744,Golden State Warriors,2,7,57,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,0,20151030,HOU,GSW,160877
160878,Shot Chart Detail,21500030,424,2571,Leandro Barbosa,1610612744,Golden State Warriors,3,1,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,140,200,1,1,20151030,HOU,GSW,160878
160879,Shot Chart Detail,21500030,430,2571,Leandro Barbosa,1610612744,Golden State Warriors,3,0,11,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,151,136,1,0,20151030,HOU,GSW,160879
160880,Shot Chart Detail,21500030,559,2571,Leandro Barbosa,1610612744,Golden State Warriors,4,3,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,10,203,1,1,20151030,HOU,GSW,160880
160881,Shot Chart Detail,21500030,564,2571,Leandro Barbosa,1610612744,Golden State Warriors,4,2,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,120,183,1,0,20151030,HOU,GSW,160881
160882,Shot Chart Detail,21500035,154,2571,Leandro Barbosa,1610612744,Golden State Warriors,2,11,11,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,2,1,1,20151031,NOP,GSW,160882
