,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
42799,Shot Chart Detail,21500569,182,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,6,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-83,249,1,1,20160112,IND,PHX
42800,Shot Chart Detail,21500569,206,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,5,3,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-86,164,1,1,20160112,IND,PHX
42801,Shot Chart Detail,21500569,218,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,4,12,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-124,-11,1,0,20160112,IND,PHX
42802,Shot Chart Detail,21500569,254,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,0,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,50,267,1,0,20160112,IND,PHX
42803,Shot Chart Detail,21500569,441,203485,Lorenzo Brown,1610612756,Phoenix Suns,4,8,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,191,180,1,0,20160112,IND,PHX
42804,Shot Chart Detail,21500595,65,203485,Lorenzo Brown,1610612756,Phoenix Suns,1,4,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-112,121,1,1,20160115,BOS,PHX
42805,Shot Chart Detail,21500595,576,203485,Lorenzo Brown,1610612756,Phoenix Suns,4,0,42,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-127,26,1,0,20160115,BOS,PHX
42806,Shot Chart Detail,21500610,182,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,6,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-120,131,1,0,20160117,MIN,PHX
42807,Shot Chart Detail,21500610,184,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,6,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-112,52,1,1,20160117,MIN,PHX
42808,Shot Chart Detail,21500610,205,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,4,32,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20160117,MIN,PHX
42809,Shot Chart Detail,21500610,384,203485,Lorenzo Brown,1610612756,Phoenix Suns,4,11,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,0,20160117,MIN,PHX
42810,Shot Chart Detail,21500610,517,203485,Lorenzo Brown,1610612756,Phoenix Suns,4,1,16,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,0,20160117,MIN,PHX
42811,Shot Chart Detail,21500628,65,203485,Lorenzo Brown,1610612756,Phoenix Suns,1,4,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-173,-1,1,0,20160119,PHX,IND
42812,Shot Chart Detail,21500628,71,203485,Lorenzo Brown,1610612756,Phoenix Suns,1,3,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,164,-1,1,0,20160119,PHX,IND
42813,Shot Chart Detail,21500628,74,203485,Lorenzo Brown,1610612756,Phoenix Suns,1,3,12,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,1,20160119,PHX,IND
42815,Shot Chart Detail,21500644,107,203485,Lorenzo Brown,1610612756,Phoenix Suns,1,1,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,193,1,0,20160121,PHX,SAS
42816,Shot Chart Detail,21500644,116,203485,Lorenzo Brown,1610612756,Phoenix Suns,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,37,64,367,1,0,20160121,PHX,SAS
42817,Shot Chart Detail,21500644,126,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,11,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-174,43,1,0,20160121,PHX,SAS
42818,Shot Chart Detail,21500644,140,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,9,15,Missed Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,21,1,0,20160121,PHX,SAS
42819,Shot Chart Detail,21500660,130,203485,Lorenzo Brown,1610612756,Phoenix Suns,2,10,58,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,47,1,1,20160123,PHX,ATL
