,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
199947,Shot Chart Detail,21500020,566,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,0,42,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,28,120,1,0,20151029,LAC,DAL
199948,Shot Chart Detail,21500118,463,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,7,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,0,1,0,20151111,DAL,LAC
199949,Shot Chart Detail,21500126,406,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,0,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,31,1,0,20151112,PHX,LAC
199950,Shot Chart Detail,21500126,421,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,10,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-81,129,1,0,20151112,PHX,LAC
199951,Shot Chart Detail,21500126,424,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,10,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,1,20151112,PHX,LAC
199952,Shot Chart Detail,21500126,437,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,8,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,2,1,1,20151112,PHX,LAC
199953,Shot Chart Detail,21500126,484,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,5,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,11,1,0,20151112,PHX,LAC
199954,Shot Chart Detail,21500126,519,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,2,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-6,1,1,20151112,PHX,LAC
199955,Shot Chart Detail,21500138,440,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,9,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,45,188,1,0,20151114,LAC,DET
199956,Shot Chart Detail,21500186,145,201601,Luc Mbah a Moute,1610612746,LA Clippers,2,9,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-1,1,1,20151120,POR,LAC
199957,Shot Chart Detail,21500186,379,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,11,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,9,1,0,20151120,POR,LAC
199958,Shot Chart Detail,21500196,121,201601,Luc Mbah a Moute,1610612746,LA Clippers,2,10,46,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,26,1,1,20151122,LAC,TOR
199959,Shot Chart Detail,21500238,514,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,3,7,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151127,LAC,NOP
199960,Shot Chart Detail,21500247,17,201601,Luc Mbah a Moute,1610612746,LA Clippers,1,9,29,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151129,LAC,MIN
199961,Shot Chart Detail,21500247,35,201601,Luc Mbah a Moute,1610612746,LA Clippers,1,8,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,11,1,0,20151129,LAC,MIN
199962,Shot Chart Detail,21500247,281,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,10,25,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,-11,1,1,20151129,LAC,MIN
199963,Shot Chart Detail,21500247,307,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,7,31,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-24,41,1,0,20151129,LAC,MIN
199964,Shot Chart Detail,21500247,321,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,5,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-16,1,0,20151129,LAC,MIN
199965,Shot Chart Detail,21500261,365,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,8,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,1,20151130,LAC,POR
199966,Shot Chart Detail,21500261,655,201601,Luc Mbah a Moute,1610612746,LA Clippers,4,0,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,7,1,1,20151130,LAC,POR
199967,Shot Chart Detail,21500276,303,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,11,0,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151202,LAC,IND
199968,Shot Chart Detail,21500298,290,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,10,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,-11,1,0,20151205,LAC,ORL
199969,Shot Chart Detail,21500298,316,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,7,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,205,149,1,0,20151205,LAC,ORL
199970,Shot Chart Detail,21500311,39,201601,Luc Mbah a Moute,1610612746,LA Clippers,1,8,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,0,20151207,MIN,LAC
199971,Shot Chart Detail,21500311,209,201601,Luc Mbah a Moute,1610612746,LA Clippers,2,3,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,0,20151207,MIN,LAC
199972,Shot Chart Detail,21500311,304,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,9,55,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,28,1,0,20151207,MIN,LAC
199973,Shot Chart Detail,21500311,306,201601,Luc Mbah a Moute,1610612746,LA Clippers,3,9,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,0,20151207,MIN,LAC
199974,Shot Chart Detail,21500324,19,201601,Luc Mbah a Moute,1610612746,LA Clippers,1,9,34,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,0,20151209,MIL,LAC
199975,Shot Chart Detail,21500324,27,201601,Luc Mbah a Moute,1610612746,LA Clippers,1,8,33,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151209,MIL,LAC
