,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
19920,Shot Chart Detail,21500024,49,2449,Luis Scola,1610612761,Toronto Raptors,1,7,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,31,1,0,20151030,BOS,TOR
19921,Shot Chart Detail,21500024,78,2449,Luis Scola,1610612761,Toronto Raptors,1,5,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,135,144,1,0,20151030,BOS,TOR
19922,Shot Chart Detail,21500024,263,2449,Luis Scola,1610612761,Toronto Raptors,2,4,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,109,154,1,0,20151030,BOS,TOR
19923,Shot Chart Detail,21500024,347,2449,Luis Scola,1610612761,Toronto Raptors,3,11,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,63,183,1,0,20151030,BOS,TOR
19924,Shot Chart Detail,21500024,382,2449,Luis Scola,1610612761,Toronto Raptors,3,8,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-56,174,1,1,20151030,BOS,TOR
19925,Shot Chart Detail,21500024,396,2449,Luis Scola,1610612761,Toronto Raptors,3,6,58,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20151030,BOS,TOR
19926,Shot Chart Detail,21500024,424,2449,Luis Scola,1610612761,Toronto Raptors,3,5,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,20,164,1,0,20151030,BOS,TOR
19927,Shot Chart Detail,21500024,443,2449,Luis Scola,1610612761,Toronto Raptors,3,3,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,7,1,1,20151030,BOS,TOR
19928,Shot Chart Detail,21500024,446,2449,Luis Scola,1610612761,Toronto Raptors,3,3,8,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,41,1,1,20151030,BOS,TOR
19929,Shot Chart Detail,21500042,31,2449,Luis Scola,1610612761,Toronto Raptors,1,8,20,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,27,51,1,0,20151101,TOR,MIL
19930,Shot Chart Detail,21500042,40,2449,Luis Scola,1610612761,Toronto Raptors,1,6,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-11,188,1,0,20151101,TOR,MIL
19931,Shot Chart Detail,21500042,170,2449,Luis Scola,1610612761,Toronto Raptors,2,6,48,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,23,1,0,20151101,TOR,MIL
