,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
58307,Shot Chart Detail,21500035,153,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,11,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,0,174,1,1,20151031,NOP,GSW,58307
58308,Shot Chart Detail,21500035,294,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,1,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,199,144,1,0,20151031,NOP,GSW,58308
58309,Shot Chart Detail,21500035,367,202337,Luke Babbitt,1610612740,New Orleans Pelicans,3,7,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-94,165,1,1,20151031,NOP,GSW,58309
58310,Shot Chart Detail,21500035,403,202337,Luke Babbitt,1610612740,New Orleans Pelicans,3,3,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,7,1,0,20151031,NOP,GSW,58310
58311,Shot Chart Detail,21500035,415,202337,Luke Babbitt,1610612740,New Orleans Pelicans,3,1,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-55,237,1,0,20151031,NOP,GSW,58311
58312,Shot Chart Detail,21500035,447,202337,Luke Babbitt,1610612740,New Orleans Pelicans,4,9,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,210,124,1,0,20151031,NOP,GSW,58312
58313,Shot Chart Detail,21500056,7,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,11,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,156,198,1,1,20151103,NOP,ORL,58313
58314,Shot Chart Detail,21500056,83,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,3,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,18,1,0,20151103,NOP,ORL,58314
58315,Shot Chart Detail,21500056,173,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,8,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,2,1,0,20151103,NOP,ORL,58315
58316,Shot Chart Detail,21500056,219,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,4,47,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,11,1,0,20151103,NOP,ORL,58316
