,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
116466,Shot Chart Detail,21500008,81,2736,Luol Deng,1610612748,Miami Heat,1,4,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-156,80,1,0,20151028,MIA,CHA
116467,Shot Chart Detail,21500008,173,2736,Luol Deng,1610612748,Miami Heat,2,8,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,21,1,0,20151028,MIA,CHA
116468,Shot Chart Detail,21500008,188,2736,Luol Deng,1610612748,Miami Heat,2,6,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,7,1,1,20151028,MIA,CHA
116469,Shot Chart Detail,21500008,300,2736,Luol Deng,1610612748,Miami Heat,3,7,17,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,MIA,CHA
116470,Shot Chart Detail,21500008,317,2736,Luol Deng,1610612748,Miami Heat,3,6,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-194,144,1,1,20151028,MIA,CHA
116471,Shot Chart Detail,21500008,338,2736,Luol Deng,1610612748,Miami Heat,3,4,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-133,136,1,0,20151028,MIA,CHA
116472,Shot Chart Detail,21500008,447,2736,Luol Deng,1610612748,Miami Heat,4,6,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,7,1,1,20151028,MIA,CHA
116473,Shot Chart Detail,21500008,516,2736,Luol Deng,1610612748,Miami Heat,4,0,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,87,232,1,1,20151028,MIA,CHA
116474,Shot Chart Detail,21500021,16,2736,Luol Deng,1610612748,Miami Heat,1,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,199,169,1,0,20151030,CLE,MIA
116475,Shot Chart Detail,21500021,184,2736,Luol Deng,1610612748,Miami Heat,2,8,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,159,195,1,0,20151030,CLE,MIA
116476,Shot Chart Detail,21500021,220,2736,Luol Deng,1610612748,Miami Heat,2,4,57,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,CLE,MIA
116477,Shot Chart Detail,21500021,285,2736,Luol Deng,1610612748,Miami Heat,3,9,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,71,178,1,0,20151030,CLE,MIA
116478,Shot Chart Detail,21500021,305,2736,Luol Deng,1610612748,Miami Heat,3,8,33,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,21,1,0,20151030,CLE,MIA
116479,Shot Chart Detail,21500021,314,2736,Luol Deng,1610612748,Miami Heat,3,7,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,86,228,1,1,20151030,CLE,MIA
116480,Shot Chart Detail,21500021,330,2736,Luol Deng,1610612748,Miami Heat,3,5,50,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1,20151030,CLE,MIA
116481,Shot Chart Detail,21500021,464,2736,Luol Deng,1610612748,Miami Heat,4,5,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-6,1,1,20151030,CLE,MIA
116482,Shot Chart Detail,21500041,10,2736,Luol Deng,1610612748,Miami Heat,1,10,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,243,46,1,0,20151101,MIA,HOU
116483,Shot Chart Detail,21500041,19,2736,Luol Deng,1610612748,Miami Heat,1,9,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,23,1,0,20151101,MIA,HOU
116484,Shot Chart Detail,21500041,29,2736,Luol Deng,1610612748,Miami Heat,1,8,51,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,40,46,1,1,20151101,MIA,HOU
116485,Shot Chart Detail,21500041,110,2736,Luol Deng,1610612748,Miami Heat,1,2,16,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,45,70,1,0,20151101,MIA,HOU
116486,Shot Chart Detail,21500041,114,2736,Luol Deng,1610612748,Miami Heat,1,2,4,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-10,1,0,20151101,MIA,HOU
116487,Shot Chart Detail,21500041,124,2736,Luol Deng,1610612748,Miami Heat,1,1,23,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,26,1,1,20151101,MIA,HOU
116488,Shot Chart Detail,21500041,235,2736,Luol Deng,1610612748,Miami Heat,2,4,15,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,-6,1,0,20151101,MIA,HOU
116489,Shot Chart Detail,21500041,247,2736,Luol Deng,1610612748,Miami Heat,2,2,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,0,20151101,MIA,HOU
116490,Shot Chart Detail,21500041,277,2736,Luol Deng,1610612748,Miami Heat,2,0,34,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,2,1,0,20151101,MIA,HOU
116491,Shot Chart Detail,21500041,308,2736,Luol Deng,1610612748,Miami Heat,3,8,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,7,1,1,20151101,MIA,HOU
116492,Shot Chart Detail,21500041,314,2736,Luol Deng,1610612748,Miami Heat,3,7,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,0,1,1,20151101,MIA,HOU
116493,Shot Chart Detail,21500041,340,2736,Luol Deng,1610612748,Miami Heat,3,5,20,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,3,1,1,20151101,MIA,HOU
116494,Shot Chart Detail,21500055,68,2736,Luol Deng,1610612748,Miami Heat,1,4,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,23,1,1,20151103,MIA,ATL
116495,Shot Chart Detail,21500055,70,2736,Luol Deng,1610612748,Miami Heat,1,3,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,1,20151103,MIA,ATL
116496,Shot Chart Detail,21500055,79,2736,Luol Deng,1610612748,Miami Heat,1,2,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,18,1,0,20151103,MIA,ATL
116497,Shot Chart Detail,21500055,152,2736,Luol Deng,1610612748,Miami Heat,2,9,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-4,203,1,0,20151103,MIA,ATL
116498,Shot Chart Detail,21500055,189,2736,Luol Deng,1610612748,Miami Heat,2,6,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,246,7,1,0,20151103,MIA,ATL
116499,Shot Chart Detail,21500055,208,2736,Luol Deng,1610612748,Miami Heat,2,4,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-197,159,1,0,20151103,MIA,ATL
116500,Shot Chart Detail,21500055,295,2736,Luol Deng,1610612748,Miami Heat,3,10,20,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,0,20151103,MIA,ATL
116501,Shot Chart Detail,21500055,326,2736,Luol Deng,1610612748,Miami Heat,3,7,21,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,56,106,1,0,20151103,MIA,ATL
